exception_id,customer_id,employee_id,Open_date,"Review_date,doc_status, description, comments",,,
55,11832,245,2013-01-27,2014-06-27,Missing,Identity,
56,6891,16415,2014-01-26,2015-09-12,Missing,CIP Exception,ID has Expired
57,2550,2064,2011-02-17,2012-09-01,Missing,CIP Exception,Please re-sacn ID Verification
58,14401,9892,2013-10-21,2015-04-22,Missing,CIP Exception,ID has Expired
59,21173,9410,2012-10-26,2014-04-29,Exception,CIP Exception,ID has Expired
60,26528,25796,2011-04-21,2012-11-01,Exception,CIP Exception,Please re-sacn ID Verification
61,27072,13484,2016-08-02,2018-01-19,Exception,Identity,
62,2037,26814,2018-07-03,2019-11-16,Missing,Identity,
63,28222,3317,2014-08-31,2016-03-07,Exception,Identity,
64,15350,9240,2014-02-24,2015-07-30,Missing,CIP Exception,ID has Expired
65,5670,3771,2015-12-01,2017-05-26,Missing,Identity,
66,1218,11163,2014-03-25,2015-11-09,Missing,Identity,
67,14757,25982,2019-07-24,2021-01-25,Missing,Identity,
68,25832,9333,2011-08-26,2013-03-12,Exception,CIP Exception,Please re-sacn ID Verification
69,19472,8417,2010-05-21,2011-10-25,Exception,Identity,
70,24743,4525,2019-03-16,2020-10-19,Exception,Identity,
71,25609,4344,2012-09-28,2014-05-04,Exception,CIP Exception,Please re-sacn ID Verification
72,7200,4004,2013-03-12,2014-09-29,Exception,CIP Exception,ID has Expired
73,3986,26332,2013-11-21,2015-06-07,Exception,CIP Exception,Please re-sacn ID Verification
74,8134,202,2010-10-17,2012-03-21,Missing,Identity,
75,11188,717,2014-04-14,2015-10-14,Missing,Identity,
76,3602,27781,2011-07-28,2012-12-26,Exception,Identity,
77,16349,11925,2016-10-26,2018-03-14,Missing,CIP Exception,Please re-sacn ID Verification
78,17380,13790,2011-05-17,2012-12-18,Exception,CIP Exception,Please re-sacn ID Verification
79,352,4250,2014-02-27,2015-10-02,Exception,Identity,
80,27503,27541,2011-06-25,2012-11-16,Exception,CIP Exception,ID has Expired
81,14027,6354,2017-09-18,2019-02-18,Missing,CIP Exception,ID has Expired
82,5737,11049,2017-07-31,2019-02-23,Missing,Identity,
83,21812,11225,2011-04-25,2012-09-12,Exception,CIP Exception,ID has Expired
84,31,5037,2018-10-12,2020-05-06,Exception,CIP Exception,Please re-sacn ID Verification
85,12714,2584,2016-11-01,2018-05-06,Missing,CIP Exception,Please re-sacn ID Verification
86,5779,3371,2013-11-23,2015-07-12,Missing,Identity,
87,12594,8311,2009-12-14,2011-07-15,Missing,Identity,
88,15989,16229,2013-08-06,2015-01-01,Exception,Identity,
89,16802,17274,2019-02-02,2020-07-30,Exception,CIP Exception,ID has Expired
90,28634,8292,2010-10-22,2012-04-02,Missing,Identity,
91,16181,19117,2017-03-17,2018-09-06,Missing,CIP Exception,Please re-sacn ID Verification
92,3237,11158,2014-03-04,2015-10-12,Exception,Identity,
93,22725,22336,2013-06-21,2014-12-01,Missing,Identity,
94,872,27844,2018-09-01,2020-02-21,Missing,Identity,
95,21891,22737,2012-11-20,2014-04-09,Missing,Identity,
96,23303,10767,2011-06-20,2013-01-09,Missing,Identity,
97,3073,10706,2012-09-24,2014-02-20,Missing,CIP Exception,Please re-sacn ID Verification
98,15333,11228,2011-03-23,2012-10-29,Exception,Identity,
99,11870,18134,2010-03-29,2011-10-27,Exception,CIP Exception,ID has Expired
100,23385,7378,2018-09-17,2020-02-28,Exception,CIP Exception,ID has Expired
101,668,8612,2013-10-11,2015-03-03,Missing,Identity,
102,10358,16058,2016-11-03,2018-06-08,Missing,Identity,
103,8650,10316,2015-04-15,2016-10-12,Missing,Identity,
104,4724,7325,2012-11-20,2014-07-01,Missing,Identity,
105,28623,18219,2010-06-11,2012-01-07,Exception,Identity,
106,19415,2870,2011-12-21,2013-05-09,Missing,Identity,
107,14643,1659,2013-02-01,2014-06-25,Missing,CIP Exception,ID has Expired
108,19487,11717,2013-11-11,2015-06-13,Missing,Identity,
109,27455,23939,2017-11-07,2019-03-23,Missing,Identity,
110,20787,27719,2019-07-06,2021-01-02,Missing,Identity,
111,4410,19877,2010-11-19,2012-05-03,Missing,Identity,
112,4910,22794,2015-09-18,2017-05-09,Exception,Identity,
113,17514,5470,2014-01-30,2015-09-08,Missing,CIP Exception,Please re-sacn ID Verification
114,12889,28849,2017-05-23,2018-11-17,Exception,Identity,
115,19438,25424,2015-02-17,2016-08-18,Exception,Identity,
116,21945,7637,2015-02-19,2016-08-31,Missing,CIP Exception,Please re-sacn ID Verification
117,9294,1960,2012-05-10,2013-11-30,Missing,Identity,
118,13244,18152,2020-01-22,2021-06-27,Missing,CIP Exception,ID has Expired
119,19593,11986,2010-12-29,2012-06-30,Exception,CIP Exception,Please re-sacn ID Verification
120,12528,15935,2013-04-01,2014-10-23,Missing,Identity,
121,19818,10752,2014-11-22,2016-06-19,Missing,CIP Exception,ID has Expired
122,26388,23997,2017-07-18,2019-01-29,Missing,CIP Exception,Please re-sacn ID Verification
123,17562,6603,2017-05-17,2018-12-10,Exception,Identity,
124,26611,2989,2017-08-24,2019-01-11,Exception,Identity,
125,17401,11446,2011-03-23,2012-09-16,Missing,CIP Exception,Please re-sacn ID Verification
126,4071,13951,2013-05-21,2014-10-07,Exception,Identity,
127,26342,498,2014-01-24,2015-08-22,Missing,CIP Exception,ID has Expired
128,3804,16135,2010-12-10,2012-05-07,Exception,CIP Exception,ID has Expired
129,6141,13427,2018-08-18,2020-01-11,Missing,Identity,
130,7113,7854,2010-05-13,2011-10-08,Missing,CIP Exception,Please re-sacn ID Verification
131,24113,23220,2011-02-23,2012-08-23,Missing,Identity,
132,9455,4584,2013-12-09,2015-06-12,Missing,Identity,
133,26669,23609,2011-06-17,2013-01-02,Exception,CIP Exception,ID has Expired
134,14221,26424,2019-06-24,2021-01-09,Missing,Identity,
135,12596,12220,2010-09-19,2012-05-05,Exception,CIP Exception,ID has Expired
136,26504,7914,2016-05-13,2017-12-27,Exception,Identity,
137,27232,18232,2019-02-13,2020-09-17,Missing,CIP Exception,ID has Expired
138,15238,27045,2014-03-16,2015-08-21,Missing,Identity,
139,6447,28099,2014-08-11,2016-01-27,Exception,Identity,
140,20906,23872,2013-02-20,2014-10-01,Exception,Identity,
141,6321,18113,2016-04-07,2017-09-14,Exception,Identity,
142,27576,18788,2011-09-15,2013-03-03,Missing,CIP Exception,Please re-sacn ID Verification
143,23676,27635,2018-01-28,2019-09-01,Missing,CIP Exception,ID has Expired
144,19857,7755,2018-09-12,2020-04-21,Exception,Identity,
145,15689,22715,2011-05-08,2012-12-02,Missing,CIP Exception,Please re-sacn ID Verification
146,11550,15215,2018-01-22,2019-09-03,Missing,CIP Exception,Please re-sacn ID Verification
147,21866,27251,2020-01-23,2021-09-07,Missing,CIP Exception,Please re-sacn ID Verification
148,20750,24490,2019-09-10,2021-04-17,Exception,CIP Exception,Please re-sacn ID Verification
149,1334,14496,2019-02-24,2020-10-11,Missing,CIP Exception,ID has Expired
150,6590,13480,2016-03-14,2017-10-24,Missing,Identity,
151,8213,3541,2013-07-16,2015-01-19,Exception,CIP Exception,Please re-sacn ID Verification
152,4462,6397,2018-12-20,2020-05-18,Exception,Identity,
153,23790,20288,2020-06-12,2021-12-15,Missing,Identity,
154,22612,23948,2017-10-24,2019-04-21,Exception,Identity,
155,26371,2647,2019-10-06,2021-02-24,Missing,CIP Exception,Please re-sacn ID Verification
156,14643,16394,2020-04-02,2021-09-25,Missing,CIP Exception,ID has Expired
157,7582,15794,2016-05-28,2017-10-31,Missing,Identity,
158,13699,26654,2014-07-10,2015-12-09,Missing,CIP Exception,ID has Expired
159,28797,18362,2013-10-23,2015-05-17,Exception,CIP Exception,ID has Expired
160,12852,4337,2019-06-07,2020-12-13,Missing,CIP Exception,Please re-sacn ID Verification
161,6412,14967,2018-04-23,2019-10-20,Missing,Identity,
162,16174,4417,2010-01-07,2011-08-06,Exception,CIP Exception,Please re-sacn ID Verification
163,17208,7366,2010-05-12,2011-10-26,Exception,Identity,
164,5529,18152,2015-06-25,2017-02-12,Missing,Identity,
165,22360,4376,2015-05-21,2016-11-09,Exception,Identity,
166,24931,978,2018-04-16,2019-09-08,Exception,Identity,
167,24291,18568,2011-05-09,2012-09-24,Exception,CIP Exception,Please re-sacn ID Verification
168,28869,19262,2012-04-09,2013-10-16,Exception,Identity,
169,13449,12789,2015-02-18,2016-09-10,Missing,CIP Exception,Please re-sacn ID Verification
170,3264,22596,2013-05-17,2014-10-12,Exception,Identity,
171,3513,13877,2017-01-24,2018-07-03,Exception,Identity,
172,27536,20541,2010-01-11,2011-06-15,Missing,CIP Exception,Please re-sacn ID Verification
173,9596,22632,2019-07-25,2021-02-11,Exception,CIP Exception,ID has Expired
174,4965,19850,2010-10-06,2012-03-29,Exception,CIP Exception,Please re-sacn ID Verification
175,2243,9548,2013-12-08,2015-06-12,Exception,CIP Exception,ID has Expired
176,14970,21285,2014-03-10,2015-07-28,Exception,Identity,
177,1967,18112,2012-08-20,2014-01-31,Missing,CIP Exception,ID has Expired
178,23607,5992,2020-08-22,2022-01-10,Missing,CIP Exception,ID has Expired
179,14024,3623,2015-07-13,2017-02-11,Missing,CIP Exception,Please re-sacn ID Verification
180,13137,9847,2010-11-25,2012-05-03,Missing,CIP Exception,ID has Expired
181,27116,3669,2020-01-24,2021-08-16,Missing,Identity,
182,19141,25121,2018-03-24,2019-08-07,Missing,Identity,
183,26101,25191,2013-05-26,2014-11-04,Missing,CIP Exception,ID has Expired
184,13582,10907,2011-03-19,2012-10-18,Missing,CIP Exception,ID has Expired
185,17424,24883,2016-10-29,2018-06-05,Exception,CIP Exception,ID has Expired
186,14838,13473,2018-11-02,2020-05-19,Exception,CIP Exception,ID has Expired
187,6382,10326,2017-01-11,2018-06-30,Missing,CIP Exception,ID has Expired
188,13532,14370,2016-09-06,2018-04-20,Exception,Identity,
189,7707,9628,2019-07-20,2021-02-21,Missing,Identity,
190,27129,16376,2014-09-11,2016-02-13,Missing,CIP Exception,ID has Expired
191,4939,15453,2011-09-24,2013-02-12,Exception,Identity,
192,16457,12263,2010-05-05,2011-10-31,Missing,Identity,
193,6859,231,2010-11-03,2012-04-26,Exception,CIP Exception,ID has Expired
194,1623,17258,2016-08-12,2018-03-05,Exception,CIP Exception,Please re-sacn ID Verification
195,8193,28872,2010-10-02,2012-05-12,Missing,Identity,
196,7907,3966,2012-01-25,2013-07-10,Exception,CIP Exception,ID has Expired
197,5709,7134,2011-03-05,2012-08-05,Missing,CIP Exception,Please re-sacn ID Verification
198,19519,21296,2010-02-02,2011-09-20,Exception,Identity,
199,18431,27243,2012-06-02,2013-11-03,Exception,Identity,
200,21361,8399,2020-02-29,2021-07-30,Missing,CIP Exception,Please re-sacn ID Verification
201,5261,22677,2018-11-11,2020-06-24,Exception,CIP Exception,Please re-sacn ID Verification
202,16846,4950,2010-02-14,2011-06-30,Exception,Identity,
203,24494,9937,2019-02-07,2020-08-29,Exception,Identity,
204,4251,16816,2018-09-26,2020-03-22,Exception,Identity,
205,16014,25347,2017-05-04,2018-10-16,Exception,CIP Exception,ID has Expired
206,27720,2512,2018-12-19,2020-06-09,Missing,CIP Exception,ID has Expired
207,27011,14962,2014-03-23,2015-09-26,Missing,Identity,
208,7893,8738,2013-08-09,2015-01-22,Missing,Identity,
209,15807,19003,2016-08-27,2018-03-03,Exception,Identity,
210,12443,26461,2014-01-04,2015-07-03,Missing,CIP Exception,ID has Expired
211,24548,7248,2014-05-12,2015-11-27,Exception,CIP Exception,ID has Expired
212,12057,3214,2012-10-07,2014-02-20,Exception,Identity,
213,2361,4754,2011-03-02,2012-08-21,Missing,Identity,
214,23742,24212,2016-05-22,2017-12-24,Exception,Identity,
215,317,27105,2010-07-20,2012-02-02,Missing,Identity,
216,7480,28545,2012-04-03,2013-09-29,Missing,CIP Exception,ID has Expired
217,4810,12442,2012-09-08,2014-02-06,Missing,CIP Exception,Please re-sacn ID Verification
218,26208,9920,2020-03-29,2021-11-12,Exception,CIP Exception,ID has Expired
219,20326,24331,2019-12-31,2021-06-06,Exception,Identity,
220,8867,18740,2017-05-29,2018-12-05,Missing,CIP Exception,Please re-sacn ID Verification
221,8362,2524,2018-03-09,2019-10-15,Missing,CIP Exception,ID has Expired
222,7654,4291,2016-10-26,2018-03-26,Exception,CIP Exception,ID has Expired
223,1974,26830,2019-11-17,2021-05-05,Exception,Identity,
224,7183,26884,2013-08-21,2015-01-21,Missing,Identity,
225,19264,2410,2010-11-03,2012-06-09,Missing,Identity,
226,27112,9652,2011-11-15,2013-05-15,Missing,Identity,
227,5421,20846,2012-12-01,2014-06-14,Missing,Identity,
228,1804,24038,2011-09-30,2013-04-15,Exception,Identity,
229,25302,540,2011-12-26,2013-05-28,Exception,Identity,
230,18522,26207,2018-04-30,2019-09-24,Exception,CIP Exception,ID has Expired
231,4271,10685,2014-02-21,2015-09-20,Exception,Identity,
232,7330,8145,2011-01-11,2012-05-25,Missing,Identity,
233,5781,23306,2018-01-19,2019-06-18,Exception,Identity,
234,17013,19997,2011-01-05,2012-08-21,Missing,CIP Exception,ID has Expired
235,11689,21109,2013-02-16,2014-08-28,Exception,CIP Exception,ID has Expired
236,15996,6352,2011-01-27,2012-07-14,Exception,CIP Exception,ID has Expired
237,19667,17370,2018-01-28,2019-09-09,Exception,Identity,
238,18062,19350,2016-10-08,2018-05-26,Missing,CIP Exception,ID has Expired
239,28025,26504,2017-08-28,2019-03-28,Exception,Identity,
240,3590,14728,2014-11-21,2016-05-21,Exception,Identity,
241,7036,22692,2010-04-29,2011-12-02,Exception,CIP Exception,Please re-sacn ID Verification
242,2333,27723,2012-10-16,2014-05-06,Exception,Identity,
243,18212,21880,2014-06-25,2015-12-17,Exception,CIP Exception,Please re-sacn ID Verification
244,25625,15401,2017-07-02,2019-02-12,Missing,CIP Exception,Please re-sacn ID Verification
245,12551,19192,2012-12-15,2014-06-07,Missing,Identity,
246,24383,28403,2015-10-11,2017-03-05,Exception,Identity,
247,20340,18891,2015-06-29,2017-02-01,Exception,Identity,
248,19237,12780,2019-01-22,2020-07-23,Missing,CIP Exception,Please re-sacn ID Verification
249,20144,11158,2018-11-02,2020-05-02,Missing,CIP Exception,Please re-sacn ID Verification
250,15902,19722,2016-10-07,2018-03-26,Exception,Identity,
251,19806,6826,2018-09-27,2020-04-20,Exception,Identity,
252,1469,15930,2012-03-10,2013-09-19,Exception,CIP Exception,Please re-sacn ID Verification
253,20257,2596,2016-06-24,2017-12-25,Missing,CIP Exception,ID has Expired
254,5060,23926,2012-12-26,2014-07-04,Missing,Identity,
255,19157,2173,2018-02-10,2019-07-07,Missing,Identity,
256,18966,9253,2015-05-26,2016-12-30,Exception,CIP Exception,ID has Expired
257,20159,21332,2011-03-30,2012-09-30,Missing,CIP Exception,ID has Expired
258,11958,8121,2014-04-06,2015-10-12,Exception,Identity,
259,22660,974,2011-12-21,2013-06-23,Exception,CIP Exception,ID has Expired
260,21972,5989,2020-07-01,2021-12-28,Exception,Identity,
261,4766,24749,2013-06-17,2014-12-18,Exception,Identity,
262,4836,20204,2018-03-25,2019-09-16,Missing,Identity,
263,14080,11255,2009-11-06,2011-04-04,Missing,Identity,
264,25966,2678,2013-09-19,2015-02-15,Exception,CIP Exception,ID has Expired
265,18149,9025,2017-10-10,2019-04-05,Exception,CIP Exception,ID has Expired
266,18744,3740,2017-12-22,2019-08-10,Missing,CIP Exception,Please re-sacn ID Verification
267,12889,14023,2013-02-27,2014-07-25,Exception,CIP Exception,ID has Expired
268,18760,2128,2014-02-27,2015-08-18,Missing,Identity,
269,6278,17739,2012-11-20,2014-07-12,Exception,CIP Exception,Please re-sacn ID Verification
270,22365,16336,2012-10-28,2014-03-15,Exception,Identity,
271,15417,11731,2015-05-23,2016-11-18,Missing,Identity,
272,25930,11593,2019-01-25,2020-08-08,Exception,Identity,
273,23560,26314,2009-10-21,2011-03-26,Missing,CIP Exception,ID has Expired
274,26744,22399,2019-04-30,2020-09-26,Exception,CIP Exception,ID has Expired
275,26971,26413,2018-06-09,2020-01-11,Missing,CIP Exception,ID has Expired
276,361,16853,2013-05-14,2014-10-14,Missing,Identity,
277,2575,16876,2013-05-18,2014-10-25,Missing,Identity,
278,3873,18818,2010-08-23,2012-01-17,Exception,CIP Exception,ID has Expired
279,3163,3841,2019-06-16,2021-01-04,Missing,CIP Exception,ID has Expired
280,15871,27668,2020-03-07,2021-09-06,Exception,CIP Exception,ID has Expired
281,6802,17272,2017-04-04,2018-11-07,Exception,CIP Exception,Please re-sacn ID Verification
282,2749,267,2014-07-23,2016-01-26,Exception,Identity,
283,27644,20111,2018-11-09,2020-05-01,Missing,Identity,
284,123,10540,2011-09-30,2013-04-19,Exception,Identity,
285,16775,10368,2011-02-25,2012-07-21,Exception,CIP Exception,Please re-sacn ID Verification
286,1550,9901,2009-11-23,2011-06-18,Exception,Identity,
287,20541,10456,2011-09-29,2013-03-18,Missing,Identity,
288,6160,13420,2010-10-02,2012-02-28,Exception,Identity,
289,6213,24503,2010-02-25,2011-09-05,Missing,CIP Exception,ID has Expired
290,19980,12604,2011-09-16,2013-05-08,Exception,Identity,
291,16345,17959,2010-08-31,2012-03-23,Missing,Identity,
292,23680,6856,2016-12-01,2018-05-28,Missing,Identity,
293,26457,22165,2011-07-07,2012-12-18,Missing,Identity,
294,1548,3927,2013-01-22,2014-09-11,Exception,CIP Exception,ID has Expired
295,17699,24367,2013-10-10,2015-04-17,Missing,Identity,
296,20215,10372,2014-11-28,2016-06-10,Exception,Identity,
297,11330,28270,2018-10-21,2020-05-24,Missing,Identity,
298,14848,14173,2010-02-08,2011-08-18,Exception,CIP Exception,Please re-sacn ID Verification
299,16946,14844,2016-03-16,2017-10-05,Missing,CIP Exception,Please re-sacn ID Verification
300,27129,9470,2015-09-27,2017-03-20,Exception,CIP Exception,ID has Expired
301,14191,7651,2016-10-28,2018-06-09,Exception,Identity,
302,18802,5388,2013-03-15,2014-10-03,Exception,Identity,
303,17599,1436,2013-07-13,2015-02-24,Exception,CIP Exception,ID has Expired
304,22819,9337,2010-07-19,2012-02-17,Missing,CIP Exception,ID has Expired
305,20262,17144,2011-07-15,2012-12-09,Exception,Identity,
306,22463,11360,2020-05-13,2021-10-26,Missing,Identity,
307,10157,20771,2013-12-12,2015-06-15,Exception,Identity,
308,12731,28961,2015-05-31,2017-01-17,Exception,Identity,
309,13017,6953,2019-01-25,2020-08-11,Exception,Identity,
310,13797,7136,2012-10-19,2014-04-18,Missing,CIP Exception,ID has Expired
311,304,23208,2020-09-20,2022-04-28,Exception,Identity,
312,21393,1300,2016-09-10,2018-02-20,Missing,CIP Exception,Please re-sacn ID Verification
313,19993,20977,2011-10-08,2013-05-15,Missing,Identity,
314,25827,27155,2010-02-02,2011-06-29,Missing,Identity,
315,5134,9770,2011-08-20,2013-03-17,Missing,Identity,
316,12716,26959,2015-05-14,2016-11-20,Missing,CIP Exception,ID has Expired
317,5758,4706,2015-04-26,2016-09-17,Exception,CIP Exception,Please re-sacn ID Verification
318,23109,20355,2013-01-09,2014-06-30,Exception,Identity,
319,932,23006,2018-07-10,2019-12-19,Missing,CIP Exception,Please re-sacn ID Verification
320,627,19790,2020-06-07,2022-01-20,Missing,Identity,
321,23290,24068,2018-01-15,2019-09-06,Exception,CIP Exception,Please re-sacn ID Verification
322,21598,8363,2010-03-19,2011-10-19,Exception,CIP Exception,ID has Expired
323,28657,22269,2020-03-31,2021-10-24,Exception,Identity,
324,18381,10580,2018-02-10,2019-09-24,Exception,Identity,
325,25151,7130,2020-07-16,2021-12-01,Exception,CIP Exception,Please re-sacn ID Verification
326,22944,11786,2011-08-10,2013-03-28,Exception,Identity,
327,4328,19637,2017-10-10,2019-06-01,Missing,Identity,
328,798,14496,2014-07-27,2016-02-10,Exception,Identity,
329,21209,25327,2016-01-02,2017-08-16,Exception,CIP Exception,ID has Expired
330,8208,22744,2011-04-24,2012-09-09,Missing,CIP Exception,ID has Expired
331,21471,11642,2020-03-20,2021-09-18,Missing,Identity,
332,25987,26359,2012-11-05,2014-05-17,Missing,CIP Exception,Please re-sacn ID Verification
333,2509,9875,2016-06-03,2017-11-27,Missing,Identity,
334,21932,22239,2017-09-15,2019-01-28,Missing,CIP Exception,ID has Expired
335,557,22067,2014-07-29,2016-02-29,Missing,CIP Exception,Please re-sacn ID Verification
336,15754,25404,2013-11-02,2015-06-16,Missing,CIP Exception,Please re-sacn ID Verification
337,18879,5693,2012-10-29,2014-05-02,Missing,Identity,
338,27200,20317,2014-09-27,2016-05-08,Exception,Identity,
339,852,2810,2018-03-14,2019-07-28,Exception,Identity,
340,19247,14240,2011-10-09,2013-05-06,Exception,CIP Exception,ID has Expired
341,22971,4757,2018-09-06,2020-03-01,Missing,Identity,
342,3489,26988,2016-07-23,2017-12-05,Exception,Identity,
343,15528,10550,2019-09-21,2021-03-03,Exception,Identity,
344,21985,5717,2011-07-08,2012-12-25,Missing,CIP Exception,Please re-sacn ID Verification
345,26170,20484,2016-08-07,2018-03-25,Missing,CIP Exception,ID has Expired
346,786,20563,2017-08-08,2019-01-03,Exception,Identity,
347,11472,12839,2013-08-25,2015-02-18,Exception,CIP Exception,Please re-sacn ID Verification
348,28846,5483,2018-10-12,2020-03-25,Missing,Identity,
349,26833,16916,2017-05-28,2018-12-17,Exception,CIP Exception,ID has Expired
350,24669,22288,2015-09-08,2017-02-20,Missing,CIP Exception,ID has Expired
351,902,8467,2010-06-28,2011-12-18,Missing,Identity,
352,18462,27176,2009-12-05,2011-05-09,Exception,CIP Exception,ID has Expired
353,23909,4164,2018-10-15,2020-05-14,Missing,Identity,
354,2639,3678,2010-11-02,2012-05-25,Missing,Identity,
355,13403,15390,2017-03-18,2018-08-11,Exception,Identity,
356,21186,20759,2011-02-16,2012-10-06,Missing,Identity,
357,20544,9883,2016-10-05,2018-05-01,Missing,CIP Exception,ID has Expired
358,5258,2648,2017-07-25,2018-12-30,Exception,Identity,
359,18454,23176,2011-03-31,2012-09-10,Missing,CIP Exception,Please re-sacn ID Verification
360,10804,8898,2010-06-18,2012-01-30,Missing,CIP Exception,ID has Expired
361,324,24842,2012-04-18,2013-09-22,Missing,CIP Exception,ID has Expired
362,18764,21166,2018-10-26,2020-05-14,Exception,Identity,
363,2155,17023,2010-07-27,2011-12-11,Missing,Identity,
364,26847,9365,2012-12-04,2014-05-29,Exception,CIP Exception,ID has Expired
365,23251,21827,2012-11-11,2014-04-10,Exception,Identity,
366,13464,28025,2010-04-19,2011-09-19,Missing,CIP Exception,ID has Expired
367,24975,15256,2017-12-03,2019-04-26,Missing,Identity,
368,13512,10974,2019-07-02,2021-02-15,Exception,Identity,
369,26995,12074,2017-05-10,2018-11-17,Exception,Identity,
370,17353,28476,2011-05-19,2012-12-13,Missing,CIP Exception,ID has Expired
371,25346,27075,2017-11-21,2019-06-26,Missing,Identity,
372,27847,1205,2018-03-08,2019-09-16,Exception,CIP Exception,Please re-sacn ID Verification
373,3772,28592,2017-08-28,2019-04-19,Missing,CIP Exception,Please re-sacn ID Verification
374,7556,16671,2013-04-29,2014-11-07,Exception,CIP Exception,ID has Expired
375,23928,27163,2012-02-26,2013-08-11,Missing,Identity,
376,14633,231,2016-09-10,2018-03-12,Missing,CIP Exception,ID has Expired
377,8436,4518,2009-11-13,2011-06-03,Exception,CIP Exception,ID has Expired
378,18796,2280,2015-09-02,2017-03-09,Missing,CIP Exception,ID has Expired
379,16636,10101,2012-02-15,2013-09-01,Missing,Identity,
380,12119,20122,2017-06-10,2019-01-24,Missing,Identity,
381,4870,4682,2011-08-18,2013-01-02,Exception,Identity,
382,22635,8380,2012-12-01,2014-05-19,Exception,Identity,
383,17857,15432,2019-11-30,2021-04-20,Missing,CIP Exception,Please re-sacn ID Verification
384,19062,17431,2013-11-17,2015-07-09,Missing,Identity,
