Credit Index,Scheduled Calls ,Scheduled emails,Interest,Paid,Due,Balance,Date,City
71,8,6,6,55,95,34,6/13/2022,Oklahoma City
84,6,7,8,84,82,6,4/9/2023,San Jose
69,6,6,2,36,95,44,8/7/2023,Cambridge
84,9,5,5,20,83,64,1/1/2023,Tallahassee
82,2,7,1,10,73,38,7/22/2023,Des Moines
94,4,5,3,42,2,50,7/26/2023,Cambridge
91,0,7,2,74,47,1,3/7/2022,Overland Park
69,7,6,3,13,54,84,11/28/2023,Allentown
40,7,8,2,94,17,98,3/26/2023,Cheyenne
75,4,7,8,56,79,87,6/25/2023,Lewiston
99,6,8,1,4,43,80,4/25/2023,Frankfort
87,8,5,6,71,25,59,9/9/2023,Denver
91,3,5,1,9,62,83,10/24/2023,Los Angeles
60,6,5,7,53,81,85,9/14/2023,Louisville
68,4,6,3,16,34,85,11/25/2023,Sioux City
71,10,7,0,30,78,40,2/1/2022,Fort Wayne
78,8,8,1,69,83,90,3/14/2022,Lincoln
99,8,7,4,24,14,95,2/13/2022,Hattiesburg
100,1,7,2,47,63,48,6/17/2023,Tuscaloosa
76,6,5,7,8,75,77,8/1/2023,Idaho Falls
41,5,5,9,49,53,90,11/12/2022,Minneapolis
82,8,5,10,38,40,88,1/13/2023,Birmingham
97,1,8,9,39,7,16,8/25/2022,Houston
49,8,7,6,48,87,23,2/1/2023,Great Falls
85,8,6,2,53,37,36,5/23/2023,Hillsboro
45,4,7,2,59,69,39,10/3/2022,Dallas
82,10,6,8,49,95,0,12/6/2023,Lewiston
77,10,7,0,39,32,97,4/5/2023,Fort Wayne
79,3,8,1,8,81,0,9/13/2023,Lexington
59,4,6,4,89,75,33,12/30/2022,Paradise
77,9,7,10,51,99,32,8/11/2022,Eugene
87,1,8,0,36,16,31,12/2/2023,Lakewood
66,4,6,1,53,96,97,11/13/2022,Jefferson City
95,7,6,6,67,57,20,6/8/2022,Kansas City
67,1,6,5,55,15,60,2/2/2022,Racine
59,3,5,10,67,98,10,3/23/2022,Jacksonville
78,2,6,1,18,30,19,7/22/2023,Portland
72,4,7,8,59,96,81,5/29/2023,Baltimore
85,1,8,2,42,32,65,7/29/2022,Jonesboro
90,3,8,1,16,29,54,7/25/2022,Bowling Green
41,7,7,2,67,55,72,11/24/2023,Portland
42,3,7,6,25,90,78,4/1/2023,Clarksville
82,3,7,6,28,67,45,4/26/2022,Kapolei
73,3,8,2,48,43,58,1/29/2022,Jacksonville
89,8,8,8,3,75,59,12/8/2022,Mesa
63,2,7,0,88,86,29,2/18/2022,Springdale
95,6,8,1,21,6,18,1/31/2022,Duluth
72,10,7,0,34,8,78,11/19/2022,Fort Collins
97,5,6,4,5,26,29,1/26/2022,Lexington
43,9,7,10,13,35,81,12/7/2022,Lawton
87,10,6,7,88,38,68,5/13/2023,Gillette
52,9,8,5,79,47,83,3/26/2022,South Burlington
81,1,6,4,73,34,52,11/8/2022,Grand Rapids
47,7,6,2,51,50,7,12/1/2023,Kansas City
100,9,7,8,23,6,45,6/5/2023,Sioux City
92,5,7,0,64,25,24,12/18/2023,Tulsa
98,8,7,8,96,47,86,2/10/2023,Tallahassee
98,5,6,10,82,23,85,12/13/2023,Erie
64,0,6,4,13,96,30,2/25/2022,Cedar Rapids
90,5,6,5,41,94,63,8/27/2022,Helena
78,4,7,4,49,34,90,12/9/2022,Reno
55,3,7,8,3,31,30,9/14/2022,Kearney
79,4,7,8,53,31,85,10/30/2022,Kailua
59,3,6,6,69,60,0,11/30/2023,Joliet
70,8,6,3,34,8,62,5/9/2023,Cedar Rapids
69,6,6,3,42,81,59,8/11/2022,Annapolis
43,5,7,2,35,21,52,2/28/2023,Colorado Springs
53,1,8,4,47,6,53,9/27/2022,Erie
84,9,6,4,4,6,70,5/19/2023,Honolulu
88,9,7,4,56,56,94,6/25/2023,Erie
76,3,6,5,59,92,86,1/3/2023,Lansing
51,5,7,7,88,61,1,4/29/2022,Oklahoma City
57,7,6,0,8,10,25,8/9/2023,Minneapolis
91,5,6,2,62,32,29,4/16/2022,Green Bay
87,7,6,4,50,72,5,11/25/2023,Houston
59,8,7,10,51,37,61,10/8/2022,Joliet
40,7,6,3,14,10,11,9/5/2022,Topeka
62,9,7,3,10,38,83,3/13/2023,Akron
47,8,5,0,59,81,71,2/14/2023,San Antonio
81,4,7,4,84,38,75,3/1/2023,Baton Rouge
66,6,6,7,99,21,60,8/21/2022,Nashville
88,1,7,6,14,73,26,7/6/2023,Rockford
65,0,8,6,73,6,56,5/14/2023,Cheyenne
68,4,6,8,51,89,67,7/27/2023,Baton Rouge
63,3,6,1,16,61,83,4/25/2023,Springfield
65,8,5,6,40,90,86,4/10/2022,Fresno
43,9,6,8,87,33,10,8/29/2023,Augusta
75,4,8,7,77,7,85,10/17/2022,Gaithersburg
88,5,6,3,13,81,22,11/21/2023,Montgomery
87,2,8,6,95,63,39,12/18/2022,Auburn
99,1,5,8,99,89,93,10/22/2023,Anchorage
54,1,6,5,59,44,54,7/21/2023,Montgomery
73,1,5,0,52,94,6,1/28/2023,Omaha
58,8,7,7,91,58,57,3/23/2022,Nashville
58,9,6,7,44,50,85,6/22/2023,Athens
75,2,7,2,14,40,80,9/29/2023,Meridian
63,5,6,3,54,6,71,7/11/2023,Auburn
82,3,6,1,60,44,61,10/22/2023,Boston
87,5,6,2,79,90,44,10/22/2023,Essex
72,10,5,6,67,16,77,7/8/2023,Gresham
40,3,6,5,53,18,62,8/19/2022,Springfield
90,6,7,0,63,32,86,1/27/2022,Eugene
70,4,5,5,91,84,98,7/6/2023,Seattle
60,9,7,3,62,9,97,8/8/2023,Kaneohe
52,0,5,2,92,53,15,12/25/2023,Billings
68,1,5,6,82,4,82,11/29/2022,Lincoln
75,9,7,6,39,80,30,7/18/2022,Racine
51,6,6,8,28,20,7,7/23/2023,Cincinnati
56,1,6,4,37,85,59,11/1/2023,Sandy
58,9,6,0,81,40,73,6/25/2022,Lansing
55,3,6,5,3,39,24,6/5/2023,Fort Smith
57,3,8,7,59,19,8,1/21/2023,Laramie
71,5,7,4,26,8,40,8/2/2022,Minneapolis
57,4,6,7,83,85,71,4/19/2023,Lexington
81,9,8,8,62,53,4,9/28/2023,Vancouver
64,5,7,5,22,74,20,6/7/2023,West Jordan
99,2,8,3,57,98,78,11/8/2022,Southaven
72,3,7,6,50,14,34,9/24/2022,Chesapeake
80,2,5,4,56,77,43,5/4/2023,St. Petersburg
87,4,5,8,21,47,16,4/5/2022,Springdale
93,6,6,0,85,100,9,5/9/2023,Tucson
84,1,5,10,43,27,55,7/11/2022,Pike Creek
45,8,7,4,63,43,53,12/25/2023,Chicago
90,2,7,0,33,72,79,11/20/2023,Burlington
50,6,8,7,95,85,44,9/6/2023,Bozeman
66,1,6,5,16,42,72,4/23/2022,Provo
77,7,7,9,64,41,93,10/17/2022,Augusta
80,0,8,5,68,88,14,10/17/2023,Montpelier
58,4,8,4,10,81,8,10/25/2022,Gulfport
47,4,6,2,89,42,87,2/3/2022,Glendale
53,2,6,3,46,1,6,5/8/2023,Saint Paul
88,4,6,4,86,56,27,2/20/2023,Bozeman
56,1,6,6,92,52,69,3/30/2022,Springfield
67,8,7,8,31,36,34,3/19/2022,Pocatello
42,8,6,6,31,3,18,12/14/2022,Metairie
41,5,5,9,90,23,8,10/16/2023,Birmingham
93,5,6,8,47,2,34,9/12/2023,Reno
