non_performing_account_id,non_performing_amount,tier1,risk_weighted_assets,created_date,account_id,description
9626,714012,259421,140985,2019-11-17,25952,abc
1302,818201,228656,576740,2021-01-15,8656,abc
34726,929268,700303,831359,2021-09-18,24584,xyz
37057,189609,515937,537842,2021-12-01,29586,abc
27051,819253,227394,915616,2022-05-26,12599,abc
16512,715074,770740,518264,2023-04-20,18370,xyz
26884,161764,527246,694608,2021-10-19,9702,abc
10824,474815,927262,143102,2022-01-04,5986,xyz
34000,703395,342184,189161,2019-09-17,4754,xyz
9399,298290,761431,529922,2021-08-17,1844,abc
39593,492740,523368,845309,2020-04-11,32617,abc
25984,717211,987376,260428,2023-05-03,30382,xyz
10269,524140,668785,191309,2020-04-25,3043,xyz
6274,148557,381644,983521,2023-02-19,28702,abc
21349,544099,797756,848721,2020-08-08,28842,xyz
5448,436925,752784,209310,2019-08-26,15368,abc
34618,546829,435284,950725,2021-06-17,19951,abc
29073,506360,312459,261717,2019-08-31,38661,abc
32080,351582,369746,630268,2022-07-24,38880,xyz
28219,705778,554606,103410,2022-09-05,8804,xyz
37425,369014,310856,829319,2020-01-03,39496,abc
25532,398511,868027,875026,2021-01-02,22930,abc
31292,996414,282761,313068,2021-03-24,9653,xyz
908,506878,656663,974360,2022-07-18,26717,abc
12816,469591,458698,147523,2023-03-14,30152,xyz
18793,689982,757643,679364,2021-10-21,32574,xyz
10363,168836,527885,619217,2019-12-12,3740,abc
16880,238533,913837,566788,2021-02-17,5717,xyz
30874,845998,170060,637522,2021-11-04,10549,xyz
15233,711421,593062,544854,2023-04-09,11084,xyz
26346,959426,794406,932000,2020-04-30,17455,abc
9454,544584,391545,381458,2021-11-11,1102,abc
16849,718298,549288,546752,2020-07-18,39626,xyz
6210,711223,706011,717663,2021-07-11,28870,xyz
13575,324167,444845,966499,2022-12-13,27164,abc
14593,321479,201197,198954,2020-12-07,7816,xyz
32277,941091,331053,722391,2023-01-18,34661,abc
15943,370107,964934,190570,2020-07-30,32303,xyz
17935,124218,774362,750519,2023-06-30,15738,abc
38597,576282,336705,782834,2022-04-23,11610,xyz
34755,266248,900549,915141,2021-04-04,38919,abc
13111,127431,951627,604682,2022-02-14,17628,xyz
16104,839598,960783,483679,2020-04-23,3274,xyz
11218,289445,964308,345771,2022-04-15,33165,xyz
5053,748121,534395,906214,2022-07-24,19261,abc
39841,114575,984674,508995,2020-07-18,2354,xyz
10276,301435,726249,614131,2020-03-06,10146,abc
950,361651,575300,299124,2022-03-05,17392,abc
26829,200194,547125,447383,2020-03-09,28518,xyz
5708,343443,667920,880154,2022-06-23,35465,abc
27076,741346,264346,723507,2022-12-10,4604,abc
15070,536888,232517,194064,2021-06-11,3690,abc
20462,304647,985694,806935,2020-04-08,28406,xyz
20128,815042,274768,312345,2021-04-13,24565,abc
3188,345964,865086,662150,2020-10-25,31860,abc
17592,797071,128718,254583,2020-09-29,7597,abc
2329,195458,338032,977711,2020-12-01,33461,abc
23249,949699,291554,619807,2021-07-02,35076,xyz
1899,847259,407031,696071,2022-02-26,25563,abc
26146,922227,378096,422475,2019-11-03,27760,abc
19245,373837,877444,349011,2022-11-08,20444,xyz
12278,872260,928714,453804,2021-01-05,5091,xyz
28815,237610,143330,573307,2022-04-30,33962,abc
36045,343135,932428,876792,2022-01-28,8578,xyz
34317,735086,566240,301788,2020-05-06,32089,abc
34412,437901,311353,466087,2020-11-05,5503,xyz
8892,484276,375238,945648,2021-04-12,39651,abc
9098,581213,802677,338261,2023-05-09,2485,abc
18678,325870,149803,517390,2020-08-16,17717,abc
14623,700006,726321,848316,2022-10-25,20601,abc
8840,379736,543348,857052,2020-09-25,35780,abc
21719,323239,602855,338818,2023-05-19,10795,xyz
7766,634891,137778,756841,2023-03-13,2693,xyz
15469,403164,748946,641771,2020-07-15,20921,abc
19635,664694,417807,764021,2020-12-17,29870,abc
39052,973695,832757,509760,2021-02-20,8865,abc
12599,168959,989993,146672,2022-09-14,30905,xyz
5636,664997,454256,791416,2023-06-09,6925,xyz
24687,948185,503723,737532,2023-06-16,3104,abc
11215,392782,353538,183000,2022-08-01,27563,xyz
32845,899694,883684,237507,2020-10-08,16002,xyz
29476,600926,886219,564234,2022-12-29,17308,xyz
11440,250470,918787,737600,2023-02-21,28738,abc
35278,485189,623932,799686,2022-04-08,9024,xyz
18730,372065,590151,980774,2019-12-14,38660,abc
17787,154299,408176,797071,2022-02-13,2716,xyz
23641,822494,548566,931166,2020-06-22,7474,xyz
17629,379526,510280,878945,2019-12-13,35584,xyz
14482,137131,378769,582616,2023-05-19,20175,xyz
23408,826534,396864,683958,2022-07-22,11014,abc
24550,642555,942318,629006,2019-09-06,6704,abc
3841,524018,510283,430117,2019-10-29,7329,xyz
26151,335866,298793,860004,2019-09-27,35584,abc
35904,594292,123394,130587,2022-03-18,32027,xyz
20054,979181,630521,247885,2022-11-09,7898,abc
18099,511474,394832,834942,2021-11-13,8037,xyz
34702,913960,150087,704493,2021-08-30,4037,abc
20110,940052,994913,116812,2021-09-12,16629,xyz
8685,685617,993744,779577,2020-12-30,12351,xyz
34641,983293,317361,170603,2019-07-27,1466,abc
17792,133768,316307,256190,2020-06-28,27676,xyz
12882,740310,174988,555637,2022-10-26,32475,xyz
30268,785898,703464,909053,2021-07-29,14924,xyz
3700,197835,127388,650120,2021-08-05,3058,xyz
31504,290777,441312,650382,2023-01-10,37967,abc
39758,869805,811966,209612,2020-09-15,17057,xyz
22060,838005,872602,791768,2022-03-23,12339,xyz
3407,165554,656753,587788,2021-04-26,34239,xyz
7981,372438,773392,433572,2020-01-08,34331,abc
38462,473488,461564,634603,2023-07-23,2193,abc
25542,833038,141512,682514,2022-12-29,26417,abc
10564,328241,285466,233314,2021-04-07,36550,xyz
9149,343682,404107,519037,2021-03-18,10873,abc
1945,173428,313232,304361,2023-03-20,35965,abc
21657,209059,481140,605252,2022-06-04,35363,xyz
861,812704,191344,344078,2020-01-18,29395,xyz
19591,820511,765990,154516,2021-03-21,11487,abc
26124,557381,915249,325281,2023-06-21,15634,abc
39009,393413,495077,117253,2022-11-27,29734,xyz
9707,690330,404844,436889,2021-03-25,35667,abc
26233,101718,789993,897002,2021-09-13,32487,xyz
35115,331384,552003,987330,2020-09-28,27816,abc
3429,242068,444049,423420,2022-03-12,28604,abc
26697,529814,615389,469680,2023-07-14,21778,xyz
15784,115726,548386,920905,2020-11-06,18212,abc
26501,832630,884792,671232,2020-06-20,1209,abc
1145,490861,532042,662908,2021-03-11,23677,abc
10970,380433,992790,915940,2020-08-21,4811,abc
24218,863474,982356,706304,2021-06-11,20406,xyz
37126,799213,677789,707388,2019-07-26,28014,abc
29162,904925,556273,342095,2023-01-20,12465,xyz
34104,268673,281106,940738,2021-04-25,36621,abc
38325,846700,907991,709725,2022-02-16,24555,xyz
8880,714268,703589,732265,2020-01-19,36408,abc
8307,846386,889475,798918,2022-12-06,31037,xyz
34819,326023,936409,466566,2022-09-24,38287,abc
15916,343286,319802,576803,2022-04-19,11289,xyz
9729,608698,890264,166221,2020-01-30,36164,abc
5973,451754,150699,940018,2022-11-22,23834,abc
32315,798491,266451,596297,2021-07-01,5071,abc
23730,443658,474807,305371,2023-01-15,4968,abc
35012,150242,748258,773197,2022-05-20,15774,xyz
37296,777871,648326,215856,2019-12-09,20845,xyz
18696,954411,488906,334614,2023-05-07,26444,abc
5610,360466,558691,671709,2019-12-21,27273,xyz
22992,777388,802026,890562,2022-11-16,24458,xyz
29862,104251,522561,139434,2022-03-25,5951,abc
17626,798978,512573,306461,2023-07-24,21690,abc
16018,642021,157540,511458,2021-07-22,2249,abc
25960,761126,740982,926189,2021-12-22,12763,xyz
37230,797074,290596,484028,2020-09-30,5050,abc
7537,855016,174887,875741,2022-09-29,10774,xyz
25645,896597,996693,477622,2022-11-29,27683,abc
24548,986312,588967,245170,2021-04-05,38213,xyz
1152,389440,682187,641616,2021-04-18,37893,abc
27430,281422,999298,318372,2021-04-16,24400,abc
22178,798373,384098,937298,2020-07-03,9026,abc
29923,722280,823296,118055,2022-02-27,39939,xyz
35705,103242,265356,258632,2022-03-30,18423,xyz
28068,539651,609359,108989,2022-06-08,33770,xyz
14052,978364,802372,475521,2022-01-19,27677,xyz
30094,788196,689848,184898,2021-11-15,38196,xyz
39356,191395,538786,712868,2020-08-22,21186,abc
3081,155430,494513,698118,2020-03-06,37307,xyz
24021,267840,861418,686998,2020-03-06,32443,xyz
20248,180450,524059,386724,2021-05-13,12668,xyz
31691,175925,886406,534974,2022-01-23,14099,xyz
11320,576780,440614,598732,2021-10-16,16198,abc
16866,505762,643052,945872,2021-01-11,2481,xyz
27699,242284,173154,560872,2022-10-15,15833,abc
13412,831015,799764,200892,2019-10-29,1694,abc
36011,421189,613085,145729,2022-11-18,15684,xyz
37022,254353,213785,171413,2022-10-24,14490,xyz
27110,918364,231646,853524,2019-10-19,5416,abc
13738,698927,663713,878139,2020-02-11,4186,xyz
32563,570322,764076,880063,2020-05-15,34266,xyz
6345,640625,486633,784613,2020-04-26,25181,xyz
30673,121870,400568,621535,2019-12-13,7031,abc
19582,507675,331585,682733,2022-05-27,29791,abc
15225,749616,344797,239061,2023-03-29,9607,abc
38790,890475,140514,891350,2023-04-21,3712,xyz
31041,284456,862583,834827,2020-06-12,31305,abc
24722,899428,901128,187243,2023-03-05,30175,abc
22513,548798,190934,654242,2020-03-01,23222,abc
38895,471992,980880,225429,2022-11-30,17890,abc
35268,920560,805980,292249,2022-01-16,22024,abc
6478,345539,466399,313465,2022-04-11,17070,xyz
16546,924993,636568,909473,2020-08-20,8464,abc
8229,633163,126510,991059,2022-07-30,10743,abc
28261,757709,172101,625976,2020-11-25,1748,xyz
36726,957403,852610,339291,2021-11-23,8877,abc
36802,359669,579268,299721,2020-02-03,38540,abc
6077,252293,288090,737470,2022-08-18,31587,abc
20983,866077,856324,380688,2020-04-03,33879,abc
8591,505503,604957,402632,2021-10-18,24740,xyz
29134,696595,740251,637969,2022-05-07,27704,abc
1838,495416,881902,506686,2022-03-30,11480,abc
12814,369537,344773,511522,2019-07-30,20976,xyz
4939,780176,517315,402301,2019-11-27,14527,abc
4969,483484,851911,594414,2019-10-16,5975,xyz
24413,727656,612593,110163,2020-10-19,35613,xyz
507,699038,156273,204584,2023-01-15,9748,abc
6080,351759,199189,657836,2020-02-29,7605,abc
21979,559864,777360,865005,2022-05-13,31995,xyz
36630,191444,177135,799641,2023-01-19,10470,abc
24612,326561,183420,975036,2020-12-14,9591,abc
26019,465224,355950,967752,2021-06-24,23902,xyz
35888,215680,592947,337127,2023-04-29,22857,xyz
16440,814456,475918,685924,2019-08-26,26057,abc
21101,577586,584681,438913,2021-06-16,28706,abc
31861,784882,799616,583178,2021-05-31,5079,xyz
8277,169267,544493,773665,2022-03-24,14169,abc
20844,479871,390727,220157,2023-02-14,918,xyz
32866,971778,777132,499153,2022-04-25,17938,abc
25313,527300,815515,964469,2020-08-09,10824,xyz
23231,248238,109171,663157,2019-08-05,9033,abc
27661,147539,198807,420291,2021-07-05,26126,abc
17302,661253,782019,693072,2022-09-17,32943,xyz
10564,822401,373260,720082,2020-10-08,21179,xyz
11548,616345,343374,439976,2022-04-09,17645,abc
627,587123,146751,738901,2020-07-23,19822,xyz
21817,833002,627460,107309,2021-07-04,37396,abc
36749,867708,235955,583637,2022-05-30,14758,abc
35533,207912,624674,874727,2020-09-29,5472,xyz
16648,251263,739515,697553,2023-06-25,7221,xyz
37825,976754,139390,515622,2021-09-12,2341,abc
24624,411053,599605,400388,2022-12-09,7614,xyz
33601,184093,500201,129920,2020-12-20,6079,abc
14141,384529,917550,859337,2019-10-22,29756,abc
28638,890994,338680,271905,2021-02-06,22097,abc
24116,520490,809753,194940,2020-09-11,2999,abc
27608,815465,755883,388285,2022-06-22,37886,abc
27120,586255,393498,138454,2022-11-28,38757,xyz
25961,572550,132387,504559,2021-01-09,17586,xyz
39303,502993,709012,718859,2022-07-10,27788,abc
11954,326682,152852,691484,2019-10-27,10204,abc
10957,109163,269455,761824,2022-07-02,37908,abc
10790,603896,665078,628590,2023-03-07,15639,abc
10160,453265,686398,176198,2023-02-16,1108,abc
25722,576032,751330,496140,2020-04-08,31848,xyz
21633,801015,401117,938886,2023-02-27,12683,xyz
14584,139584,911918,992866,2020-12-28,33962,abc
7779,974835,305266,266985,2021-09-08,37639,abc
1165,132491,201156,991321,2022-01-01,4518,xyz
30947,936358,521712,356922,2022-07-01,33078,xyz
15847,301563,333282,105532,2022-08-08,9410,abc
34232,567408,177419,746673,2019-08-27,1687,abc
34248,542034,423405,615441,2021-11-01,24835,abc
24148,166279,110905,820179,2021-01-10,33591,xyz
12654,297480,193377,980440,2021-06-13,23175,xyz
19946,355028,783975,599880,2022-05-03,6439,abc
14398,678419,437387,537882,2022-10-04,32340,xyz
33890,387708,162143,932806,2020-09-07,12406,abc
9529,412548,155283,969798,2021-12-11,12233,abc
34575,513552,959766,256310,2020-10-11,27208,abc
7440,414073,730088,434782,2019-07-25,1394,xyz
19559,617612,465077,697394,2023-03-20,3676,abc
16379,780006,272156,882909,2022-12-29,7479,xyz
23942,602880,107580,893328,2019-08-18,24057,abc
11270,636589,601243,181720,2021-10-15,29067,abc
34546,598821,204229,511232,2020-02-17,10311,xyz
17603,247497,161762,983411,2023-01-17,6321,xyz
27628,726827,158026,785539,2022-12-26,17255,abc
13264,535387,539075,431439,2020-11-16,3088,xyz
31538,505135,606040,907340,2021-04-03,33780,xyz
27670,682133,250959,374681,2020-06-10,8459,abc
24992,402500,937247,170847,2020-02-18,12715,xyz
10013,221218,245206,211528,2021-01-08,16238,xyz
9978,933002,379226,917349,2020-09-26,37303,abc
11065,165891,936941,396462,2022-10-12,18684,xyz
3070,151052,777359,528084,2022-10-22,39108,abc
6556,685587,859775,412337,2022-11-01,33045,xyz
22315,484770,832633,124370,2021-09-23,16010,abc
26418,265413,459674,810290,2021-01-23,39171,xyz
10823,127735,261527,917206,2023-05-05,19796,abc
24619,407251,675164,882593,2019-12-05,35486,xyz
5187,480045,225589,470263,2021-12-28,18257,xyz
1340,590319,111040,296069,2022-02-03,11257,xyz
2380,425575,812190,698962,2020-06-10,1731,abc
35816,809578,237000,464386,2023-06-11,1886,abc
26002,512296,475205,420721,2022-03-17,29675,xyz
26142,379882,936522,571123,2023-03-08,9539,abc
15382,131740,746885,724775,2019-07-31,15711,abc
36532,489973,521210,715811,2021-06-30,8390,abc
21626,700052,220403,826583,2020-09-14,1042,xyz
7091,408386,852420,501191,2021-06-08,33550,abc
38524,506128,250047,925287,2022-03-23,19436,xyz
12775,957531,929693,782818,2020-07-24,17344,abc
2446,718655,742542,855946,2021-09-17,19775,xyz
26677,345936,283065,331793,2023-06-11,38317,abc
30995,769783,528701,467490,2022-10-09,9520,abc
26631,437348,879313,616254,2021-08-03,14170,abc
32487,281700,686989,498843,2022-01-14,21271,xyz
9246,910404,285387,975277,2023-05-31,1198,xyz
25045,436903,238742,335477,2022-02-01,15943,xyz
24172,935905,210322,741410,2020-09-18,26700,xyz
1356,485780,921850,675403,2023-03-25,4231,xyz
11657,971133,124898,663084,2022-07-11,28092,xyz
22235,910524,465956,810589,2023-07-23,7689,xyz
35433,491022,285052,704109,2021-05-08,37247,xyz
27746,764893,668961,594859,2021-10-29,16868,xyz
8184,436516,715943,695801,2020-09-28,13952,xyz
21190,431087,891551,832672,2020-04-27,25500,xyz
14337,196664,397334,826988,2021-11-26,858,xyz
14843,157206,925670,862054,2022-02-08,26671,abc
13756,462315,291084,690513,2021-09-16,16451,xyz
9835,943162,778378,722098,2022-08-13,2053,abc
16668,675113,674905,453387,2021-09-22,9216,abc
33519,348595,943332,660176,2021-07-11,39620,xyz
5137,904517,924213,798521,2020-10-12,22173,xyz
27967,573391,968271,662293,2022-08-01,19531,abc
30858,960986,164656,793530,2020-09-14,3633,xyz
31384,976007,894673,716915,2022-04-06,24756,abc
26145,343736,771586,473851,2020-05-25,27830,xyz
25791,433901,636392,934738,2020-09-25,27234,xyz
13658,214736,323070,445701,2023-01-05,8220,abc
13949,592528,239378,214763,2021-07-08,39915,xyz
30462,327677,759968,388868,2022-07-02,304,abc
3448,765409,621023,582530,2020-10-25,20284,abc
13799,358286,190312,381319,2021-12-22,34977,abc
37851,339661,439620,397926,2019-11-02,18683,abc
31955,461789,953692,926579,2020-06-07,2283,abc
11801,512873,900865,942803,2019-09-12,16670,xyz
4227,132164,404390,424766,2019-11-11,38587,abc
