security_id,security_name,security_type,quantity,market_value,purchase_date,purchase_price,purchase_value
193,Chandler Deleon and Martin securities,Money Market Instruments,95,83160,2019-02-10,870,82686
194,Stevens White and Erickson securities,Foreign Exchange,43,97424,2019-06-23,2261,97235
195,Winters Waters and Simmons securities,Government Bonds,69,39560,2022-10-18,565,39015
196,Scott Young and Guerra securities,Corporate Bonds,66,61353,2019-09-21,920,60736
197,Ayala-Nichols securities,Corporate Bonds,50,68892,2016-09-25,1366,68318
198,Gates Owens and Garza securities,Equity Securities,74,59848,2019-06-07,800,59213
199,Mcdonald Bennett and Bond securities,Government Bonds,67,20776,2021-11-20,302,20257
200,Brooks-Simmons securities,Money Market Instruments,61,9103,2023-04-08,146,8932
201,Scott Smith and Rojas securities,Corporate Bonds,99,23367,2021-11-11,234,23189
202,Ford and Sons securities,Corporate Bonds,70,73813,2019-02-08,1044,73139
203,Long LLC securities,Foreign Exchange,31,40352,2020-03-09,1289,39976
204,Proctor-Miller securities,Equity Securities,33,25227,2016-12-05,755,24936
205,Hernandez-Jenkins securities,Treasury Bills,85,93374,2019-07-22,1091,92819
206,Green Moore and Watts securities,Foreign Exchange,81,62889,2017-06-18,773,62682
207,Santos-Pollard securities,Corporate Bonds,81,37384,2021-03-09,458,37141
208,Patel Thompson and Spears securities,Money Market Instruments,26,77021,2022-01-16,2946,76619
209,Harris and Sons securities,Money Market Instruments,56,67105,2022-03-12,1193,66846
210,Ortiz-Frey securities,Asset-Backed Securities,49,69193,2017-12-25,1403,68749
211,Campbell Moore and Rivera securities,Equity Securities,10,92127,2017-01-15,9168,91681
212,Graves Nolan and Lane securities,Foreign Exchange,75,90170,2022-04-20,1198,89897
213,Jones PLC securities,Mortgage-Backed Securities,57,9186,2018-08-13,149,8510
214,Cannon Rivera and Frost securities,Corporate Bonds,9,19394,2019-07-15,2119,19079
215,Becker LLC securities,Corporate Bonds,67,78268,2021-10-30,1159,77719
216,Thomas Ltd securities,Mortgage-Backed Securities,59,16579,2021-11-01,270,15957
217,Mcclain Wilson and Castillo securities,Treasury Bills,31,58389,2016-12-28,1867,57901
218,Campbell Gaines and Franco securities,Equity Securities,99,63405,2017-05-03,637,63086
219,Lamb-Nelson securities,Asset-Backed Securities,87,68622,2019-07-23,787,68494
220,Kidd LLC securities,Mortgage-Backed Securities,37,95132,2018-12-18,2566,94951
221,Garcia Jefferson and Griffin securities,Government Bonds,14,69716,2021-05-04,4939,69151
222,Goodwin Inc securities,Asset-Backed Securities,72,43738,2018-09-18,601,43331
223,Ballard-Taylor securities,Mortgage-Backed Securities,11,40105,2020-01-31,3619,39814
224,Caldwell PLC securities,Treasury Bills,12,81409,2021-02-06,6769,81234
225,Christian Inc securities,Asset-Backed Securities,81,90209,2020-09-05,1107,89727
226,Werner Fields and Herrera securities,Corporate Bonds,70,56618,2021-12-04,807,56513
227,Mahoney Edwards and Walker securities,Corporate Bonds,10,52591,2021-07-16,5205,52057
228,Santos and Sons securities,Corporate Bonds,12,7203,2016-10-19,582,6986
229,Maxwell-Gonzales securities,Equity Securities,18,31098,2018-11-17,1701,30620
230,Cherry LLC securities,Foreign Exchange,16,24813,2017-07-29,1512,24199
231,Andrade LLC securities,Equity Securities,33,96882,2023-01-17,2929,96685
232,Castillo English and Mitchell securities,Treasury Bills,1,35755,2023-05-15,35359,35359
233,Nguyen Mcgee and Saunders securities,Government Bonds,66,21615,2020-09-05,319,21081
234,Adams LLC securities,Foreign Exchange,85,29700,2020-02-09,343,29186
235,Bender and Sons securities,Asset-Backed Securities,39,35012,2017-09-17,889,34688
236,Kelly LLC securities,Foreign Exchange,27,16912,2020-01-20,612,16550
237,Roberts Campbell and Norman securities,Equity Securities,79,61789,2021-01-03,778,61538
238,Davis Forbes and Robinson securities,Mortgage-Backed Securities,77,8523,2021-05-02,104,8073
239,Obrien-Mason securities,Corporate Bonds,7,42802,2021-02-03,6061,42429
240,Goodman Solomon and Williams securities,Equity Securities,95,97951,2017-12-17,1028,97703
241,Miller Marshall and Cortez securities,Mortgage-Backed Securities,1,66105,2018-11-12,65525,65525
242,Zuniga Dixon and Bowen securities,Money Market Instruments,98,46154,2017-04-22,466,45704
243,Mcdaniel-Vasquez securities,Mortgage-Backed Securities,37,19842,2020-09-01,524,19413
244,Martinez-Richardson securities,Equity Securities,73,60440,2020-04-02,822,60049
245,Nguyen-West securities,Foreign Exchange,7,63514,2016-07-07,8986,62905
246,Johnson and Sons securities,Foreign Exchange,51,64204,2022-01-13,1252,63875
247,Eaton Group securities,Treasury Bills,14,76280,2021-10-19,5429,76015
248,Gonzalez Group securities,Mortgage-Backed Securities,21,90351,2018-10-11,4283,89943
249,Foster PLC securities,Corporate Bonds,30,54686,2020-04-14,1814,54425
250,Key and Sons securities,Mortgage-Backed Securities,33,6841,2020-03-16,190,6283
251,Scott-Schaefer securities,Foreign Exchange,90,10638,2022-07-22,114,10284
252,Matthews Medina and Sanchez securities,Asset-Backed Securities,6,21113,2019-06-26,3488,20928
253,Hardy Martinez and Quinn securities,Government Bonds,79,63412,2021-01-25,798,63083
254,Garcia Ltd securities,Money Market Instruments,30,15988,2020-09-11,516,15508
255,Walton Walters and Johnson securities,Government Bonds,56,37953,2017-10-23,667,37373
256,White-Murray securities,Foreign Exchange,75,43368,2018-11-22,569,42749
257,Hamilton Mcgrath and Torres securities,Foreign Exchange,46,68147,2018-09-16,1471,67698
258,Small Ltd securities,Treasury Bills,46,31975,2021-12-21,684,31486
259,Weber Morris and Keller securities,Corporate Bonds,50,56123,2016-07-31,1119,55952
260,Marshall Group securities,Money Market Instruments,70,87321,2021-03-23,1243,87034
261,Garcia Sawyer and Dominguez securities,Foreign Exchange,51,21844,2020-10-13,426,21731
262,Meadows Chang and Johnson securities,Asset-Backed Securities,50,63066,2017-08-06,1259,62965
263,Newman-Fields securities,Equity Securities,18,46979,2017-08-04,2598,46780
264,Cox-Hudson securities,Mortgage-Backed Securities,56,84781,2022-01-01,1504,84259
265,Baker LLC securities,Money Market Instruments,60,97788,2020-01-05,1620,97245
266,Turner Ltd securities,Money Market Instruments,24,89901,2021-07-20,3723,89365
267,Dominguez LLC securities,Equity Securities,86,25463,2018-09-17,288,24798
268,Nguyen Johnson and Cohen securities,Treasury Bills,30,29183,2022-09-28,962,28888
269,Huffman-Carroll securities,Mortgage-Backed Securities,76,56324,2017-03-10,733,55763
270,Rasmussen Ltd securities,Corporate Bonds,2,30550,2021-03-29,15149,30299
271,Kemp-Kelley securities,Mortgage-Backed Securities,89,76030,2018-08-17,846,75360
272,Parsons Group securities,Money Market Instruments,15,22059,2020-12-30,1445,21689
273,Barber PLC securities,Corporate Bonds,36,88610,2017-02-21,2453,88340
274,Bolton-Smith securities,Corporate Bonds,4,78657,2020-08-30,19604,78417
275,Warren PLC securities,Money Market Instruments,16,88396,2022-09-19,5485,87774
276,Brown Ltd securities,Treasury Bills,28,20746,2016-07-24,734,20557
277,Gordon Inc securities,Corporate Bonds,67,50584,2022-09-09,745,49975
278,Torres Ltd securities,Corporate Bonds,44,10532,2017-03-13,225,9928
279,Scott-Schmidt securities,Asset-Backed Securities,3,16673,2023-02-05,5378,16136
280,Russell Holland and Sanders securities,Equity Securities,19,19647,2019-05-05,1014,19277
281,Robbins Gross and Ayala securities,Government Bonds,11,82082,2019-10-11,7413,81550
282,Anderson Inc securities,Equity Securities,12,23729,2021-07-25,1919,23038
283,Harding-Burgess securities,Corporate Bonds,12,69054,2018-02-24,5742,68904
284,Wells Miller and Wagner securities,Foreign Exchange,16,56164,2018-01-12,3466,55470
285,Rodriguez Group securities,Government Bonds,28,65954,2020-02-23,2346,65710
286,Gonzales LLC securities,Money Market Instruments,38,99053,2020-01-02,2603,98935
287,Smith-Martinez securities,Money Market Instruments,48,63360,2020-12-30,1314,63099
288,Nichols-George securities,Government Bonds,60,95615,2017-07-27,1587,95262
289,Romero-Orr securities,Government Bonds,62,71571,2020-10-04,1145,70995
290,Webster-Porter securities,Foreign Exchange,100,33727,2019-07-25,331,33130
291,Curry PLC securities,Foreign Exchange,47,31528,2016-08-12,659,30974
292,Brown Franco and King securities,Mortgage-Backed Securities,45,9491,2023-01-02,204,9182
293,Hammond Ward and Byrd securities,Asset-Backed Securities,52,65893,2023-01-04,1260,65524
294,Ferguson-Gross securities,Equity Securities,49,81728,2022-11-02,1655,81103
295,Brock Johns and Hodge securities,Equity Securities,63,21690,2020-09-22,337,21283
296,Perez Group securities,Mortgage-Backed Securities,84,48089,2017-12-17,566,47588
297,Hubbard-Thompson securities,Foreign Exchange,92,85173,2016-09-22,923,84933
298,Hines-Wu securities,Government Bonds,6,44844,2018-09-10,7438,44631
299,Cook Peterson and Hudson securities,Equity Securities,24,41678,2020-12-19,1716,41199
300,Miller Barrett and Smith securities,Treasury Bills,24,84397,2020-03-06,3508,84194
301,Holt-Greene securities,Equity Securities,64,58488,2016-09-04,911,58329
302,Gates Allen and Oneal securities,Asset-Backed Securities,2,88405,2020-06-30,44125,88251
303,Chandler Inc securities,Government Bonds,85,57226,2017-03-03,666,56611
304,Sanchez Myers and Hart securities,Treasury Bills,87,79680,2021-11-29,910,79217
305,Moyer Inc securities,Corporate Bonds,85,24382,2019-08-11,284,24163
306,Nelson Morgan and Campbell securities,Treasury Bills,93,87472,2021-02-24,939,87346
307,Hoffman Young and Owen securities,Treasury Bills,48,98125,2022-08-11,2031,97523
308,Morgan Ltd securities,Foreign Exchange,93,88564,2017-05-01,948,88207
309,Torres Ltd securities,Asset-Backed Securities,43,60901,2017-09-20,1408,60579
310,Navarro Group securities,Asset-Backed Securities,92,29435,2020-10-31,316,29161
311,Perry Group securities,Government Bonds,55,89136,2020-07-11,1610,88582
312,Holmes-Dickson securities,Corporate Bonds,94,31462,2021-03-22,327,30777
313,Medina-Cook securities,Mortgage-Backed Securities,4,8079,2019-06-30,1978,7915
314,Chang Ltd securities,Asset-Backed Securities,2,74929,2019-06-10,37355,74710
315,Hall LLC securities,Treasury Bills,21,5668,2023-03-05,262,5520
316,Murphy-Cross securities,Foreign Exchange,66,79617,2019-10-29,1196,78946
317,Smith-Leonard securities,Treasury Bills,75,73901,2021-05-28,983,73735
318,Miller Ltd securities,Foreign Exchange,57,23146,2022-02-19,399,22795
319,Ramirez Johnson and Byrd securities,Asset-Backed Securities,26,32393,2022-05-02,1223,31817
320,Rodriguez LLC securities,Government Bonds,42,22182,2019-06-14,514,21600
321,Perez Castillo and Martinez securities,Asset-Backed Securities,43,64804,2020-09-01,1492,64181
322,Wolfe Bowman and Butler securities,Money Market Instruments,29,76126,2017-06-20,2617,75900
323,Delgado Group securities,Asset-Backed Securities,49,7155,2016-09-08,135,6642
324,Lopez-Nash securities,Government Bonds,79,87276,2021-07-23,1097,86697
325,Maynard-Williams securities,Asset-Backed Securities,82,73233,2019-06-23,887,72806
326,Mullins Weaver and Reed securities,Foreign Exchange,78,69806,2019-05-14,890,69432
327,Cruz Davis and Miller securities,Mortgage-Backed Securities,90,29147,2023-06-04,317,28532
328,Walker Leach and Briggs securities,Corporate Bonds,96,71713,2018-12-29,740,71060
329,Ryan Hall and Edwards securities,Asset-Backed Securities,49,62885,2022-08-17,1271,62314
330,Sullivan Hampton and Lawson securities,Corporate Bonds,5,61521,2016-07-11,12218,61094
331,Hale White and Francis securities,Equity Securities,82,91518,2022-08-18,1110,91029
332,Carter-Sweeney securities,Equity Securities,48,80896,2018-07-03,1673,80346
333,Bennett-Pollard securities,Money Market Instruments,64,45347,2020-07-16,704,45069
334,Kelly LLC securities,Treasury Bills,14,27320,2022-06-16,1913,26785
335,Peters-Adams securities,Money Market Instruments,23,85401,2023-06-16,3688,84834
336,Chandler-Norris securities,Asset-Backed Securities,82,53920,2018-02-09,654,53659
337,Smith Howell and Bell securities,Equity Securities,7,55609,2020-09-13,7873,55116
338,Booth-Smith securities,Money Market Instruments,6,77815,2016-10-12,12906,77440
339,Martin Group securities,Treasury Bills,53,41188,2021-03-05,772,40941
340,Kim Garcia and Arnold securities,Asset-Backed Securities,87,27835,2019-08-14,312,27226
