expenditure_id,asset_id,expenditure_date,expenditure_amount
95,507,2023-06-03,710
96,1220,2023-04-19,545
97,185,2023-05-11,391
98,3656,2023-06-10,459
99,3142,2021-02-05,733
100,3421,2023-05-26,328
101,3667,2019-09-24,472
102,1057,2019-12-08,237
103,2505,2023-05-18,469
104,2207,2021-05-05,115
105,2635,2023-04-28,280
106,472,2020-12-29,133
107,4074,2020-08-25,591
108,687,2020-12-18,255
109,1523,2022-05-23,202
110,2548,2023-02-21,658
111,1039,2020-02-03,363
112,1129,2022-03-11,665
113,1888,2021-06-27,728
114,800,2020-08-16,314
115,2532,2020-06-09,179
116,3876,2022-12-03,190
117,1346,2021-09-29,625
118,4418,2021-02-18,299
119,4107,2022-06-06,594
120,1418,2021-07-11,148
121,345,2021-06-07,569
122,1273,2019-09-06,421
123,376,2019-07-27,253
124,1901,2023-02-15,430
125,3855,2020-06-15,156
126,373,2020-07-24,531
127,2480,2020-11-23,721
128,2589,2019-07-31,311
129,2541,2022-02-09,423
130,664,2023-06-02,153
131,1278,2022-05-01,141
132,768,2021-05-09,267
133,4224,2021-01-05,308
134,3031,2023-05-03,537
135,397,2021-02-26,276
136,2117,2022-06-22,136
137,446,2022-01-18,332
138,1415,2020-11-25,240
139,2142,2019-12-26,248
140,4470,2019-12-05,277
141,1965,2022-06-28,441
142,1245,2020-09-28,708
143,2505,2020-01-21,145
144,3555,2022-10-18,406
145,2959,2020-05-29,266
146,893,2022-01-28,246
147,1044,2022-01-15,192
148,3434,2021-01-18,346
149,2634,2023-03-18,256
150,3459,2021-03-09,131
151,1417,2023-04-07,616
152,1969,2023-01-30,709
153,4106,2022-06-26,639
154,333,2020-05-25,482
155,3364,2020-11-01,372
156,4114,2021-07-24,121
157,4165,2023-03-28,553
158,900,2023-03-31,728
159,2611,2019-11-03,712
160,2282,2020-07-22,158
161,251,2021-04-07,589
162,3976,2019-07-14,571
163,1764,2019-08-26,640
164,1428,2022-05-13,619
165,722,2022-08-23,438
166,2339,2020-05-06,197
167,4165,2022-04-30,652
168,865,2021-01-22,500
169,2466,2021-07-21,387
170,395,2021-07-21,413
171,2301,2020-03-06,592
172,3477,2020-02-17,177
173,1130,2020-03-25,227
174,2916,2021-07-28,118
175,2363,2022-11-28,475
176,587,2019-10-10,242
177,4077,2022-02-21,582
178,2797,2019-07-12,356
179,3175,2019-10-24,657
180,1880,2021-03-03,611
181,1770,2020-01-25,646
182,23,2022-11-28,211
183,2927,2022-07-10,679
184,4272,2022-02-05,100
185,1064,2022-02-25,377
186,2544,2023-06-02,621
187,642,2021-11-01,393
188,2026,2023-03-04,158
189,3430,2021-06-12,284
190,4033,2019-10-19,439
191,2356,2023-02-15,201
192,2930,2021-06-16,672
193,1043,2020-11-22,208
194,2531,2021-01-07,229
195,2237,2022-03-01,245
196,3548,2020-02-24,356
197,4064,2020-05-07,245
198,2044,2021-11-14,674
199,1464,2021-09-24,112
200,1288,2022-06-05,144
201,1290,2023-05-16,340
202,774,2019-08-07,517
203,3537,2021-06-11,699
204,2006,2020-12-14,415
205,3168,2019-09-09,238
206,557,2021-05-17,635
207,3137,2023-04-28,122
208,2353,2020-03-25,318
209,338,2022-08-06,143
210,4319,2021-04-17,672
211,3360,2022-07-08,726
212,677,2019-12-08,143
213,1282,2020-02-05,680
214,2023,2023-05-21,426
215,3308,2020-08-30,493
216,34,2020-12-22,154
217,3320,2020-01-18,173
218,1425,2022-10-29,367
219,125,2020-11-09,120
220,4317,2020-10-24,522
221,4162,2019-12-29,467
222,1002,2021-11-12,250
223,1088,2022-08-30,596
224,3094,2022-06-23,698
225,3674,2022-10-01,317
226,4073,2021-03-28,627
227,2208,2020-08-25,150
228,2080,2021-12-31,345
229,3988,2019-11-18,510
230,809,2020-07-12,338
231,1030,2020-11-02,429
232,2056,2023-05-06,196
233,3313,2022-08-15,715
234,8,2022-04-21,544
235,1307,2019-11-16,110
236,3465,2021-06-18,234
237,160,2021-07-10,457
238,2818,2020-06-28,203
239,3459,2021-02-22,710
240,1399,2019-08-03,746
241,2393,2020-02-29,186
242,399,2021-11-24,150
243,2080,2021-06-17,505
244,990,2020-12-17,510
245,482,2019-07-07,243
246,971,2023-06-04,728
247,2450,2021-06-18,629
248,2641,2019-12-10,378
249,4332,2021-07-31,110
250,1721,2021-04-03,332
251,643,2019-08-01,632
252,4055,2023-01-14,379
253,1114,2022-01-05,244
254,1664,2021-05-02,680
255,1521,2019-12-05,436
256,4359,2022-07-31,475
257,2158,2020-01-10,617
258,4243,2020-04-22,188
259,1344,2020-09-23,421
260,3612,2020-05-28,560
261,340,2023-03-18,149
262,3991,2020-10-02,112
263,4370,2023-02-14,400
264,978,2019-12-06,378
265,2266,2021-01-01,565
266,1737,2020-12-26,242
267,3125,2022-05-25,643
268,1345,2021-02-13,579
269,3910,2023-05-11,666
270,4092,2019-11-14,211
271,4500,2020-01-02,586
272,4074,2020-08-11,623
273,3019,2020-05-27,108
274,147,2021-03-27,167
275,2545,2019-08-13,702
276,2291,2023-01-03,665
277,4489,2020-07-05,206
278,940,2022-01-08,704
279,2557,2021-08-10,171
280,3246,2022-08-30,466
281,3127,2022-08-26,202
282,2556,2019-12-12,559
283,1405,2019-09-03,278
284,745,2023-03-31,323
285,1810,2021-12-03,510
286,2327,2022-07-19,657
287,3885,2020-06-27,341
288,166,2021-11-28,661
289,3662,2020-10-03,596
290,934,2023-05-16,641
291,3377,2020-06-29,630
292,851,2020-07-21,673
293,2698,2021-04-14,229
294,4074,2019-12-12,208
295,1421,2020-03-09,202
296,2915,2020-06-15,362
297,4339,2021-11-29,354
298,1042,2022-11-07,514
299,3870,2019-12-05,570
300,1899,2021-05-05,640
301,122,2022-05-21,350
302,1569,2023-03-01,582
303,3930,2023-02-16,469
304,2699,2022-09-19,327
305,1647,2022-04-02,414
306,608,2021-08-20,511
307,811,2022-07-16,597
308,1047,2020-10-18,620
309,3893,2020-03-19,135
310,2217,2022-04-23,297
311,656,2021-03-25,240
312,130,2021-04-25,265
313,50,2022-02-16,218
314,3885,2022-06-21,399
315,3897,2021-08-11,478
316,684,2022-10-15,732
317,2292,2020-05-19,555
318,4239,2021-09-27,705
319,2217,2019-08-31,376
320,524,2019-11-29,418
321,1250,2020-12-10,152
322,4386,2019-12-19,609
323,4103,2020-01-19,185
324,4427,2020-10-26,621
325,3109,2022-11-13,654
326,2921,2022-04-24,333
327,954,2020-03-08,532
328,1318,2022-02-04,546
329,2484,2020-02-26,376
330,4007,2020-11-18,296
331,4197,2021-12-20,612
332,1220,2020-02-02,153
333,143,2023-01-19,118
334,305,2022-01-13,519
335,1612,2022-10-18,713
336,4318,2022-03-05,436
337,4026,2020-09-08,107
338,312,2021-09-05,425
339,2681,2022-01-10,131
340,2609,2019-09-25,304
341,2974,2021-02-15,568
342,1447,2020-06-14,716
343,2385,2021-03-17,320
344,3299,2022-09-16,223
345,2577,2022-07-02,574
346,1896,2022-03-03,488
347,1112,2020-12-20,251
348,2736,2022-11-21,183
349,622,2023-03-21,637
350,280,2022-11-14,166
351,137,2022-03-11,735
352,1388,2019-10-04,194
353,2038,2020-03-17,697
354,3686,2022-06-09,715
355,1767,2021-01-18,631
356,1003,2019-11-27,458
357,4190,2019-10-23,744
358,1215,2020-09-23,459
359,2239,2023-02-18,450
360,1842,2020-06-22,690
361,2357,2023-02-25,390
362,3306,2019-11-05,405
363,3176,2023-06-26,399
364,350,2021-10-31,369
365,2997,2022-10-02,458
366,2190,2022-02-13,100
367,4094,2020-02-25,392
368,68,2019-11-23,630
369,4194,2022-03-06,126
370,248,2020-07-04,428
371,3391,2022-10-20,115
372,4375,2022-05-12,577
373,1471,2022-07-11,131
374,890,2021-12-20,242
375,398,2021-03-28,314
376,2980,2020-03-24,692
377,2411,2022-01-16,749
378,1472,2021-11-08,706
379,1876,2019-07-28,558
380,1435,2022-04-10,145
381,1774,2022-05-22,242
382,1774,2020-07-11,235
383,2869,2022-09-12,157
384,1453,2022-10-14,599
385,2244,2022-01-18,584
386,2950,2020-12-13,478
387,3313,2022-06-11,282
388,670,2021-08-29,508
389,3879,2021-08-25,526
390,4206,2022-06-02,548
391,911,2021-01-25,221
392,530,2022-01-31,536
393,1003,2021-04-09,688
394,1596,2022-04-21,542
395,838,2019-10-26,179
396,3189,2020-06-11,306
397,1383,2023-06-13,722
398,3194,2021-07-04,510
399,2290,2023-06-07,455
400,454,2021-04-24,135
401,3576,2022-10-26,269
402,503,2020-07-17,521
403,4050,2020-03-27,579
404,2371,2022-09-21,237
405,160,2021-04-07,466
406,2453,2019-11-06,519
407,2102,2021-09-25,238
408,137,2019-10-09,714
409,1835,2022-01-15,278
410,290,2021-01-10,158
411,115,2021-11-03,669
412,3320,2019-10-06,507
413,969,2020-05-10,169
414,3973,2020-04-02,303
415,2624,2019-10-24,461
416,214,2021-07-03,624
417,4333,2019-08-14,116
418,437,2021-09-19,123
419,1901,2023-05-29,130
420,457,2023-04-04,381
421,1434,2021-04-11,737
422,4308,2022-04-07,608
423,1652,2020-09-04,704
424,2786,2020-09-04,738
425,3916,2020-09-22,386
426,4177,2021-10-30,182
427,1170,2023-01-08,409
428,4471,2023-05-12,296
429,1576,2021-04-18,433
430,2867,2022-02-05,503
431,169,2020-01-01,274
432,2548,2019-07-16,688
433,3635,2022-04-20,199
434,85,2021-05-31,114
435,1752,2023-05-11,586
436,2848,2020-06-14,571
437,2947,2020-10-10,277
438,4140,2020-03-12,464
439,632,2021-01-13,240
440,1475,2021-09-27,207
441,1821,2021-07-12,251
442,655,2023-06-29,276
443,3571,2021-02-14,469
444,2711,2020-12-30,670
445,1384,2023-02-09,154
446,2119,2023-06-02,606
447,997,2022-03-25,680
448,979,2021-09-03,477
449,1946,2021-01-28,243
450,3541,2022-11-17,466
451,2186,2019-07-15,725
452,3112,2019-08-24,265
453,2298,2021-02-26,664
454,2891,2021-05-25,223
455,4228,2019-08-03,133
456,689,2020-07-28,603
457,3061,2022-04-06,272
458,3848,2023-01-31,308
459,4341,2019-09-16,576
460,110,2021-04-09,603
461,4500,2022-07-18,457
462,2629,2021-01-19,567
463,1946,2020-12-02,277
464,4323,2021-02-01,513
465,3384,2022-11-08,536
466,1837,2019-10-04,477
467,2089,2020-10-15,640
468,4207,2020-10-19,226
469,1687,2020-05-04,144
470,2919,2019-09-29,527
471,1315,2021-05-21,466
472,2029,2020-03-20,129
473,1483,2019-11-25,530
474,885,2019-10-26,284
475,1629,2021-11-14,174
476,3631,2020-03-04,426
477,492,2020-06-30,441
478,3889,2019-09-12,298
479,4261,2019-11-02,114
480,3446,2020-09-03,484
481,1639,2022-04-06,624
482,450,2023-03-25,264
483,3537,2022-07-11,142
484,3138,2021-10-08,727
485,10,2019-11-25,393
486,1334,2021-02-16,619
487,630,2021-01-18,618
488,3907,2022-05-09,316
489,1241,2022-02-15,265
490,824,2020-02-26,371
491,125,2022-11-15,585
492,1733,2021-02-23,396
493,3168,2021-09-30,110
494,2929,2019-08-20,448
495,1621,2020-02-07,709
496,2489,2020-02-27,458
497,1607,2021-06-25,289
498,2315,2021-11-26,146
499,3342,2021-02-10,267
500,2653,2023-02-14,381
501,3197,2020-04-08,547
502,3772,2020-01-22,381
503,3446,2020-07-03,718
504,4209,2020-08-18,473
505,769,2021-05-11,453
506,296,2022-03-08,126
507,1180,2023-01-22,116
508,1303,2021-02-22,667
509,69,2019-12-15,205
510,592,2022-04-14,555
511,784,2020-10-29,553
512,3734,2019-11-20,733
513,1535,2022-02-03,206
514,3051,2022-07-09,146
515,464,2019-10-05,437
516,3687,2022-11-18,660
517,1800,2023-05-13,470
518,4052,2023-03-31,595
519,3503,2021-08-22,463
520,2009,2023-06-21,583
521,4060,2022-08-29,511
522,2711,2020-01-17,339
523,4308,2021-07-26,145
524,2417,2019-11-24,217
525,4481,2021-04-23,276
526,3383,2021-11-11,735
527,3680,2020-01-21,349
528,1269,2020-03-23,251
529,961,2022-09-18,380
530,229,2019-11-28,224
531,2455,2020-06-10,232
532,1210,2021-12-25,453
533,1115,2022-06-05,365
534,3117,2020-03-12,293
535,4268,2022-12-06,516
536,3024,2020-08-03,613
537,3646,2021-06-25,226
538,3550,2022-04-15,675
539,165,2021-08-20,288
540,138,2021-06-09,463
541,1101,2020-10-26,714
542,3790,2021-02-20,169
543,795,2022-05-04,654
544,1434,2020-10-27,680
545,4090,2021-12-13,305
546,2330,2021-10-30,208
547,3985,2020-06-07,520
548,1525,2021-08-04,257
549,794,2022-02-23,660
550,4410,2020-07-06,114
551,1457,2021-01-26,544
552,4383,2023-05-16,170
553,3894,2022-07-01,161
554,1403,2022-08-18,390
555,414,2023-02-15,699
556,2746,2022-12-07,649
557,846,2021-07-15,515
558,3555,2021-04-28,323
559,2034,2022-03-28,669
560,1854,2020-01-19,241
561,664,2022-09-12,389
562,750,2021-01-07,665
563,1481,2020-05-02,314
564,2211,2023-01-27,105
565,2488,2022-07-06,673
566,3758,2020-09-09,307
567,1440,2021-04-13,275
568,345,2022-08-13,535
569,2431,2020-02-16,187
570,1429,2022-10-11,553
571,665,2021-05-21,383
572,1079,2019-08-13,276
573,2122,2021-10-22,470
574,1688,2019-08-22,498
575,4210,2022-06-20,194
576,2596,2022-10-15,562
577,4057,2019-08-17,362
578,2407,2021-07-12,479
579,3155,2022-04-22,514
580,3806,2023-07-04,529
581,3038,2020-10-23,494
582,178,2023-01-05,609
583,1578,2022-02-05,336
584,2342,2020-07-20,485
585,1321,2019-12-21,327
586,2118,2020-01-21,286
587,1541,2020-01-27,419
588,2979,2019-09-30,741
589,4311,2022-07-01,429
590,1806,2022-10-21,669
591,986,2021-06-03,517
592,208,2022-03-05,303
593,791,2021-03-02,332
594,2333,2023-02-25,330
595,2570,2023-02-02,612
596,1582,2023-06-03,675
597,800,2020-08-16,551
598,1198,2022-05-30,284
599,1802,2022-05-26,103
600,1309,2021-04-15,251
601,3297,2022-03-04,698
602,3642,2022-07-08,370
603,2573,2021-12-20,120
604,4131,2020-12-29,132
605,2363,2021-09-06,670
606,708,2020-01-27,655
607,4195,2019-08-31,130
608,2000,2020-06-05,207
609,2386,2021-07-28,523
610,3430,2020-09-20,408
611,3540,2020-04-07,408
612,4466,2022-09-07,742
613,1579,2019-07-08,335
614,3409,2019-10-14,590
615,3774,2022-04-05,516
616,3148,2023-03-12,501
617,797,2020-06-09,681
618,3453,2020-08-01,588
619,3028,2023-05-27,558
620,1892,2022-02-10,426
621,1937,2022-08-03,170
622,433,2019-10-08,698
623,93,2020-07-09,590
624,605,2022-07-19,353
625,2161,2021-04-08,138
626,1127,2019-12-04,137
627,1851,2021-12-14,114
628,4011,2021-05-01,599
629,1960,2021-11-26,322
630,120,2022-09-09,524
631,3306,2023-06-21,440
632,1978,2020-04-09,553
633,3202,2021-10-13,254
634,398,2019-09-13,566
635,4184,2020-05-17,721
636,2051,2021-06-29,376
637,175,2019-09-29,597
638,1291,2022-06-07,398
639,122,2022-10-23,624
640,4292,2020-05-21,536
641,4294,2019-12-06,261
642,3414,2021-03-27,673
643,2026,2022-12-07,713
644,990,2021-11-20,116
645,1556,2023-02-17,747
646,791,2021-08-17,539
647,1202,2023-03-23,671
648,3681,2023-04-18,266
649,1927,2021-03-24,188
650,2285,2022-04-27,317
651,417,2021-07-21,172
652,3941,2021-02-10,542
653,4263,2019-11-29,690
654,2823,2021-06-13,706
655,1453,2020-09-03,718
656,351,2022-03-18,320
657,1572,2023-03-27,165
658,1682,2021-09-13,187
659,3218,2020-08-13,314
660,2079,2019-12-02,530
661,2206,2020-03-01,215
662,943,2020-08-07,194
663,1846,2023-01-14,454
664,957,2023-05-04,370
665,3871,2021-06-14,473
666,2485,2020-10-03,321
667,285,2022-05-31,279
668,3211,2020-02-08,585
669,925,2022-07-03,717
670,2028,2020-11-19,567
671,4270,2020-10-02,722
672,188,2020-07-04,365
673,2878,2022-02-03,214
674,2673,2023-01-24,650
675,1294,2022-09-09,529
676,880,2022-09-16,501
677,4365,2022-01-29,521
678,864,2020-03-24,491
679,455,2019-11-04,725
680,2679,2023-01-29,504
681,3469,2019-12-14,731
682,2768,2020-07-25,519
683,845,2021-11-03,646
684,1445,2022-05-25,573
685,3977,2020-03-09,151
686,2482,2021-05-01,179
687,2539,2022-09-25,691
688,2428,2021-02-13,713
689,2258,2020-08-04,573
690,584,2019-08-10,322
691,1823,2022-05-02,592
692,2216,2022-02-27,130
693,1651,2019-09-08,509
694,765,2022-03-01,238
695,2580,2022-05-18,707
696,3896,2022-07-13,365
697,1659,2019-09-25,347
698,1520,2020-10-25,609
699,1295,2020-01-30,644
700,2149,2022-02-17,390
701,1546,2022-12-19,203
702,2326,2022-11-17,476
703,455,2021-07-18,529
704,1456,2021-05-17,728
705,3290,2021-11-20,570
706,3953,2020-05-25,605
707,4352,2021-05-12,126
708,2632,2023-05-06,240
709,364,2020-03-10,337
710,1272,2022-04-27,690
711,1912,2020-01-15,635
712,2168,2021-10-01,278
713,944,2020-05-09,609
714,3614,2021-07-04,464
715,2044,2020-03-17,533
716,2312,2021-04-06,212
717,1581,2019-11-22,719
718,1343,2020-01-24,287
719,2996,2021-02-22,237
720,2268,2019-10-30,227
721,4094,2020-06-21,385
722,3869,2021-06-06,152
723,475,2023-03-23,434
724,996,2021-11-28,147
725,1794,2021-09-12,204
726,1199,2020-12-20,322
727,1102,2022-10-06,747
728,426,2020-03-15,111
729,3164,2022-01-21,487
730,1865,2021-06-28,215
731,4193,2020-04-12,372
732,2232,2019-09-12,347
733,1739,2019-10-29,198
734,288,2021-10-16,563
735,1492,2023-04-10,374
736,3032,2022-06-06,356
737,4190,2021-07-19,697
738,4252,2021-02-15,156
739,3986,2020-06-13,291
740,4149,2022-07-19,604
741,678,2022-05-08,317
742,2182,2020-02-12,224
743,2983,2019-09-29,644
744,3383,2020-03-20,618
745,439,2022-09-22,454
746,4376,2020-12-06,388
747,536,2021-01-09,640
748,3044,2020-12-03,377
749,3901,2022-11-19,487
750,3408,2020-07-08,504
751,714,2023-01-24,626
752,2935,2021-11-24,370
753,1675,2020-03-07,219
754,3131,2023-03-13,717
755,307,2021-08-17,212
756,4178,2023-05-10,747
757,1433,2022-11-02,724
758,4177,2020-09-17,551
759,2775,2022-03-20,695
760,1276,2021-09-03,615
761,47,2021-11-25,329
762,4366,2022-07-13,295
763,474,2023-01-31,430
764,2105,2020-04-21,240
765,616,2022-11-02,582
766,2682,2022-10-19,294
767,696,2019-09-07,554
768,3224,2021-08-01,550
769,1742,2019-09-22,231
770,4348,2019-08-29,461
771,1869,2023-02-16,411
772,1422,2022-03-27,317
773,195,2023-02-25,670
774,2681,2021-08-06,381
775,564,2020-03-11,569
776,930,2022-08-05,260
777,1186,2022-08-11,609
778,686,2022-11-26,712
779,590,2021-06-25,417
780,3003,2019-09-18,624
781,3136,2019-08-09,370
782,1853,2023-04-14,181
783,3530,2022-03-15,171
784,612,2021-05-12,120
785,803,2021-06-07,701
786,1279,2021-07-14,522
787,782,2022-09-01,124
788,2394,2021-05-03,230
789,2327,2021-02-18,115
790,4307,2023-02-09,355
791,607,2020-11-25,661
792,3739,2022-09-05,540
793,1910,2021-03-23,101
794,1605,2021-03-09,350
795,4368,2021-05-11,657
796,17,2019-09-05,130
797,543,2019-11-22,561
798,1752,2022-06-02,460
799,2636,2020-08-21,604
800,802,2021-06-26,567
801,2591,2021-09-03,649
802,2299,2023-03-16,413
803,86,2023-01-18,318
804,3996,2020-06-05,437
805,3033,2020-02-27,653
806,4423,2020-04-08,688
807,1646,2022-05-06,277
808,2220,2020-10-03,382
809,1725,2022-10-15,306
810,1928,2020-08-02,209
811,4155,2021-02-10,349
812,323,2019-11-20,695
813,729,2021-03-22,629
814,1454,2019-09-23,166
815,3954,2021-12-22,680
816,172,2022-12-22,490
817,1781,2019-10-02,457
818,2015,2023-04-21,202
819,391,2021-02-24,301
820,362,2020-11-23,469
821,1187,2020-01-21,139
822,3221,2020-09-23,409
823,606,2019-08-07,359
824,1115,2021-02-01,130
825,4333,2021-03-09,686
826,644,2022-07-23,649
827,120,2019-08-03,166
828,2250,2021-10-08,284
829,837,2022-06-07,259
830,1348,2022-03-08,300
831,4106,2020-08-30,713
832,2480,2020-07-05,696
833,2102,2023-05-06,719
834,3383,2020-02-24,157
835,2002,2022-01-03,688
836,140,2021-11-30,673
837,3780,2023-07-02,389
838,3787,2021-08-18,126
839,189,2022-12-27,469
840,2263,2023-04-02,443
841,3867,2021-08-20,575
842,3689,2022-09-02,336
843,420,2021-02-20,250
844,856,2022-03-31,399
845,2216,2020-07-06,134
846,2124,2020-11-09,355
847,989,2023-06-05,451
848,2925,2021-09-02,210
849,1552,2023-03-09,558
850,2497,2022-08-15,373
851,3282,2019-09-25,211
852,2089,2020-08-02,222
853,2783,2021-05-02,397
854,1489,2020-03-29,156
855,1097,2022-03-18,105
856,806,2020-06-10,673
857,2598,2020-04-30,696
858,146,2019-08-13,505
859,2197,2020-12-23,505
860,4117,2020-10-25,328
861,3230,2022-04-22,392
862,3430,2022-01-31,465
863,113,2023-03-20,563
864,3540,2021-10-30,385
865,871,2019-12-14,167
866,2685,2022-08-22,347
867,1403,2023-03-16,246
868,802,2022-07-08,677
869,3001,2021-01-02,106
870,1924,2019-09-22,555
871,2049,2019-08-20,246
872,600,2021-04-19,349
873,3370,2022-12-17,239
874,925,2020-03-03,593
875,238,2019-12-20,321
876,2053,2021-07-13,728
877,1001,2022-02-10,712
878,2505,2019-07-13,120
879,1744,2023-03-04,535
880,2145,2021-05-29,177
881,4274,2020-06-20,121
882,3873,2022-04-14,177
883,3269,2020-08-13,404
884,3428,2021-07-12,187
885,880,2021-01-18,736
886,2807,2022-11-16,261
887,1389,2019-11-08,448
888,3875,2022-12-02,542
889,1481,2022-12-03,747
890,611,2023-05-31,253
891,1230,2021-05-31,438
892,3225,2022-10-16,262
893,3149,2021-02-21,429
894,2764,2022-12-16,140
895,751,2019-09-16,161
896,928,2022-06-04,377
897,34,2020-08-08,363
898,764,2020-06-21,601
899,1399,2023-05-11,418
900,3005,2020-08-03,427
901,723,2023-05-21,413
902,3409,2021-10-09,518
903,2248,2023-01-13,657
904,3457,2022-05-20,704
905,769,2019-11-11,430
906,3486,2021-04-06,141
907,3485,2022-01-07,389
908,1843,2020-11-15,255
909,2581,2021-04-22,293
910,2901,2022-11-13,544
911,3495,2022-12-20,272
912,2658,2021-09-02,163
913,1243,2020-05-28,415
914,4142,2019-11-24,505
915,395,2020-07-30,694
916,2171,2021-10-23,615
917,956,2021-11-23,601
918,2843,2021-09-09,364
919,876,2021-04-20,293
920,4463,2021-08-26,385
921,4003,2020-04-28,243
922,2757,2020-06-29,658
923,3535,2020-10-21,450
924,3997,2022-07-09,500
925,1642,2022-09-09,446
926,2993,2021-09-12,242
927,2099,2020-03-03,618
928,939,2022-12-26,166
929,3355,2023-04-18,421
930,2551,2022-06-13,583
931,1237,2022-02-13,515
932,3369,2021-12-20,601
933,3726,2023-03-21,437
934,385,2020-07-04,386
935,3333,2022-04-18,523
936,3725,2022-12-08,327
937,4474,2020-01-16,187
938,3952,2022-07-06,510
939,2478,2022-04-04,434
940,1216,2021-03-28,448
941,1143,2021-01-25,645
942,2813,2022-12-31,420
943,2989,2019-11-24,455
944,4443,2020-04-09,571
945,2890,2023-06-11,543
946,3629,2021-11-25,743
947,3430,2020-11-07,583
948,96,2022-11-24,338
949,1875,2020-09-10,459
950,1008,2022-09-01,574
951,2523,2020-04-14,295
952,468,2022-04-18,691
953,2193,2020-05-29,615
954,3623,2019-10-24,660
955,1889,2020-11-12,179
956,3709,2019-08-12,187
957,1815,2023-02-02,171
958,3761,2020-04-08,732
959,4387,2020-08-15,599
960,1311,2021-03-26,678
961,2879,2020-04-08,123
962,950,2022-10-02,734
963,1726,2021-02-16,575
964,2313,2021-06-04,435
965,2657,2021-10-11,502
966,1428,2019-07-20,293
967,2140,2023-02-12,228
968,761,2022-08-23,636
969,4274,2020-07-14,728
970,2537,2021-02-19,237
971,144,2020-02-17,208
972,106,2022-02-19,469
973,2306,2022-06-04,442
974,1610,2022-04-09,445
975,2621,2022-05-04,318
976,354,2022-06-03,415
977,51,2020-08-15,607
978,828,2021-04-13,432
979,2101,2020-02-05,543
980,1894,2022-03-31,402
981,4464,2023-01-14,444
982,2698,2022-10-04,525
983,3480,2023-03-01,672
984,267,2022-07-16,671
985,3680,2020-01-26,647
986,1376,2022-11-23,654
987,2423,2022-08-07,330
988,890,2019-10-18,710
989,3612,2022-08-23,317
990,1022,2020-07-15,225
991,878,2020-12-17,132
992,2944,2021-03-21,744
993,360,2021-05-03,364
994,3560,2020-10-27,704
995,4259,2019-12-10,381
996,245,2020-02-15,311
997,1479,2022-06-11,426
998,1010,2022-12-31,409
999,4184,2020-09-03,728
1000,2404,2022-04-17,463
1001,1057,2021-02-20,144
1002,2038,2019-08-02,730
1003,3291,2020-06-18,477
1004,1840,2019-09-07,495
1005,1985,2019-10-04,634
1006,3942,2021-10-12,415
1007,1102,2019-07-10,410
1008,1789,2021-08-21,100
1009,1379,2022-02-14,377
1010,1684,2022-08-02,529
1011,4015,2021-12-10,463
