exception_id,customer_id,employee_id,open_date,review_date,doc_status,description,comments
236,10453,27600,2020-12-03,2021-02-03,Missing,Identity,
237,19245,25758,2022-04-25,2022-06-17,Missing,CIP Exception,Please re-scan ID Verification
238,26983,17463,2019-10-11,2020-01-20,Exception,CIP Exception,Please re-scan ID Verification
239,16176,19486,2022-05-26,2022-09-10,Missing,CIP Exception,ID has Expired
240,23595,19726,2023-06-20,2023-06-20,Exception,Identity,
241,15275,5964,2021-06-18,2021-09-13,Missing,Identity,
242,2693,26560,2019-12-09,2020-03-01,Exception,CIP Exception,Please re-scan ID Verification
243,13532,23633,2023-02-15,2023-02-15,Exception,Identity,
244,21509,4136,2020-02-15,2020-04-28,Missing,Identity,
245,25979,15433,2020-08-24,2020-11-27,Exception,CIP Exception,Please re-scan ID Verification
246,5155,13,2021-09-20,2022-01-22,Exception,Identity,
247,1609,25029,2023-01-31,2023-04-05,Missing,CIP Exception,Please re-scan ID Verification
248,17665,21407,2021-03-18,2021-05-27,Exception,Identity,
249,7698,1504,2022-07-16,2022-10-23,Exception,CIP Exception,ID has Expired
250,27447,11120,2021-04-19,2021-08-14,Exception,CIP Exception,Please re-scan ID Verification
251,25259,25793,2019-07-07,2019-08-29,Missing,CIP Exception,ID has Expired
252,1611,18499,2020-07-16,2020-09-23,Exception,CIP Exception,Please re-scan ID Verification
253,27254,8258,2023-06-20,2023-06-20,Exception,CIP Exception,ID has Expired
254,3890,736,2022-09-22,2022-11-25,Exception,CIP Exception,ID has Expired
255,21941,19970,2021-07-11,2021-09-26,Missing,Identity,
256,13322,5747,2022-01-21,2022-04-29,Missing,CIP Exception,ID has Expired
257,24031,21978,2022-02-04,2022-05-18,Exception,Identity,
258,7494,15057,2022-07-06,2022-09-20,Exception,Identity,
259,18196,14728,2019-09-04,2019-12-06,Exception,Identity,
260,28767,12526,2022-09-11,2022-11-14,Exception,Identity,
261,21218,20494,2020-08-26,2020-10-19,Exception,Identity,
262,21852,7858,2020-06-09,2020-08-04,Exception,Identity,
263,841,19799,2019-12-29,2020-03-07,Exception,Identity,
264,8593,19583,2020-06-13,2020-08-18,Exception,Identity,
265,5922,24220,2021-09-16,2021-12-20,Missing,CIP Exception,ID has Expired
266,22280,19062,2019-07-28,2019-10-28,Exception,Identity,
267,15113,1249,2022-04-20,2022-06-19,Exception,Identity,
268,6800,17727,2020-04-22,2020-07-17,Exception,CIP Exception,ID has Expired
269,25765,4552,2023-02-02,2023-05-14,Missing,CIP Exception,Please re-scan ID Verification
270,21206,20754,2020-01-23,2020-05-12,Missing,CIP Exception,ID has Expired
271,17752,7254,2022-07-14,2022-11-11,Exception,CIP Exception,ID has Expired
272,858,26968,2019-11-06,2020-02-27,Missing,Identity,
273,7273,11835,2022-08-09,2022-11-02,Exception,Identity,
274,27514,11713,2022-04-26,2022-09-02,Missing,CIP Exception,ID has Expired
275,20161,16723,2022-04-03,2022-07-07,Exception,Identity,
276,317,11289,2019-12-13,2020-03-09,Missing,Identity,
277,25880,6615,2023-05-12,2023-05-12,Missing,CIP Exception,ID has Expired
278,28528,2101,2023-02-11,2023-02-11,Exception,CIP Exception,ID has Expired
279,3746,284,2020-11-04,2020-12-27,Exception,Identity,
280,12253,16323,2021-07-22,2021-09-14,Missing,Identity,
281,13474,16829,2023-05-19,2023-05-19,Exception,Identity,
282,4912,15047,2022-06-14,2022-08-05,Missing,Identity,
283,28506,21198,2021-06-25,2021-10-06,Exception,Identity,
284,4327,9764,2022-06-03,2022-08-25,Exception,CIP Exception,Please re-scan ID Verification
285,10425,5982,2022-01-02,2022-04-30,Missing,CIP Exception,ID has Expired
286,15507,3607,2021-06-07,2021-08-22,Missing,CIP Exception,Please re-scan ID Verification
287,26418,22036,2023-01-31,2023-04-18,Missing,Identity,
288,17825,6272,2023-06-20,2023-06-20,Missing,Identity,
289,23370,8619,2020-09-08,2020-12-08,Missing,Identity,
290,2630,25518,2022-10-24,2023-02-05,Exception,CIP Exception,Please re-scan ID Verification
291,13473,28394,2021-07-29,2021-10-21,Missing,Identity,
292,1563,14909,2021-10-25,2022-02-05,Exception,CIP Exception,ID has Expired
293,9175,18099,2020-12-21,2021-03-22,Exception,Identity,
294,992,23611,2022-03-22,2022-05-23,Missing,CIP Exception,ID has Expired
295,20553,208,2020-02-23,2020-04-24,Exception,CIP Exception,ID has Expired
296,3179,1547,2022-01-21,2022-03-27,Missing,CIP Exception,ID has Expired
297,26497,5188,2021-07-07,2021-11-08,Missing,Identity,
298,2480,10561,2020-10-21,2021-02-26,Exception,Identity,
299,4606,23650,2023-04-10,2023-04-10,Exception,CIP Exception,ID has Expired
300,27325,2261,2022-10-06,2022-12-22,Exception,Identity,
301,1919,21740,2020-02-02,2020-04-17,Exception,CIP Exception,Please re-scan ID Verification
302,23815,24600,2023-04-19,2023-04-19,Missing,CIP Exception,ID has Expired
303,9146,19867,2022-07-22,2022-10-20,Missing,Identity,
304,24414,3532,2021-01-10,2021-03-01,Missing,CIP Exception,ID has Expired
305,17528,3823,2021-12-10,2022-02-22,Missing,CIP Exception,ID has Expired
306,10251,1221,2019-12-22,2020-02-17,Exception,CIP Exception,Please re-scan ID Verification
307,1062,14242,2019-09-13,2020-01-13,Missing,CIP Exception,Please re-scan ID Verification
308,22452,4752,2021-03-31,2021-07-15,Exception,Identity,
309,25734,5792,2020-06-20,2020-09-13,Missing,Identity,
310,16155,19457,2022-09-02,2022-11-11,Exception,Identity,
311,4507,8469,2020-09-20,2020-12-19,Missing,CIP Exception,ID has Expired
312,18815,9193,2022-04-27,2022-07-17,Exception,CIP Exception,Please re-scan ID Verification
313,1200,7373,2020-09-16,2021-01-06,Exception,Identity,
314,799,18711,2021-02-23,2021-05-11,Missing,CIP Exception,ID has Expired
315,2831,14340,2021-03-08,2021-06-27,Missing,CIP Exception,Please re-scan ID Verification
316,27544,9974,2022-05-04,2022-08-25,Exception,Identity,
317,10749,8409,2021-07-23,2021-09-11,Exception,Identity,
318,11304,4716,2020-11-25,2021-03-22,Missing,CIP Exception,ID has Expired
319,2861,24127,2023-06-11,2023-06-11,Exception,Identity,
320,18817,12373,2020-06-16,2020-10-03,Exception,Identity,
321,14460,5518,2023-06-09,2023-06-09,Missing,CIP Exception,Please re-scan ID Verification
322,7183,17735,2021-06-08,2021-09-08,Missing,Identity,
323,9913,17476,2019-10-29,2019-12-26,Exception,Identity,
324,16379,9629,2022-04-12,2022-06-24,Exception,CIP Exception,Please re-scan ID Verification
325,20706,27839,2023-03-08,2023-03-08,Missing,CIP Exception,Please re-scan ID Verification
326,25678,807,2022-07-24,2022-10-08,Exception,Identity,
327,16483,1505,2022-02-10,2022-06-17,Exception,Identity,
328,19902,4352,2021-01-30,2021-05-04,Exception,Identity,
329,1100,9058,2021-02-27,2021-05-03,Exception,Identity,
330,22919,20085,2020-09-22,2020-11-13,Exception,Identity,
331,26944,12249,2021-03-25,2021-07-14,Missing,Identity,
332,9062,14884,2020-10-13,2021-02-01,Missing,Identity,
333,5074,1157,2019-08-16,2019-11-07,Exception,CIP Exception,ID has Expired
334,4289,23124,2020-04-26,2020-08-11,Exception,CIP Exception,ID has Expired
335,27736,2854,2022-04-27,2022-08-03,Exception,Identity,
336,1195,705,2023-04-15,2023-04-15,Exception,Identity,
337,7716,16186,2022-05-06,2022-07-25,Exception,CIP Exception,ID has Expired
338,9266,5430,2021-12-26,2022-02-26,Exception,CIP Exception,ID has Expired
339,23601,12527,2022-02-14,2022-04-21,Exception,Identity,
340,18232,24048,2023-06-21,2023-06-21,Missing,Identity,
341,28055,18795,2023-06-23,2023-06-23,Exception,CIP Exception,ID has Expired
342,10490,13023,2019-07-20,2019-11-09,Missing,Identity,
343,4837,19991,2023-06-02,2023-06-02,Exception,CIP Exception,ID has Expired
344,19065,22512,2023-04-17,2023-04-17,Exception,CIP Exception,ID has Expired
345,5562,26603,2023-07-01,2023-07-01,Exception,CIP Exception,ID has Expired
346,16523,19207,2022-12-20,2023-04-08,Exception,Identity,
347,23480,2009,2022-06-06,2022-09-03,Exception,CIP Exception,ID has Expired
348,2438,2625,2020-09-10,2020-12-28,Missing,CIP Exception,ID has Expired
349,15075,4845,2022-11-18,2023-03-11,Exception,Identity,
350,21391,4568,2021-04-12,2021-08-10,Missing,Identity,
351,25677,22348,2022-01-30,2022-04-13,Exception,Identity,
352,13890,12546,2019-12-22,2020-03-09,Missing,Identity,
353,26621,4274,2022-07-11,2022-08-31,Exception,Identity,
354,25571,16335,2021-08-07,2021-10-19,Exception,Identity,
355,15696,24807,2020-03-16,2020-05-31,Missing,Identity,
356,10295,16884,2021-12-21,2022-03-29,Missing,Identity,
357,26618,5946,2020-09-29,2021-01-08,Exception,CIP Exception,ID has Expired
358,19769,14545,2022-12-14,2023-02-27,Missing,Identity,
359,26253,24816,2021-01-10,2021-04-01,Missing,Identity,
360,26342,22415,2022-12-24,2023-04-26,Missing,CIP Exception,ID has Expired
361,26925,13603,2020-02-03,2020-04-29,Missing,CIP Exception,ID has Expired
362,25973,4637,2023-01-25,2023-05-28,Exception,CIP Exception,ID has Expired
363,10028,28040,2023-01-21,2023-04-30,Missing,Identity,
364,5294,9619,2020-02-20,2020-05-09,Missing,Identity,
365,4345,20709,2021-04-24,2021-07-24,Missing,Identity,
366,16500,1422,2020-08-08,2020-11-15,Missing,Identity,
367,12153,17903,2022-10-02,2022-12-12,Exception,Identity,
368,16650,3433,2023-03-16,2023-03-16,Exception,Identity,
369,24765,17056,2019-09-23,2020-01-17,Missing,Identity,
370,13067,15402,2022-01-04,2022-03-02,Exception,Identity,
371,10553,23072,2020-07-06,2020-10-21,Exception,CIP Exception,ID has Expired
372,12187,17348,2019-12-05,2020-02-14,Missing,Identity,
373,4784,11913,2022-11-07,2023-01-02,Exception,Identity,
374,5248,19452,2021-01-07,2021-04-18,Exception,CIP Exception,Please re-scan ID Verification
375,9157,205,2020-02-20,2020-06-12,Missing,Identity,
376,439,832,2022-06-12,2022-08-27,Exception,Identity,
377,14103,11768,2019-10-03,2020-01-18,Missing,CIP Exception,ID has Expired
378,24010,24327,2020-10-25,2021-02-13,Missing,CIP Exception,ID has Expired
379,17619,25050,2021-01-19,2021-04-13,Exception,CIP Exception,ID has Expired
380,15816,26274,2020-12-05,2021-02-07,Exception,CIP Exception,Please re-scan ID Verification
381,13761,21627,2023-02-21,2023-02-21,Exception,CIP Exception,Please re-scan ID Verification
382,1824,15449,2023-05-11,2023-05-11,Missing,Identity,
383,25917,3510,2021-09-04,2021-12-06,Missing,Identity,
384,2217,13769,2021-07-07,2021-10-14,Missing,Identity,
385,3796,5628,2022-07-01,2022-09-16,Exception,Identity,
