Transaction_ID,Transfer_Type,Loan_Amount,Bank_Interest_Rate,Other_Interest_Rate
187,IN,118054,7.29,8.45
188,OUT,485118,13.41,10.89
189,OUT,198102,13.65,5.81
190,IN,342615,6.97,8.48
191,OUT,159873,14.99,14.66
192,OUT,451207,13.14,4.72
193,IN,466827,12.81,14.66
194,OUT,237237,10.04,8.16
195,IN,409891,6.86,7.51
196,OUT,409045,9.92,9.62
197,IN,340949,4.98,5.06
198,OUT,241540,10.25,9.3
199,IN,433797,5.08,9.0
200,IN,131906,4.32,5.13
201,IN,354296,10.76,14.09
202,IN,111102,5.65,10.4
203,IN,180431,4.13,4.28
204,IN,103213,10.72,13.88
205,IN,125469,4.69,8.41
206,OUT,113849,9.36,8.65
207,OUT,312784,12.64,6.79
208,IN,209483,5.24,6.27
209,IN,444355,5.76,13.45
210,OUT,162258,12.29,10.84
211,IN,351055,4.47,13.8
212,IN,243883,4.17,4.54
213,IN,142912,4.39,11.09
214,OUT,451807,10.22,7.72
215,OUT,437361,11.0,4.87
216,IN,299248,5.58,5.98
217,IN,111788,8.71,9.93
218,IN,302645,9.13,11.59
219,OUT,299590,9.5,6.13
220,OUT,198020,13.81,11.7
221,OUT,239558,12.53,10.52
222,IN,257447,4.55,5.46
223,IN,191998,4.31,7.23
224,IN,251609,4.9,4.94
225,IN,223206,6.01,7.35
226,IN,225538,9.33,9.54
227,OUT,165172,13.97,7.53
228,OUT,234267,13.08,11.98
229,OUT,357799,6.45,4.81
230,IN,174165,4.02,4.27
231,OUT,169844,5.9,4.48
232,IN,354053,5.86,9.27
233,OUT,124365,14.57,7.41
234,IN,122140,8.81,10.85
235,OUT,212023,13.06,7.55
236,IN,328253,12.32,13.43
237,IN,283124,6.5,10.5
238,IN,436156,4.88,5.05
239,OUT,487983,13.16,11.02
240,OUT,318889,9.99,9.68
241,OUT,168242,14.03,5.97
242,OUT,124350,14.59,14.53
243,OUT,148945,14.11,12.35
244,OUT,402279,13.16,5.61
245,OUT,101991,12.05,8.38
246,OUT,469363,14.43,14.3
247,IN,483632,12.54,14.4
248,OUT,215747,12.9,12.26
249,OUT,188517,10.03,5.09
250,IN,494812,9.78,10.43
251,IN,306821,5.83,8.45
252,IN,405961,4.64,6.87
253,IN,349295,8.52,10.77
254,IN,229511,4.72,14.36
255,IN,202218,4.29,5.01
256,OUT,284944,14.85,9.08
257,IN,238485,4.14,4.68
258,IN,392765,8.44,12.91
259,OUT,217675,14.99,14.94
260,OUT,125119,10.89,7.37
261,IN,442439,13.59,14.86
262,IN,394810,5.29,8.49
263,OUT,357195,12.94,5.08
264,OUT,290177,13.15,9.1
265,IN,368527,9.2,12.54
266,IN,145614,5.74,7.17
267,OUT,145610,14.59,14.36
268,OUT,271148,8.39,4.2
269,IN,246697,7.24,13.59
270,OUT,383280,14.74,14.71
271,IN,317959,4.26,8.04
272,OUT,296207,12.8,12.07
273,OUT,400076,13.91,11.1
274,OUT,397080,13.97,10.8
275,IN,162502,4.82,8.94
276,OUT,143418,11.56,11.2
277,IN,174736,4.85,7.48
278,OUT,250033,11.31,6.34
279,OUT,483829,11.31,6.07
280,OUT,456876,13.6,12.84
281,IN,429744,7.31,10.1
282,IN,170722,5.21,14.09
283,IN,307652,4.28,5.71
284,IN,344718,4.79,5.03
285,OUT,202540,11.52,11.11
286,IN,403401,12.94,13.75
287,IN,381127,5.52,14.85
288,IN,462270,7.89,10.76
289,IN,151450,4.49,4.7
290,IN,416346,4.39,4.65
291,IN,318020,5.76,11.0
292,OUT,464093,12.31,11.8
293,IN,157122,8.04,9.43
294,IN,101697,6.04,13.78
295,IN,163607,4.46,6.36
296,IN,283688,8.82,9.93
297,OUT,135859,11.91,10.29
298,IN,392369,7.86,12.67
299,OUT,176980,14.6,13.21
300,IN,265780,4.08,5.22
301,OUT,282381,14.57,14.3
302,IN,410306,11.28,13.16
303,IN,423188,5.33,11.33
304,IN,203412,5.3,5.89
305,IN,269014,9.71,12.65
306,IN,305976,8.34,9.31
307,OUT,268109,12.21,8.64
308,OUT,461290,12.7,9.8
309,OUT,129748,13.25,5.74
310,IN,404605,11.79,11.93
311,OUT,419500,10.75,7.51
312,IN,364114,6.64,7.13
313,OUT,496880,13.98,13.54
314,IN,240386,5.23,13.27
315,OUT,376909,13.25,7.93
316,OUT,486805,12.69,5.35
317,OUT,288816,12.45,7.73
318,IN,200572,4.57,10.58
319,OUT,135950,14.2,13.67
320,OUT,119622,8.1,6.77
321,IN,111636,6.68,10.11
322,OUT,237221,14.44,13.59
323,OUT,403652,11.83,10.28
324,IN,372181,8.46,14.31
325,OUT,219991,13.03,12.86
326,OUT,246291,12.02,6.57
327,OUT,326329,10.0,8.48
328,IN,161863,10.05,11.53
329,IN,352920,6.98,8.09
330,IN,374132,4.06,11.25
331,OUT,235528,12.15,4.89
332,OUT,408663,9.27,8.5
333,OUT,430491,14.47,14.14
334,IN,279131,5.15,9.28
335,IN,290449,6.37,9.29
336,OUT,242816,10.85,8.5
337,OUT,111620,14.6,13.36
338,IN,237961,7.08,7.55
339,OUT,409322,11.4,4.6
340,OUT,400507,14.51,13.78
341,OUT,297691,14.34,12.79
342,OUT,159885,6.05,5.12
343,IN,491084,4.69,8.36
344,OUT,427800,10.86,4.09
345,IN,342360,7.44,12.61
346,OUT,167086,12.54,11.07
347,OUT,182327,7.47,5.99
348,IN,422126,6.17,11.6
349,IN,144704,5.46,14.73
350,IN,245855,4.05,6.04
351,OUT,245668,13.17,11.43
352,IN,238949,4.65,5.23
353,IN,159492,4.2,5.27
354,OUT,412181,14.41,13.13
355,OUT,393321,14.56,12.96
356,OUT,334124,14.03,6.17
357,IN,171487,5.88,6.59
358,IN,306124,6.49,9.58
359,IN,202048,4.31,9.48
360,IN,208772,4.99,9.67
361,OUT,113858,14.61,13.25
362,OUT,145868,11.55,10.0
363,OUT,120308,11.17,7.6
364,IN,149487,4.19,7.51
365,IN,168379,5.4,8.09
366,IN,344783,9.04,11.58
367,OUT,445717,14.82,7.35
368,IN,422766,4.1,6.07
369,IN,423750,5.25,7.62
370,IN,218406,4.95,10.37
371,IN,122613,5.91,6.44
372,IN,261305,6.98,11.06
373,OUT,396808,12.82,12.43
374,OUT,146367,13.64,10.91
375,OUT,221796,13.33,13.02
376,IN,123490,4.67,5.5
377,OUT,278637,14.34,11.02
378,IN,348780,8.99,12.69
379,IN,203552,6.37,7.13
380,IN,127939,10.16,14.47
381,IN,202272,9.21,10.71
382,IN,396104,4.19,4.59
383,IN,102430,8.06,8.71
384,IN,302466,10.42,12.37
385,IN,372442,7.16,9.75
386,IN,364804,4.81,9.3
387,OUT,184450,14.94,14.14
388,IN,414483,8.09,11.82
389,IN,353462,4.14,4.46
390,OUT,344891,14.08,10.12
391,OUT,333610,12.25,9.11
392,IN,258488,5.62,7.88
393,OUT,367917,12.04,9.28
394,OUT,202462,13.79,9.94
395,OUT,179034,12.71,8.43
396,OUT,227480,10.5,6.98
397,OUT,262886,10.36,8.82
398,IN,148448,5.97,7.66
399,OUT,293352,4.5,4.25
400,IN,466955,4.96,8.98
401,IN,324153,4.73,5.22
402,IN,347290,5.47,6.67
403,IN,449676,10.17,11.19
404,OUT,269037,13.51,7.55
405,OUT,241114,14.98,12.74
406,IN,121106,10.94,12.15
407,IN,365857,6.41,9.96
408,IN,374366,4.04,13.76
409,OUT,448199,14.08,12.77
410,IN,402087,11.46,12.71
411,IN,210315,4.89,5.39
412,IN,321235,9.65,12.59
413,OUT,474049,13.64,4.98
414,OUT,308592,7.47,4.42
415,OUT,273216,14.19,10.51
416,IN,386253,9.25,9.51
417,IN,152655,4.92,9.4
418,OUT,488619,11.32,11.22
419,OUT,392848,7.38,6.53
420,IN,455856,11.47,14.38
421,OUT,250102,5.16,4.37
422,OUT,188859,11.37,8.22
423,OUT,200710,13.25,7.55
424,IN,201816,4.09,5.45
425,IN,309897,5.88,6.2
426,OUT,216117,7.39,4.98
427,IN,150908,4.08,12.84
428,IN,195148,8.51,9.59
429,OUT,451295,12.29,7.4
430,IN,326277,7.97,13.82
431,IN,124649,8.13,9.16
432,OUT,189288,12.64,7.49
433,IN,474750,4.14,6.47
434,OUT,345344,14.68,13.15
435,OUT,108136,12.62,5.11
436,OUT,289987,13.68,8.17
437,OUT,472502,13.75,13.68
438,OUT,272235,10.75,10.64
439,OUT,188517,9.89,6.5
440,IN,229156,7.73,11.45
441,IN,227939,11.19,11.23
442,OUT,465647,13.64,9.57
443,OUT,357714,13.29,7.33
444,OUT,176563,13.97,10.97
445,OUT,497854,12.28,8.45
446,OUT,308167,12.41,12.11
447,OUT,426097,13.05,11.59
448,OUT,275787,14.31,11.95
449,IN,314242,9.61,10.03
450,OUT,286297,14.46,12.57
451,IN,207865,7.16,7.69
452,OUT,419383,14.28,8.48
453,OUT,144779,12.28,7.92
454,OUT,424434,13.28,12.88
455,OUT,340702,12.39,12.29
456,IN,449130,9.28,13.44
457,OUT,108180,12.2,6.01
458,OUT,277043,14.95,14.92
459,OUT,237092,14.76,13.56
460,OUT,228588,13.87,4.19
461,OUT,457961,12.32,11.77
462,OUT,110937,11.65,5.21
463,OUT,400421,11.81,11.3
464,IN,242752,7.52,10.55
465,IN,413990,4.76,5.42
466,OUT,282784,14.18,13.1
467,OUT,136340,14.92,9.87
468,IN,133193,4.57,7.2
469,OUT,107584,13.79,13.06
470,OUT,209816,11.16,10.58
471,OUT,392301,13.37,13.03
472,OUT,351167,13.82,13.31
473,OUT,489903,7.66,6.27
474,OUT,209816,7.71,5.06
475,OUT,317629,14.1,13.5
476,IN,442510,6.95,11.39
477,OUT,195254,14.75,4.23
478,OUT,298883,12.98,12.29
479,IN,407969,10.57,12.28
480,IN,227714,11.46,14.25
481,IN,319573,8.47,8.72
482,OUT,149183,13.2,8.38
483,IN,175417,4.93,7.93
484,IN,231017,4.11,5.47
485,IN,261984,6.85,7.48
486,IN,423173,6.27,7.73
487,IN,218846,6.04,8.78
488,IN,144715,6.43,13.53
489,OUT,318890,9.58,5.43
490,OUT,418535,8.98,7.72
491,IN,267339,4.47,7.97
492,IN,169243,6.1,11.02
493,IN,444695,5.03,8.74
494,IN,368658,10.97,14.28
495,OUT,149871,10.48,6.14
496,IN,321366,5.33,7.8
497,IN,475066,8.38,11.67
498,IN,248087,8.38,12.86
499,OUT,430365,12.62,12.48
500,OUT,337751,12.27,12.16
501,IN,170102,9.18,11.06
502,OUT,143606,6.85,4.52
503,OUT,143257,14.24,10.78
504,IN,423711,10.09,14.05
505,IN,110959,7.88,14.13
506,IN,491240,5.82,14.92
507,IN,306789,11.44,13.01
508,IN,462491,9.39,9.71
509,OUT,268282,13.97,13.85
510,IN,197575,5.66,6.62
511,OUT,258600,13.12,4.76
512,OUT,257484,12.51,10.08
513,IN,148631,6.73,7.49
514,OUT,366204,8.4,7.38
515,OUT,327358,10.46,9.42
516,OUT,313561,14.49,14.32
517,IN,107780,4.01,10.92
518,IN,265439,6.57,8.1
519,IN,465651,4.45,6.89
520,IN,343680,10.59,12.85
521,IN,247267,11.09,14.49
522,OUT,269492,14.27,11.57
523,OUT,302155,14.95,13.13
524,IN,347117,4.61,6.91
525,OUT,311168,10.92,10.21
526,IN,146950,7.67,10.11
527,IN,462771,6.0,6.07
528,IN,174149,4.06,10.35
529,OUT,216544,13.72,11.89
530,OUT,199317,13.83,11.9
531,IN,127791,9.97,14.16
532,OUT,237586,7.49,7.24
533,IN,470058,4.71,14.75
534,OUT,301497,13.12,9.1
535,IN,372295,6.02,10.61
536,OUT,332265,11.98,7.19
537,IN,437418,12.97,14.3
538,IN,285547,5.5,11.67
539,OUT,498389,5.56,4.68
540,IN,212804,7.69,11.17
541,OUT,288883,14.81,14.43
542,IN,204288,8.34,9.77
543,IN,205231,6.83,6.96
544,IN,448896,11.94,13.21
545,OUT,337552,9.64,5.81
546,IN,342712,6.36,13.56
547,OUT,313045,12.48,11.9
548,OUT,356288,13.78,10.65
549,OUT,174261,13.74,13.55
550,OUT,118186,8.51,7.51
551,IN,184244,8.89,12.37
552,IN,376058,5.36,6.41
553,OUT,354771,14.73,14.38
554,IN,348774,8.07,11.89
555,IN,445378,6.15,10.44
556,IN,477926,9.11,9.33
557,IN,264625,6.2,6.55
558,IN,447074,8.26,10.09
559,IN,113759,7.29,9.5
560,OUT,106551,11.48,10.32
561,IN,263026,9.43,14.1
562,OUT,319717,14.84,14.74
563,IN,270660,4.2,10.9
564,OUT,420607,10.03,5.13
565,IN,121751,4.43,5.47
566,OUT,477861,11.34,9.27
567,IN,257282,9.03,10.11
568,OUT,402284,14.15,13.72
569,IN,446524,9.2,12.75
570,IN,194139,4.9,5.27
571,IN,185096,5.45,8.9
572,IN,443135,6.81,8.11
573,OUT,433872,14.4,10.55
574,OUT,113137,14.31,7.31
575,OUT,428492,14.33,5.5
576,OUT,435834,12.66,7.9
577,IN,491231,5.93,8.51
578,IN,404639,7.84,13.08
579,IN,365092,6.3,12.81
580,OUT,393776,13.92,10.07
581,OUT,366565,9.81,7.7
582,IN,478936,11.34,14.09
583,IN,407203,9.18,10.11
584,OUT,482051,13.03,12.21
585,IN,475115,4.03,4.15
586,OUT,156422,14.59,14.37
587,IN,430903,4.04,7.37
588,OUT,154218,13.98,13.39
589,IN,422881,4.83,4.94
590,IN,282317,5.2,5.64
591,OUT,102664,12.99,10.67
592,IN,470545,6.28,10.97
593,IN,396956,4.27,7.52
594,IN,336218,4.98,5.12
595,IN,432870,9.6,14.98
596,OUT,174625,9.3,5.26
597,OUT,112781,14.78,11.89
598,OUT,193290,14.96,5.91
599,IN,245810,5.0,12.15
600,OUT,191975,13.49,5.17
601,OUT,470270,13.3,12.63
602,IN,138045,4.84,7.43
603,IN,451013,5.16,7.41
604,IN,175610,4.24,6.71
605,OUT,163987,14.77,13.37
606,IN,478447,6.79,9.69
607,OUT,266405,9.9,9.5
608,OUT,141027,8.83,5.91
609,IN,249006,7.79,9.96
610,IN,312998,4.06,6.33
611,OUT,213331,14.97,14.92
612,IN,198599,4.19,4.99
613,OUT,475892,14.94,14.39
614,IN,152528,7.98,12.52
615,IN,408716,5.69,6.37
616,IN,499819,8.08,9.0
617,IN,263678,5.74,10.32
618,IN,171452,6.29,13.88
619,OUT,231804,14.96,14.65
620,OUT,427583,14.8,13.5
621,OUT,196257,12.94,12.85
622,OUT,174474,8.81,5.05
623,IN,115939,5.68,5.86
624,OUT,128951,13.09,8.2
625,OUT,410686,14.17,13.71
626,IN,201322,8.61,14.15
627,OUT,313343,9.16,8.12
628,OUT,495326,11.0,10.35
629,OUT,475451,6.87,6.83
630,IN,192657,8.17,8.32
631,OUT,331303,14.45,13.72
632,OUT,481439,14.69,14.01
633,OUT,453360,9.86,8.03
634,IN,226768,9.8,11.02
635,IN,121657,5.76,13.31
636,OUT,129177,12.69,12.61
637,OUT,107287,14.51,13.85
638,OUT,287687,12.26,12.19
639,IN,254597,9.76,13.95
640,OUT,426312,10.31,10.26
641,OUT,140387,14.96,14.76
642,OUT,354257,13.21,8.29
643,IN,116700,5.05,9.48
644,OUT,322261,11.67,6.29
645,OUT,305091,14.51,10.83
646,IN,370382,5.81,10.56
647,OUT,203687,14.33,10.77
648,IN,276164,4.28,5.79
649,OUT,246218,5.78,5.65
650,IN,119834,10.96,11.75
651,OUT,197802,10.71,10.33
652,OUT,291360,14.58,14.07
653,OUT,473379,13.33,4.38
654,IN,271412,11.73,11.89
655,IN,317421,12.21,12.93
656,IN,349405,5.95,10.3
657,IN,368359,4.11,4.13
658,IN,461516,9.51,10.99
659,IN,334162,12.02,13.69
660,IN,256892,5.45,8.65
661,OUT,302699,9.65,8.4
662,IN,343825,9.88,13.85
663,OUT,360172,10.07,10.04
664,OUT,275756,6.76,4.53
665,IN,153890,4.31,4.6
666,OUT,460670,13.62,8.63
667,IN,193353,9.97,14.0
668,IN,407091,4.87,13.97
669,OUT,358278,11.41,11.34
670,IN,230901,5.11,12.82
671,OUT,453564,14.65,6.75
672,OUT,243211,13.87,8.78
673,OUT,258522,11.9,10.85
674,OUT,320535,6.01,5.21
675,OUT,496341,14.15,4.8
676,IN,270473,6.7,9.45
677,OUT,316973,14.88,9.16
678,IN,277388,4.86,5.06
679,IN,277116,6.62,9.88
680,IN,458963,9.46,9.82
681,OUT,258019,6.7,5.56
682,IN,369795,4.39,4.66
683,OUT,222277,12.42,9.18
684,IN,236245,4.46,5.4
685,IN,306969,4.27,4.84
686,IN,132846,4.81,7.07
687,IN,152479,7.89,10.09
688,IN,301509,4.81,13.29
689,IN,243738,4.38,4.53
690,OUT,134867,13.16,12.28
691,OUT,266465,14.48,12.65
692,IN,421409,7.18,14.75
693,OUT,321608,13.21,10.19
694,OUT,210953,14.5,9.57
695,OUT,280622,13.93,5.99
696,IN,218060,12.94,13.46
697,IN,400977,9.73,9.99
698,IN,459913,5.74,12.42
699,OUT,219547,14.25,8.6
700,OUT,268549,14.89,14.0
701,IN,128101,13.74,14.44
702,OUT,231149,13.35,8.61
703,OUT,499519,14.55,9.76
704,IN,195891,7.56,7.61
705,IN,491784,4.29,11.54
706,IN,434869,5.37,7.44
707,IN,206594,5.78,6.27
708,OUT,260767,11.22,6.24
709,OUT,333615,14.48,12.5
710,IN,347404,9.47,12.55
711,IN,198949,9.15,10.32
712,IN,330549,4.76,6.13
713,OUT,493505,12.56,9.08
714,OUT,260065,9.81,4.59
715,OUT,158619,14.64,8.17
716,OUT,348000,5.78,4.92
717,IN,172170,5.5,7.31
718,OUT,233900,12.08,9.81
719,OUT,418955,11.98,8.28
720,IN,485885,5.56,7.61
721,IN,327585,6.32,11.56
722,OUT,205761,11.87,6.59
723,OUT,340324,12.46,9.78
724,IN,208640,8.06,11.27
725,OUT,463231,10.02,9.55
726,OUT,447929,13.73,8.57
727,IN,454306,7.34,14.95
728,IN,358371,7.13,11.65
729,OUT,173443,13.97,9.89
730,IN,125239,5.91,7.99
731,IN,313696,5.31,8.65
732,IN,382103,4.74,5.19
733,IN,277105,6.09,12.09
734,IN,111605,5.72,8.83
735,IN,339421,8.19,14.1
736,IN,249713,10.46,14.15
737,OUT,476747,10.32,8.77
738,IN,138467,10.16,11.04
739,IN,442121,9.96,13.7
740,IN,470598,6.87,9.94
741,OUT,243482,10.74,9.93
742,IN,464000,9.94,13.84
743,OUT,259527,5.59,4.49
744,IN,330393,4.52,6.14
745,IN,404329,9.76,11.53
746,IN,166289,6.49,8.19
747,IN,488816,5.16,8.34
748,IN,275422,7.3,12.52
749,OUT,159512,13.29,13.12
750,OUT,384583,11.65,10.37
751,IN,307431,7.1,11.31
752,IN,109493,4.69,5.58
753,OUT,323571,11.9,5.17
754,IN,137191,6.32,7.95
755,OUT,230861,14.72,12.63
756,IN,329003,5.74,5.76
757,OUT,178465,7.0,6.42
758,OUT,131661,11.75,11.56
759,IN,129919,4.12,7.49
760,IN,256279,7.56,7.61
761,IN,401184,7.75,8.47
762,OUT,153797,11.81,5.81
763,IN,343095,9.14,11.47
764,IN,308159,6.71,9.45
765,OUT,294200,12.23,10.86
766,IN,456267,7.0,7.76
767,OUT,177868,14.52,9.25
768,IN,462509,7.48,8.25
769,OUT,305609,14.91,13.33
770,IN,182107,5.48,6.75
771,OUT,486254,13.03,12.65
772,IN,105686,6.52,7.36
773,IN,217363,6.8,13.62
774,IN,201204,4.48,5.5
775,IN,395744,4.59,6.88
776,OUT,112127,14.55,8.77
777,IN,106866,6.48,8.45
778,IN,152728,4.2,8.73
779,OUT,159977,7.52,6.43
780,OUT,134229,7.45,4.15
781,IN,407505,4.07,4.08
782,IN,116386,4.45,4.77
783,OUT,363676,12.16,5.71
784,IN,471420,8.54,14.07
785,IN,350923,6.78,10.49
786,IN,429417,7.46,12.22
787,OUT,313417,14.62,6.19
788,OUT,155827,11.05,10.31
789,IN,312364,5.95,6.99
790,IN,417441,6.84,13.67
791,OUT,458797,9.42,8.7
792,OUT,329413,10.44,9.64
793,OUT,156625,9.54,6.13
794,OUT,366949,14.61,14.02
795,OUT,304848,14.47,11.77
796,OUT,100374,14.98,14.81
797,IN,285337,6.14,8.6
798,OUT,240034,12.43,7.71
799,IN,164537,8.73,9.13
800,OUT,302417,12.83,11.14
801,IN,450142,4.2,10.79
802,OUT,388020,14.86,13.04
803,OUT,296722,13.96,13.44
804,IN,106771,11.99,14.82
805,OUT,337230,13.99,11.61
806,IN,406222,4.02,5.78
807,OUT,350215,10.05,9.59
808,IN,268320,4.08,4.5
809,OUT,166960,13.64,12.35
810,IN,251552,9.56,9.81
811,OUT,385846,14.2,11.48
812,IN,335452,5.53,12.57
813,IN,202340,4.35,4.37
814,IN,353493,7.31,7.5
815,IN,323090,4.17,4.32
816,OUT,452464,14.05,12.03
817,OUT,180517,13.48,10.98
818,IN,277827,7.73,10.92
819,OUT,289588,13.12,6.72
820,OUT,307451,13.72,9.91
821,OUT,329445,10.69,9.25
822,IN,420148,5.03,7.55
823,OUT,181130,5.92,5.71
824,IN,158283,4.34,9.54
825,OUT,104964,14.13,12.46
826,OUT,171678,13.49,7.27
827,IN,468774,4.03,4.35
828,IN,480110,4.31,4.37
829,IN,240923,8.6,9.73
830,IN,416556,5.69,7.95
831,OUT,376575,14.07,5.86
832,IN,144644,6.42,8.19
833,IN,142951,8.36,11.15
834,IN,323546,5.49,5.54
835,IN,225890,6.13,11.83
836,IN,463725,6.59,8.55
837,OUT,221484,9.45,5.64
838,IN,224445,4.78,5.59
839,IN,104497,5.99,7.33
840,IN,275984,6.85,10.36
841,IN,157463,5.08,7.25
842,OUT,332497,11.85,7.98
843,IN,180900,5.48,12.66
