account_id,requested_date,date_issued,ready_date,delivery_date,check_number_from,check_number_to
5594,2022-08-11,2022-08-21,2022-08-23,2022-08-28,107555,107565
30915,2023-05-20,2023-05-30,2023-06-01,2023-06-06,103058,103078
29161,2023-02-05,2023-02-15,2023-02-17,2023-02-22,103335,103385
19155,2023-02-15,2023-02-25,2023-02-27,2023-03-04,100681,100711
32889,2022-08-18,2022-08-28,2022-08-30,2022-09-04,103064,103114
14258,2022-03-08,2022-03-18,2022-03-20,2022-03-25,101128,101178
26165,2022-10-17,2022-10-27,2022-10-29,2022-11-03,108228,108248
5550,2023-03-18,2023-03-28,2023-03-30,2023-04-04,101851,101901
8454,2022-09-16,2022-09-26,2022-09-28,2022-10-03,110804,110854
32846,2022-03-29,2022-04-08,2022-04-10,2022-04-15,109295,109345
1532,2022-02-26,2022-03-08,2022-03-10,2022-03-15,108570,108620
12130,2023-04-07,2023-04-17,2023-04-19,2023-04-24,106935,106985
9132,2023-02-21,2023-03-03,2023-03-05,2023-03-10,106518,106568
7879,2023-01-05,2023-01-15,2023-01-17,2023-01-22,102572,102582
12109,2022-02-27,2022-03-09,2022-03-11,2022-03-16,106045,106055
26236,2022-07-01,2022-07-11,2022-07-13,2022-07-18,101264,101314
8116,2022-07-07,2022-07-17,2022-07-19,2022-07-24,100851,100871
18599,2022-05-09,2022-05-19,2022-05-21,2022-05-26,105214,105244
30543,2023-04-29,2023-05-09,2023-05-11,2023-05-16,104574,104624
21723,2022-06-09,2022-06-19,2022-06-21,2022-06-26,109874,109904
7981,2023-02-08,2023-02-18,2023-02-20,2023-02-25,108720,108770
5195,2022-05-30,2022-06-09,2022-06-11,2022-06-16,108717,108747
2355,2022-09-15,2022-09-25,2022-09-27,2022-10-02,100506,100556
15687,2023-01-18,2023-01-28,2023-01-30,2023-02-04,110584,110614
28928,2022-06-05,2022-06-15,2022-06-17,2022-06-22,111144,111194
30907,2022-12-29,2023-01-08,2023-01-10,2023-01-15,103211,103241
28766,2023-02-11,2023-02-21,2023-02-23,2023-02-28,106313,106333
18723,2022-04-14,2022-04-24,2022-04-26,2022-05-01,110108,110138
27537,2023-05-06,2023-05-16,2023-05-18,2023-05-23,109585,109605
23081,2022-08-16,2022-08-26,2022-08-28,2022-09-02,104819,104839
3034,2023-01-25,2023-02-04,2023-02-06,2023-02-11,110954,111004
8488,2022-02-13,2022-02-23,2022-02-25,2022-03-02,105179,105199
6259,2022-08-04,2022-08-14,2022-08-16,2022-08-21,102619,102629
2393,2022-04-01,2022-04-11,2022-04-13,2022-04-18,104584,104614
7437,2022-03-16,2022-03-26,2022-03-28,2022-04-02,110338,110368
20238,2023-02-18,2023-02-28,2023-03-02,2023-03-07,110507,110557
8390,2022-02-15,2022-02-25,2022-02-27,2022-03-04,102420,102450
13592,2023-02-17,2023-02-27,2023-03-01,2023-03-06,105981,106001
16777,2022-09-19,2022-09-29,2022-10-01,2022-10-06,100474,100504
8787,2022-12-26,2023-01-05,2023-01-07,2023-01-12,109299,109349
12097,2022-06-06,2022-06-16,2022-06-18,2022-06-23,106978,106998
1838,2022-05-05,2022-05-15,2022-05-17,2022-05-22,101670,101680
28022,2023-05-02,2023-05-12,2023-05-14,2023-05-19,106157,106177
28509,2022-12-28,2023-01-07,2023-01-09,2023-01-14,108694,108714
5468,2022-06-08,2022-06-18,2022-06-20,2022-06-25,108154,108184
31348,2022-05-18,2022-05-28,2022-05-30,2022-06-04,107714,107764
10940,2023-03-05,2023-03-15,2023-03-17,2023-03-22,109932,109942
19974,2022-02-22,2022-03-04,2022-03-06,2022-03-11,105050,105080
3155,2022-08-19,2022-08-29,2022-08-31,2022-09-05,103880,103910
1209,2023-01-18,2023-01-28,2023-01-30,2023-02-04,110414,110434
6377,2022-11-03,2022-11-13,2022-11-15,2022-11-20,103541,103551
5562,2022-06-14,2022-06-24,2022-06-26,2022-07-01,104771,104821
10053,2022-11-17,2022-11-27,2022-11-29,2022-12-04,102191,102221
6964,2023-02-10,2023-02-20,2023-02-22,2023-02-27,110676,110696
2911,2022-08-08,2022-08-18,2022-08-20,2022-08-25,101736,101766
28767,2023-01-19,2023-01-29,2023-01-31,2023-02-05,108004,108024
14503,2023-03-30,2023-04-09,2023-04-11,2023-04-16,107923,107953
11096,2022-09-28,2022-10-08,2022-10-10,2022-10-15,108920,108970
2937,2022-11-29,2022-12-09,2022-12-11,2022-12-16,108968,108998
27474,2022-05-12,2022-05-22,2022-05-24,2022-05-29,107025,107045
10673,2022-05-26,2022-06-05,2022-06-07,2022-06-12,110953,110963
28794,2022-06-01,2022-06-11,2022-06-13,2022-06-18,101057,101077
27226,2023-03-02,2023-03-12,2023-03-14,2023-03-19,107247,107277
4207,2023-02-15,2023-02-25,2023-02-27,2023-03-04,102960,103010
17934,2023-02-23,2023-03-05,2023-03-07,2023-03-12,100996,101016
33252,2022-08-15,2022-08-25,2022-08-27,2022-09-01,102853,102863
22553,2023-02-08,2023-02-18,2023-02-20,2023-02-25,109792,109842
6770,2022-07-17,2022-07-27,2022-07-29,2022-08-03,102942,102962
2455,2022-03-28,2022-04-07,2022-04-09,2022-04-14,109243,109293
15515,2022-05-27,2022-06-06,2022-06-08,2022-06-13,101721,101771
30823,2022-02-14,2022-02-24,2022-02-26,2022-03-03,107075,107105
18761,2022-05-15,2022-05-25,2022-05-27,2022-06-01,103898,103918
18220,2022-06-25,2022-07-05,2022-07-07,2022-07-12,104335,104385
20580,2022-07-03,2022-07-13,2022-07-15,2022-07-20,110614,110634
28485,2022-03-06,2022-03-16,2022-03-18,2022-03-23,107513,107543
6605,2023-02-13,2023-02-23,2023-02-25,2023-03-02,102440,102490
13542,2022-07-16,2022-07-26,2022-07-28,2022-08-02,103469,103519
24565,2023-04-01,2023-04-11,2023-04-13,2023-04-18,106936,106986
10201,2022-12-02,2022-12-12,2022-12-14,2022-12-19,111203,111253
16830,2022-10-13,2022-10-23,2022-10-25,2022-10-30,106939,106959
27233,2023-05-14,2023-05-24,2023-05-26,2023-05-31,104324,104334
17489,2023-05-22,2023-06-01,2023-06-03,2023-06-08,104778,104828
3533,2022-06-14,2022-06-24,2022-06-26,2022-07-01,101404,101434
927,2022-09-20,2022-09-30,2022-10-02,2022-10-07,103704,103754
8138,2022-03-31,2022-04-10,2022-04-12,2022-04-17,107148,107158
10039,2022-02-16,2022-02-26,2022-02-28,2022-03-05,102367,102377
9704,2023-01-25,2023-02-04,2023-02-06,2023-02-11,110030,110040
28431,2022-05-23,2022-06-02,2022-06-04,2022-06-09,110585,110635
8828,2022-05-14,2022-05-24,2022-05-26,2022-05-31,107163,107193
18172,2022-09-10,2022-09-20,2022-09-22,2022-09-27,111019,111049
571,2023-01-15,2023-01-25,2023-01-27,2023-02-01,104280,104310
17303,2022-12-21,2022-12-31,2023-01-02,2023-01-07,109447,109477
5505,2023-03-26,2023-04-05,2023-04-07,2023-04-12,110986,111006
998,2022-03-02,2022-03-12,2022-03-14,2022-03-19,101768,101778
17536,2022-04-09,2022-04-19,2022-04-21,2022-04-26,104545,104575
9888,2022-09-05,2022-09-15,2022-09-17,2022-09-22,102744,102754
14411,2023-05-12,2023-05-22,2023-05-24,2023-05-29,107893,107903
20791,2022-05-30,2022-06-09,2022-06-11,2022-06-16,109439,109489
4222,2022-02-14,2022-02-24,2022-02-26,2022-03-03,108814,108824
23890,2022-06-11,2022-06-21,2022-06-23,2022-06-28,110301,110351
29707,2022-04-05,2022-04-15,2022-04-17,2022-04-22,108898,108948
16301,2023-03-03,2023-03-13,2023-03-15,2023-03-20,100239,100249
17377,2022-11-19,2022-11-29,2022-12-01,2022-12-06,110645,110675
13803,2023-03-21,2023-03-31,2023-04-02,2023-04-07,105701,105751
17552,2022-11-03,2022-11-13,2022-11-15,2022-11-20,108145,108165
26123,2023-03-07,2023-03-17,2023-03-19,2023-03-24,110421,110431
22459,2022-05-22,2022-06-01,2022-06-03,2022-06-08,100635,100685
1587,2023-04-28,2023-05-08,2023-05-10,2023-05-15,100463,100493
20935,2022-12-12,2022-12-22,2022-12-24,2022-12-29,100281,100331
22675,2023-03-25,2023-04-04,2023-04-06,2023-04-11,110718,110728
16309,2022-03-12,2022-03-22,2022-03-24,2022-03-29,110320,110370
23517,2022-03-11,2022-03-21,2022-03-23,2022-03-28,107796,107826
27901,2022-09-29,2022-10-09,2022-10-11,2022-10-16,103073,103093
9567,2022-09-08,2022-09-18,2022-09-20,2022-09-25,109009,109019
25988,2022-05-21,2022-05-31,2022-06-02,2022-06-07,110635,110645
8659,2022-06-22,2022-07-02,2022-07-04,2022-07-09,100530,100560
31720,2022-04-19,2022-04-29,2022-05-01,2022-05-06,111213,111233
15150,2022-02-16,2022-02-26,2022-02-28,2022-03-05,107076,107096
6449,2023-03-03,2023-03-13,2023-03-15,2023-03-20,105480,105490
3025,2023-05-14,2023-05-24,2023-05-26,2023-05-31,108150,108180
1685,2022-06-15,2022-06-25,2022-06-27,2022-07-02,110405,110455
20134,2022-11-06,2022-11-16,2022-11-18,2022-11-23,106382,106432
15738,2023-04-15,2023-04-25,2023-04-27,2023-05-02,100723,100753
8326,2022-08-01,2022-08-11,2022-08-13,2022-08-18,111129,111159
30969,2022-12-17,2022-12-27,2022-12-29,2023-01-03,103531,103561
18884,2022-06-05,2022-06-15,2022-06-17,2022-06-22,101296,101346
15669,2023-04-13,2023-04-23,2023-04-25,2023-04-30,108306,108316
32463,2023-05-18,2023-05-28,2023-05-30,2023-06-04,104976,104986
2629,2022-09-08,2022-09-18,2022-09-20,2022-09-25,106552,106572
24712,2023-02-26,2023-03-08,2023-03-10,2023-03-15,100310,100330
23436,2022-05-23,2022-06-02,2022-06-04,2022-06-09,100357,100407
22154,2022-03-25,2022-04-04,2022-04-06,2022-04-11,101932,101942
32240,2022-05-13,2022-05-23,2022-05-25,2022-05-30,103577,103597
22100,2023-03-09,2023-03-19,2023-03-21,2023-03-26,102069,102079
594,2022-09-22,2022-10-02,2022-10-04,2022-10-09,107309,107359
20252,2022-05-05,2022-05-15,2022-05-17,2022-05-22,102998,103028
5107,2023-02-17,2023-02-27,2023-03-01,2023-03-06,103970,103980
24019,2022-02-12,2022-02-22,2022-02-24,2022-03-01,109330,109340
25676,2023-05-29,2023-06-08,2023-06-10,2023-06-15,106259,106279
24153,2023-03-05,2023-03-15,2023-03-17,2023-03-22,107470,107520
23275,2023-03-10,2023-03-20,2023-03-22,2023-03-27,103009,103019
16036,2022-10-16,2022-10-26,2022-10-28,2022-11-02,102628,102638
14035,2022-03-01,2022-03-11,2022-03-13,2022-03-18,104370,104380
12632,2023-05-16,2023-05-26,2023-05-28,2023-06-02,104082,104092
15716,2022-05-24,2022-06-03,2022-06-05,2022-06-10,107126,107156
27532,2023-04-21,2023-05-01,2023-05-03,2023-05-08,108703,108713
12169,2022-04-30,2022-05-10,2022-05-12,2022-05-17,106934,106944
30140,2023-01-13,2023-01-23,2023-01-25,2023-01-30,111028,111058
27746,2023-05-30,2023-06-09,2023-06-11,2023-06-16,108153,108203
20075,2023-01-24,2023-02-03,2023-02-05,2023-02-10,106360,106410
13967,2022-11-17,2022-11-27,2022-11-29,2022-12-04,100570,100590
24811,2022-11-12,2022-11-22,2022-11-24,2022-11-29,100266,100316
12577,2022-05-28,2022-06-07,2022-06-09,2022-06-14,103326,103376
23327,2022-09-02,2022-09-12,2022-09-14,2022-09-19,109245,109275
9665,2022-05-19,2022-05-29,2022-05-31,2022-06-05,109102,109132
8680,2022-10-15,2022-10-25,2022-10-27,2022-11-01,102130,102160
548,2023-05-20,2023-05-30,2023-06-01,2023-06-06,105120,105150
16755,2022-05-08,2022-05-18,2022-05-20,2022-05-25,108061,108091
12093,2022-12-16,2022-12-26,2022-12-28,2023-01-02,106598,106628
27363,2023-03-11,2023-03-21,2023-03-23,2023-03-28,104143,104193
2713,2022-04-24,2022-05-04,2022-05-06,2022-05-11,107115,107125
29944,2022-06-30,2022-07-10,2022-07-12,2022-07-17,100669,100699
1867,2023-05-19,2023-05-29,2023-05-31,2023-06-05,106427,106457
9253,2023-02-05,2023-02-15,2023-02-17,2023-02-22,110197,110227
22188,2022-09-14,2022-09-24,2022-09-26,2022-10-01,110549,110599
25928,2023-05-27,2023-06-06,2023-06-08,2023-06-13,110768,110788
28258,2022-10-24,2022-11-03,2022-11-05,2022-11-10,106753,106803
16915,2022-04-26,2022-05-06,2022-05-08,2022-05-13,100898,100918
18458,2022-12-20,2022-12-30,2023-01-01,2023-01-06,102448,102498
23795,2022-06-27,2022-07-07,2022-07-09,2022-07-14,106851,106881
6643,2022-12-08,2022-12-18,2022-12-20,2022-12-25,103397,103447
30320,2023-02-23,2023-03-05,2023-03-07,2023-03-12,108367,108417
22184,2022-05-30,2022-06-09,2022-06-11,2022-06-16,110906,110956
5113,2022-05-20,2022-05-30,2022-06-01,2022-06-06,100764,100814
14746,2022-11-23,2022-12-03,2022-12-05,2022-12-10,103760,103790
12899,2023-01-05,2023-01-15,2023-01-17,2023-01-22,107097,107107
142,2022-08-13,2022-08-23,2022-08-25,2022-08-30,103436,103446
24090,2022-05-26,2022-06-05,2022-06-07,2022-06-12,106655,106665
14114,2023-03-13,2023-03-23,2023-03-25,2023-03-30,103991,104001
31754,2022-10-16,2022-10-26,2022-10-28,2022-11-02,107656,107706
8153,2022-09-22,2022-10-02,2022-10-04,2022-10-09,109293,109343
26708,2022-10-15,2022-10-25,2022-10-27,2022-11-01,110274,110304
5283,2022-03-02,2022-03-12,2022-03-14,2022-03-19,105805,105855
20998,2022-03-03,2022-03-13,2022-03-15,2022-03-20,104822,104852
27221,2022-08-28,2022-09-07,2022-09-09,2022-09-14,101168,101188
16010,2023-01-30,2023-02-09,2023-02-11,2023-02-16,107924,107954
13329,2022-05-09,2022-05-19,2022-05-21,2022-05-26,104217,104237
8347,2022-02-25,2022-03-07,2022-03-09,2022-03-14,105255,105305
16114,2022-07-11,2022-07-21,2022-07-23,2022-07-28,106154,106204
15330,2022-07-14,2022-07-24,2022-07-26,2022-07-31,102222,102252
6572,2022-05-28,2022-06-07,2022-06-09,2022-06-14,111124,111134
11527,2022-03-06,2022-03-16,2022-03-18,2022-03-23,105659,105669
17187,2022-06-18,2022-06-28,2022-06-30,2022-07-05,109612,109622
32154,2022-10-22,2022-11-01,2022-11-03,2022-11-08,102317,102327
8977,2022-11-16,2022-11-26,2022-11-28,2022-12-03,100793,100843
16704,2023-01-27,2023-02-06,2023-02-08,2023-02-13,102053,102073
5218,2022-04-23,2022-05-03,2022-05-05,2022-05-10,100859,100879
14786,2022-11-08,2022-11-18,2022-11-20,2022-11-25,109917,109947
2745,2022-06-21,2022-07-01,2022-07-03,2022-07-08,109335,109345
27037,2022-02-14,2022-02-24,2022-02-26,2022-03-03,102138,102168
12428,2022-08-21,2022-08-31,2022-09-02,2022-09-07,108611,108621
9165,2022-08-27,2022-09-06,2022-09-08,2022-09-13,101881,101911
10635,2022-02-10,2022-02-20,2022-02-22,2022-02-27,107221,107251
12124,2022-05-21,2022-05-31,2022-06-02,2022-06-07,110595,110605
26751,2022-11-06,2022-11-16,2022-11-18,2022-11-23,103491,103541
31352,2022-04-26,2022-05-06,2022-05-08,2022-05-13,105911,105941
10452,2022-06-04,2022-06-14,2022-06-16,2022-06-21,102382,102432
3924,2022-08-25,2022-09-04,2022-09-06,2022-09-11,102660,102680
6695,2022-05-11,2022-05-21,2022-05-23,2022-05-28,109383,109433
27841,2022-07-08,2022-07-18,2022-07-20,2022-07-25,103287,103317
7201,2022-06-02,2022-06-12,2022-06-14,2022-06-19,101254,101284
29636,2023-05-14,2023-05-24,2023-05-26,2023-05-31,102234,102244
9417,2022-07-03,2022-07-13,2022-07-15,2022-07-20,102696,102726
2417,2023-03-16,2023-03-26,2023-03-28,2023-04-02,108915,108925
14293,2022-08-11,2022-08-21,2022-08-23,2022-08-28,109161,109181
3157,2023-02-04,2023-02-14,2023-02-16,2023-02-21,107647,107677
25853,2022-11-16,2022-11-26,2022-11-28,2022-12-03,106412,106432
21025,2022-07-28,2022-08-07,2022-08-09,2022-08-14,103487,103507
8751,2022-02-26,2022-03-08,2022-03-10,2022-03-15,100617,100627
20903,2023-04-25,2023-05-05,2023-05-07,2023-05-12,100716,100766
11148,2022-10-31,2022-11-10,2022-11-12,2022-11-17,105579,105629
27464,2023-04-26,2023-05-06,2023-05-08,2023-05-13,105369,105389
9850,2022-11-30,2022-12-10,2022-12-12,2022-12-17,103070,103090
364,2023-02-10,2023-02-20,2023-02-22,2023-02-27,107971,107991
20936,2022-09-06,2022-09-16,2022-09-18,2022-09-23,107208,107238
24416,2023-05-09,2023-05-19,2023-05-21,2023-05-26,109966,109986
26374,2022-02-12,2022-02-22,2022-02-24,2022-03-01,107171,107181
23655,2022-09-03,2022-09-13,2022-09-15,2022-09-20,102845,102865
25858,2023-04-02,2023-04-12,2023-04-14,2023-04-19,106158,106178
19115,2022-07-11,2022-07-21,2022-07-23,2022-07-28,104630,104680
15419,2022-10-25,2022-11-04,2022-11-06,2022-11-11,107140,107170
21526,2022-12-04,2022-12-14,2022-12-16,2022-12-21,108944,108974
20059,2022-07-01,2022-07-11,2022-07-13,2022-07-18,102195,102205
4344,2022-03-01,2022-03-11,2022-03-13,2022-03-18,109011,109031
9314,2023-01-10,2023-01-20,2023-01-22,2023-01-27,105481,105511
23766,2022-05-15,2022-05-25,2022-05-27,2022-06-01,100569,100579
11257,2023-04-16,2023-04-26,2023-04-28,2023-05-03,106779,106829
13085,2023-05-02,2023-05-12,2023-05-14,2023-05-19,107449,107469
17785,2022-10-14,2022-10-24,2022-10-26,2022-10-31,102802,102832
29141,2022-11-12,2022-11-22,2022-11-24,2022-11-29,104892,104912
29337,2022-09-13,2022-09-23,2022-09-25,2022-09-30,102725,102745
9494,2022-05-23,2022-06-02,2022-06-04,2022-06-09,104751,104761
10214,2023-01-09,2023-01-19,2023-01-21,2023-01-26,100734,100754
5065,2022-12-28,2023-01-07,2023-01-09,2023-01-14,100349,100369
19733,2023-01-15,2023-01-25,2023-01-27,2023-02-01,102618,102668
24629,2023-05-15,2023-05-25,2023-05-27,2023-06-01,100932,100982
4482,2022-08-19,2022-08-29,2022-08-31,2022-09-05,109790,109820
9015,2022-02-08,2022-02-18,2022-02-20,2022-02-25,107891,107911
16021,2022-09-12,2022-09-22,2022-09-24,2022-09-29,107799,107849
11138,2022-04-24,2022-05-04,2022-05-06,2022-05-11,101234,101264
26683,2023-01-27,2023-02-06,2023-02-08,2023-02-13,104047,104067
4061,2023-01-15,2023-01-25,2023-01-27,2023-02-01,104853,104873
24022,2022-03-22,2022-04-01,2022-04-03,2022-04-08,109237,109257
22795,2022-04-18,2022-04-28,2022-04-30,2022-05-05,105356,105366
11621,2022-12-11,2022-12-21,2022-12-23,2022-12-28,100283,100303
12620,2022-07-09,2022-07-19,2022-07-21,2022-07-26,105284,105314
14738,2023-04-09,2023-04-19,2023-04-21,2023-04-26,108728,108738
2216,2022-11-17,2022-11-27,2022-11-29,2022-12-04,108437,108447
27592,2022-10-13,2022-10-23,2022-10-25,2022-10-30,102599,102629
29623,2023-03-31,2023-04-10,2023-04-12,2023-04-17,110017,110067
15262,2022-04-20,2022-04-30,2022-05-02,2022-05-07,107740,107770
3633,2023-02-13,2023-02-23,2023-02-25,2023-03-02,104935,104965
12813,2022-07-29,2022-08-08,2022-08-10,2022-08-15,103131,103181
6731,2022-09-09,2022-09-19,2022-09-21,2022-09-26,104296,104306
28786,2023-05-20,2023-05-30,2023-06-01,2023-06-06,108466,108486
9032,2023-04-26,2023-05-06,2023-05-08,2023-05-13,107482,107502
17215,2022-09-03,2022-09-13,2022-09-15,2022-09-20,103129,103179
28268,2022-06-02,2022-06-12,2022-06-14,2022-06-19,108591,108611
8845,2023-04-10,2023-04-20,2023-04-22,2023-04-27,105166,105186
8849,2022-04-26,2022-05-06,2022-05-08,2022-05-13,102550,102580
2952,2023-05-09,2023-05-19,2023-05-21,2023-05-26,109819,109869
26503,2022-06-10,2022-06-20,2022-06-22,2022-06-27,107387,107397
26015,2022-03-27,2022-04-06,2022-04-08,2022-04-13,110505,110535
32408,2022-08-26,2022-09-05,2022-09-07,2022-09-12,105505,105535
869,2022-12-28,2023-01-07,2023-01-09,2023-01-14,100974,101024
25466,2023-03-24,2023-04-03,2023-04-05,2023-04-10,100779,100809
18561,2022-03-18,2022-03-28,2022-03-30,2022-04-04,103022,103072
3808,2022-11-29,2022-12-09,2022-12-11,2022-12-16,107062,107072
29226,2023-04-16,2023-04-26,2023-04-28,2023-05-03,110717,110727
397,2022-06-03,2022-06-13,2022-06-15,2022-06-20,109164,109194
8413,2022-05-06,2022-05-16,2022-05-18,2022-05-23,106865,106915
10530,2022-06-10,2022-06-20,2022-06-22,2022-06-27,110851,110881
8624,2022-11-25,2022-12-05,2022-12-07,2022-12-12,111290,111300
23063,2022-08-17,2022-08-27,2022-08-29,2022-09-03,108533,108553
13666,2022-02-11,2022-02-21,2022-02-23,2022-02-28,104116,104166
842,2023-03-15,2023-03-25,2023-03-27,2023-04-01,107383,107403
9838,2022-08-08,2022-08-18,2022-08-20,2022-08-25,101170,101200
16764,2023-01-25,2023-02-04,2023-02-06,2023-02-11,109259,109289
21309,2022-06-25,2022-07-05,2022-07-07,2022-07-12,104833,104883
9512,2023-03-15,2023-03-25,2023-03-27,2023-04-01,106490,106510
19740,2023-05-24,2023-06-03,2023-06-05,2023-06-10,110067,110097
16480,2022-08-29,2022-09-08,2022-09-10,2022-09-15,101766,101816
31969,2022-09-13,2022-09-23,2022-09-25,2022-09-30,103937,103987
20387,2022-06-06,2022-06-16,2022-06-18,2022-06-23,100581,100601
23698,2023-02-03,2023-02-13,2023-02-15,2023-02-20,107038,107058
29392,2022-07-01,2022-07-11,2022-07-13,2022-07-18,100339,100359
365,2022-12-27,2023-01-06,2023-01-08,2023-01-13,109780,109800
1430,2023-04-17,2023-04-27,2023-04-29,2023-05-04,110167,110187
9350,2022-12-22,2023-01-01,2023-01-03,2023-01-08,102483,102503
15791,2022-10-09,2022-10-19,2022-10-21,2022-10-26,104177,104187
15672,2023-01-08,2023-01-18,2023-01-20,2023-01-25,102195,102205
11537,2022-03-12,2022-03-22,2022-03-24,2022-03-29,105442,105452
29101,2023-02-07,2023-02-17,2023-02-19,2023-02-24,108061,108091
15361,2023-04-02,2023-04-12,2023-04-14,2023-04-19,105071,105101
9087,2022-10-03,2022-10-13,2022-10-15,2022-10-20,110249,110279
15117,2023-03-03,2023-03-13,2023-03-15,2023-03-20,101389,101419
20871,2022-05-28,2022-06-07,2022-06-09,2022-06-14,105120,105150
6106,2022-10-19,2022-10-29,2022-10-31,2022-11-05,111296,111346
6695,2022-02-18,2022-02-28,2022-03-02,2022-03-07,100355,100375
