account_exception_id,account_id,employee_id,exception_date,exception_status,exception_type,description
26,8560,12215,2023-01-06,In progress,Unauthorized transaction,Suspicious transaction detected on the account
27,20816,13746,2021-07-05,In progress,Unauthorized transaction,Suspicious transaction detected on the account
28,22027,13393,2022-10-06,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
29,6299,921,2020-09-22,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
30,10870,13365,2021-08-13,Under investigation,Overdrawn account,Account balance dropped below zero
31,28430,27066,2021-07-12,In progress,Account freeze,Account temporarily frozen due to suspected fraud
32,9943,22678,2022-12-08,In progress,Account freeze,Account temporarily frozen due to suspected fraud
33,19554,11696,2021-05-27,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
34,5995,7536,2021-01-06,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
35,10833,13663,2020-08-09,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
36,12026,21099,2022-08-18,In progress,Unauthorized transaction,Suspicious transaction detected on the account
37,8194,15042,2023-06-26,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
38,20413,12642,2020-08-21,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
39,24584,11893,2021-06-18,In progress,Overdrawn account,Account balance dropped below zero
40,8632,18114,2021-04-30,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
41,10301,19509,2021-03-23,In progress,Account freeze,Account temporarily frozen due to suspected fraud
42,12405,12122,2019-08-20,Under investigation,Overdrawn account,Account balance dropped below zero
43,24753,6774,2021-02-13,Under investigation,Overdrawn account,Account balance dropped below zero
44,19493,26159,2020-04-28,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
45,20458,27520,2019-07-06,In progress,Overdrawn account,Account balance dropped below zero
46,8775,11762,2023-04-05,In progress,Account freeze,Account temporarily frozen due to suspected fraud
47,21074,983,2021-10-18,In progress,Unauthorized transaction,Suspicious transaction detected on the account
48,4100,14802,2020-12-08,In progress,Overdrawn account,Account balance dropped below zero
49,16467,24085,2019-09-08,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
50,8331,8844,2019-10-31,Resolved,Overdrawn account,Account balance dropped below zero
51,10232,16799,2021-05-13,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
52,2209,7749,2019-12-22,In progress,Overdrawn account,Account balance dropped below zero
53,7815,7944,2020-02-27,Under investigation,Overdrawn account,Account balance dropped below zero
54,1698,5121,2021-06-10,Resolved,Overdrawn account,Account balance dropped below zero
55,20443,13307,2022-09-28,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
56,28554,16495,2019-12-25,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
57,3625,12398,2020-12-27,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
58,17223,11100,2019-08-23,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
59,15101,8356,2019-11-06,Under investigation,Overdrawn account,Account balance dropped below zero
60,7209,3374,2020-07-10,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
61,5680,4768,2022-01-28,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
62,16562,8060,2021-02-08,Resolved,Overdrawn account,Account balance dropped below zero
63,1034,23903,2020-08-14,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
64,12265,6024,2022-12-22,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
65,22674,11504,2019-11-17,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
66,9606,5301,2020-10-02,In progress,Account freeze,Account temporarily frozen due to suspected fraud
67,24079,21530,2023-05-28,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
68,24581,17181,2019-09-04,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
69,7000,8491,2022-04-17,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
70,8840,12847,2019-07-28,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
71,28863,19373,2021-11-30,Resolved,Overdrawn account,Account balance dropped below zero
72,3184,4467,2022-07-23,Under investigation,Overdrawn account,Account balance dropped below zero
73,10015,10369,2021-01-08,Resolved,Overdrawn account,Account balance dropped below zero
74,9459,22164,2021-12-29,In progress,Account freeze,Account temporarily frozen due to suspected fraud
75,23856,27856,2020-01-07,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
76,6186,21472,2021-11-29,In progress,Unauthorized transaction,Suspicious transaction detected on the account
77,26575,2592,2019-10-03,In progress,Account freeze,Account temporarily frozen due to suspected fraud
78,25927,7812,2022-01-01,Resolved,Overdrawn account,Account balance dropped below zero
79,14871,4436,2019-10-15,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
80,26090,6201,2022-05-02,In progress,Account freeze,Account temporarily frozen due to suspected fraud
81,19411,20561,2020-02-25,Resolved,Overdrawn account,Account balance dropped below zero
82,226,20565,2019-11-26,In progress,Overdrawn account,Account balance dropped below zero
83,20970,4908,2020-07-12,In progress,Overdrawn account,Account balance dropped below zero
84,5899,5207,2021-11-20,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
85,339,8340,2023-02-03,In progress,Overdrawn account,Account balance dropped below zero
86,9723,27203,2023-04-06,Resolved,Overdrawn account,Account balance dropped below zero
87,12860,18897,2022-06-09,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
88,17077,671,2021-10-04,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
89,13150,16061,2020-06-23,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
90,14564,15594,2022-04-06,Resolved,Overdrawn account,Account balance dropped below zero
91,25513,8843,2020-10-13,Under investigation,Overdrawn account,Account balance dropped below zero
92,28934,19565,2021-12-04,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
93,20026,8636,2022-06-16,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
94,23821,27163,2022-12-11,In progress,Unauthorized transaction,Suspicious transaction detected on the account
95,20784,8805,2022-03-09,Resolved,Overdrawn account,Account balance dropped below zero
96,21767,17235,2020-09-11,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
97,17806,17818,2019-12-26,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
98,14827,4154,2020-07-09,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
99,28285,27151,2022-05-29,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
100,26594,19867,2021-12-21,In progress,Unauthorized transaction,Suspicious transaction detected on the account
101,28698,6622,2021-10-30,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
102,3898,10468,2020-12-25,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
103,24316,11127,2021-03-28,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
104,21965,4083,2023-01-25,In progress,Overdrawn account,Account balance dropped below zero
105,7253,15527,2023-01-27,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
106,3170,8830,2022-08-10,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
107,6217,16189,2021-12-08,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
108,24134,23396,2020-04-01,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
109,10405,15212,2020-03-23,Resolved,Overdrawn account,Account balance dropped below zero
110,27854,19157,2022-06-14,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
111,3834,16030,2019-10-24,In progress,Overdrawn account,Account balance dropped below zero
112,10125,18163,2023-04-10,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
113,7294,424,2022-07-19,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
114,17734,17392,2021-06-11,In progress,Account freeze,Account temporarily frozen due to suspected fraud
115,2351,27158,2022-06-18,Resolved,Overdrawn account,Account balance dropped below zero
116,4198,26763,2019-10-14,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
117,8209,26909,2021-10-29,In progress,Overdrawn account,Account balance dropped below zero
118,13014,16910,2022-06-01,Resolved,Overdrawn account,Account balance dropped below zero
119,3166,17286,2020-03-10,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
120,13057,6700,2023-06-02,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
121,5039,20737,2020-09-16,Resolved,Overdrawn account,Account balance dropped below zero
122,8135,27271,2023-01-19,Under investigation,Overdrawn account,Account balance dropped below zero
123,17414,10548,2022-11-14,In progress,Overdrawn account,Account balance dropped below zero
124,4213,21161,2020-09-10,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
125,18834,20060,2022-01-16,Resolved,Overdrawn account,Account balance dropped below zero
126,1669,27790,2020-12-27,Resolved,Overdrawn account,Account balance dropped below zero
127,28700,25838,2021-02-11,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
128,8951,23519,2023-04-25,Under investigation,Overdrawn account,Account balance dropped below zero
129,13784,27541,2023-03-21,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
130,19992,22821,2021-04-04,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
131,8533,12217,2023-01-13,Under investigation,Overdrawn account,Account balance dropped below zero
132,26210,23645,2020-04-12,In progress,Unauthorized transaction,Suspicious transaction detected on the account
133,11350,20426,2021-01-12,Resolved,Overdrawn account,Account balance dropped below zero
134,1351,10326,2023-04-29,Resolved,Overdrawn account,Account balance dropped below zero
135,19257,25314,2019-09-13,Resolved,Overdrawn account,Account balance dropped below zero
136,4820,1965,2020-11-06,In progress,Overdrawn account,Account balance dropped below zero
137,7084,13454,2021-09-29,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
138,2509,17132,2021-06-17,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
139,1163,19589,2020-10-20,Under investigation,Overdrawn account,Account balance dropped below zero
140,11882,23244,2023-01-17,In progress,Account freeze,Account temporarily frozen due to suspected fraud
141,8886,27184,2021-02-09,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
142,18307,6263,2021-02-13,Resolved,Overdrawn account,Account balance dropped below zero
143,10788,4425,2019-07-20,Resolved,Overdrawn account,Account balance dropped below zero
144,24147,21429,2021-07-29,In progress,Account freeze,Account temporarily frozen due to suspected fraud
145,12553,21287,2023-06-14,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
146,26492,19105,2021-05-20,In progress,Account freeze,Account temporarily frozen due to suspected fraud
147,4111,25791,2019-08-13,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
148,4676,14128,2020-02-12,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
149,20329,981,2020-10-16,In progress,Account freeze,Account temporarily frozen due to suspected fraud
150,7517,543,2021-02-22,Resolved,Overdrawn account,Account balance dropped below zero
151,25922,19371,2019-07-30,Resolved,Overdrawn account,Account balance dropped below zero
152,3777,18713,2020-08-26,In progress,Unauthorized transaction,Suspicious transaction detected on the account
153,24130,27019,2021-03-27,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
154,17193,10429,2021-10-11,In progress,Overdrawn account,Account balance dropped below zero
155,4437,3850,2019-08-31,In progress,Account freeze,Account temporarily frozen due to suspected fraud
156,12042,15290,2022-03-28,Resolved,Overdrawn account,Account balance dropped below zero
157,15614,18913,2022-02-24,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
158,21367,15812,2023-03-21,Under investigation,Overdrawn account,Account balance dropped below zero
159,5279,3206,2022-10-25,In progress,Overdrawn account,Account balance dropped below zero
160,17191,12317,2019-11-13,In progress,Overdrawn account,Account balance dropped below zero
161,13541,12334,2021-10-07,In progress,Overdrawn account,Account balance dropped below zero
162,16274,8916,2023-05-19,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
163,4053,1755,2021-05-24,In progress,Account freeze,Account temporarily frozen due to suspected fraud
164,19326,3601,2022-05-06,In progress,Unauthorized transaction,Suspicious transaction detected on the account
165,27385,26968,2019-12-15,In progress,Account freeze,Account temporarily frozen due to suspected fraud
166,24468,6951,2022-06-27,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
167,2779,11217,2021-07-06,In progress,Unauthorized transaction,Suspicious transaction detected on the account
168,6637,26122,2022-12-12,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
169,13520,25019,2023-06-16,In progress,Account freeze,Account temporarily frozen due to suspected fraud
170,25486,7831,2021-09-25,In progress,Account freeze,Account temporarily frozen due to suspected fraud
171,109,17643,2022-08-14,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
172,13790,16590,2021-06-29,Under investigation,Overdrawn account,Account balance dropped below zero
173,435,3527,2021-08-20,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
174,12540,1093,2020-07-02,Under investigation,Overdrawn account,Account balance dropped below zero
175,3136,7672,2023-06-29,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
176,6492,8064,2020-09-06,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
177,26277,20279,2023-06-11,In progress,Unauthorized transaction,Suspicious transaction detected on the account
178,4104,7498,2020-04-30,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
179,23774,27446,2020-03-22,In progress,Unauthorized transaction,Suspicious transaction detected on the account
180,24827,5636,2023-03-06,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
181,20333,18772,2022-02-10,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
182,7710,13250,2023-06-27,In progress,Account freeze,Account temporarily frozen due to suspected fraud
183,21482,452,2020-11-21,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
184,9282,7005,2022-01-14,In progress,Overdrawn account,Account balance dropped below zero
185,9603,3309,2021-02-23,In progress,Unauthorized transaction,Suspicious transaction detected on the account
186,6205,5827,2021-09-24,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
187,25633,25140,2020-10-09,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
188,27330,24249,2020-11-03,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
189,5675,27061,2019-07-06,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
190,7963,5633,2020-11-02,Resolved,Overdrawn account,Account balance dropped below zero
191,10963,18798,2021-08-24,Resolved,Overdrawn account,Account balance dropped below zero
192,4339,24240,2022-08-01,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
193,14661,15521,2020-10-18,Under investigation,Overdrawn account,Account balance dropped below zero
194,8076,3543,2023-02-12,In progress,Account freeze,Account temporarily frozen due to suspected fraud
195,23691,24902,2022-12-24,In progress,Account freeze,Account temporarily frozen due to suspected fraud
196,26438,7160,2020-03-29,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
197,15085,27483,2020-04-19,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
198,25589,18565,2022-12-07,Resolved,Overdrawn account,Account balance dropped below zero
199,19475,20551,2021-03-02,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
200,572,8035,2020-02-04,In progress,Unauthorized transaction,Suspicious transaction detected on the account
201,24524,11085,2021-06-30,In progress,Overdrawn account,Account balance dropped below zero
202,831,16577,2021-05-11,In progress,Overdrawn account,Account balance dropped below zero
203,6902,9220,2023-05-30,Resolved,Overdrawn account,Account balance dropped below zero
204,8269,20032,2020-08-05,In progress,Unauthorized transaction,Suspicious transaction detected on the account
205,16726,27481,2020-01-05,Resolved,Overdrawn account,Account balance dropped below zero
206,3613,13211,2019-10-23,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
207,5396,25159,2021-07-01,Under investigation,Overdrawn account,Account balance dropped below zero
208,14555,393,2022-09-13,Resolved,Overdrawn account,Account balance dropped below zero
209,3411,4922,2023-03-18,Resolved,Overdrawn account,Account balance dropped below zero
210,27993,12056,2022-01-28,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
211,7753,17769,2020-10-26,Resolved,Overdrawn account,Account balance dropped below zero
212,21116,2120,2021-02-04,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
213,17680,10656,2022-11-21,Under investigation,Overdrawn account,Account balance dropped below zero
214,8125,5726,2021-01-15,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
215,28099,6820,2023-01-13,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
216,22460,4275,2021-10-01,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
217,6143,831,2022-09-01,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
218,24018,14895,2020-08-27,In progress,Unauthorized transaction,Suspicious transaction detected on the account
219,3496,20907,2023-03-31,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
220,8230,5948,2021-07-27,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
221,25145,9891,2020-04-05,Under investigation,Overdrawn account,Account balance dropped below zero
222,3850,22543,2019-09-24,In progress,Account freeze,Account temporarily frozen due to suspected fraud
223,17938,16983,2022-06-05,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
224,14936,4274,2022-05-19,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
225,6344,21550,2021-11-14,Under investigation,Overdrawn account,Account balance dropped below zero
226,15163,26120,2022-05-20,In progress,Unauthorized transaction,Suspicious transaction detected on the account
227,23922,3098,2019-11-21,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
228,13350,26053,2019-09-05,In progress,Account freeze,Account temporarily frozen due to suspected fraud
229,25749,1338,2022-06-11,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
230,15419,2719,2023-06-17,In progress,Account freeze,Account temporarily frozen due to suspected fraud
231,4939,26571,2023-01-17,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
232,24272,5958,2020-03-15,In progress,Account freeze,Account temporarily frozen due to suspected fraud
233,2500,20319,2020-10-02,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
234,19600,7402,2021-10-17,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
235,27420,9262,2020-02-14,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
236,27882,13254,2019-07-05,In progress,Unauthorized transaction,Suspicious transaction detected on the account
237,16722,11342,2020-02-12,In progress,Unauthorized transaction,Suspicious transaction detected on the account
238,2425,14989,2022-09-03,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
239,5045,18036,2020-05-27,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
240,16634,11680,2023-03-20,Under investigation,Overdrawn account,Account balance dropped below zero
241,25579,11921,2021-10-19,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
242,17656,13767,2020-08-22,In progress,Overdrawn account,Account balance dropped below zero
243,12849,23485,2022-01-21,In progress,Unauthorized transaction,Suspicious transaction detected on the account
244,1190,17051,2022-11-16,Under investigation,Overdrawn account,Account balance dropped below zero
245,18739,20900,2023-05-28,Resolved,Overdrawn account,Account balance dropped below zero
246,20089,9720,2022-11-23,In progress,Overdrawn account,Account balance dropped below zero
247,25352,866,2019-12-16,In progress,Overdrawn account,Account balance dropped below zero
248,18943,6411,2021-04-01,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
249,8997,4402,2021-10-23,In progress,Unauthorized transaction,Suspicious transaction detected on the account
250,26281,18224,2022-09-28,In progress,Account freeze,Account temporarily frozen due to suspected fraud
251,12634,17151,2021-09-15,In progress,Overdrawn account,Account balance dropped below zero
252,14430,9495,2023-05-27,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
253,24864,13462,2020-05-31,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
254,6845,7525,2021-08-02,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
255,8616,12709,2019-10-03,Resolved,Overdrawn account,Account balance dropped below zero
256,23982,22233,2023-01-25,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
257,23650,7207,2021-12-07,In progress,Unauthorized transaction,Suspicious transaction detected on the account
258,22870,17358,2022-06-21,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
259,19265,14414,2021-10-02,In progress,Unauthorized transaction,Suspicious transaction detected on the account
260,25082,24949,2020-05-23,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
261,3250,5922,2020-01-15,In progress,Account freeze,Account temporarily frozen due to suspected fraud
262,15035,23053,2021-10-20,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
263,7830,568,2020-06-03,In progress,Unauthorized transaction,Suspicious transaction detected on the account
264,21168,20212,2019-07-18,In progress,Unauthorized transaction,Suspicious transaction detected on the account
265,4222,22895,2020-04-30,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
266,14007,17298,2022-05-01,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
267,23626,28897,2020-02-14,Under investigation,Overdrawn account,Account balance dropped below zero
268,2870,1879,2022-02-11,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
269,12351,2669,2020-05-03,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
270,22177,23712,2023-05-01,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
271,27109,20449,2020-07-20,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
272,3324,14954,2023-05-15,In progress,Account freeze,Account temporarily frozen due to suspected fraud
273,15430,17019,2022-10-20,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
274,7813,28821,2023-03-30,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
275,7873,11848,2022-05-26,Resolved,Overdrawn account,Account balance dropped below zero
276,4107,1389,2019-07-05,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
277,27702,1595,2020-07-26,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
278,2724,6607,2020-11-01,In progress,Account freeze,Account temporarily frozen due to suspected fraud
279,2777,7307,2020-12-30,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
280,8863,28091,2020-02-28,In progress,Unauthorized transaction,Suspicious transaction detected on the account
281,16936,28273,2022-02-01,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
282,11227,18507,2023-06-03,In progress,Account freeze,Account temporarily frozen due to suspected fraud
283,21268,12486,2023-02-20,Under investigation,Overdrawn account,Account balance dropped below zero
284,13554,22812,2020-06-22,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
285,6740,9622,2021-06-20,In progress,Unauthorized transaction,Suspicious transaction detected on the account
286,8420,7122,2022-10-18,In progress,Overdrawn account,Account balance dropped below zero
287,23597,26160,2022-05-31,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
288,15551,13536,2020-05-02,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
289,3111,4010,2020-07-25,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
290,13143,22466,2021-09-26,In progress,Unauthorized transaction,Suspicious transaction detected on the account
291,9679,11139,2021-03-29,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
292,26422,6220,2023-05-17,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
293,6719,14913,2021-07-14,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
294,18672,5498,2023-05-01,In progress,Unauthorized transaction,Suspicious transaction detected on the account
295,2424,14837,2023-05-02,Resolved,Overdrawn account,Account balance dropped below zero
296,26572,14090,2021-09-07,In progress,Overdrawn account,Account balance dropped below zero
297,7759,20903,2021-11-25,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
298,12701,17297,2020-04-12,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
299,15056,4147,2019-12-03,Resolved,Overdrawn account,Account balance dropped below zero
300,27412,9030,2020-09-01,In progress,Overdrawn account,Account balance dropped below zero
301,14370,1760,2021-04-18,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
302,28472,27765,2020-03-22,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
303,19023,22614,2023-05-24,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
304,27354,10124,2023-02-09,In progress,Account freeze,Account temporarily frozen due to suspected fraud
305,18225,28887,2022-02-14,In progress,Account freeze,Account temporarily frozen due to suspected fraud
306,8901,13701,2023-06-17,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
307,13437,11586,2022-05-17,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
308,26785,5462,2021-12-16,Resolved,Overdrawn account,Account balance dropped below zero
309,9125,28857,2021-07-06,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
310,19342,151,2019-07-11,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
311,27121,15953,2021-07-02,Under investigation,Overdrawn account,Account balance dropped below zero
312,13322,3329,2022-12-30,Under investigation,Overdrawn account,Account balance dropped below zero
313,17854,22042,2023-03-28,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
314,12211,21419,2021-06-03,Resolved,Overdrawn account,Account balance dropped below zero
315,12310,906,2020-02-21,In progress,Unauthorized transaction,Suspicious transaction detected on the account
316,15173,6281,2020-03-22,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
317,18882,10305,2020-01-02,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
318,26242,21037,2019-09-16,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
319,1585,14114,2022-11-05,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
320,15232,28341,2020-12-15,Resolved,Overdrawn account,Account balance dropped below zero
321,5774,27808,2021-09-11,In progress,Unauthorized transaction,Suspicious transaction detected on the account
322,5445,19121,2022-07-16,Resolved,Overdrawn account,Account balance dropped below zero
323,23514,4826,2023-04-14,In progress,Account freeze,Account temporarily frozen due to suspected fraud
324,14062,25580,2022-12-10,Resolved,Overdrawn account,Account balance dropped below zero
325,17632,3409,2021-10-25,In progress,Unauthorized transaction,Suspicious transaction detected on the account
326,17906,6324,2021-12-23,In progress,Unauthorized transaction,Suspicious transaction detected on the account
327,28638,18385,2022-11-19,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
328,26432,8026,2021-11-26,Resolved,Overdrawn account,Account balance dropped below zero
