account_application_id,application_status,applied_date,application_type_id,account_application_state
172,Denied,2021-06-01,3,Delaware
173,Incomplete,2022-10-26,3,Maryland
174,Incomplete,2023-04-10,2,Massachusetts
175,Incomplete,2020-11-19,3,Minnesota
176,Incomplete,2021-01-20,2,Louisiana
177,Incomplete,2021-06-30,1,Montana
178,Denied,2021-04-05,1,California
179,Denied,2020-09-27,3,Hawaii
180,Incomplete,2021-06-27,1,Florida
181,Denied,2020-09-19,3,Illinois
182,Completed,2022-12-30,1,Nebraska
183,Denied,2022-04-06,1,New Jersey
184,Completed,2020-09-18,2,Vermont
185,Incomplete,2022-03-05,3,Washington
186,Completed,2022-05-24,3,Colorado
187,Incomplete,2023-01-08,3,Texas
188,Denied,2023-01-13,1,Illinois
189,Completed,2022-05-05,3,Virginia
190,Incomplete,2022-03-14,3,Maine
191,Denied,2022-08-10,2,South Carolina
192,Denied,2023-03-10,2,Mississippi
193,Completed,2023-03-09,1,North Carolina
194,Denied,2022-04-05,1,Georgia
195,Denied,2022-02-02,1,North Dakota
196,Incomplete,2022-11-27,2,Colorado
197,Incomplete,2021-03-23,2,Wisconsin
198,Denied,2021-01-25,3,South Carolina
199,Incomplete,2020-12-17,1,Alabama
200,Denied,2022-11-14,1,Delaware
201,Incomplete,2022-05-07,3,Florida
202,Completed,2021-03-20,3,New Hampshire
203,Incomplete,2021-04-08,3,Pennsylvania
204,Incomplete,2020-11-21,1,Oregon
205,Incomplete,2021-12-08,1,Virginia
206,Incomplete,2021-10-20,2,Wisconsin
207,Completed,2022-03-24,2,Indiana
208,Completed,2022-11-28,3,North Dakota
209,Incomplete,2020-07-19,1,Illinois
210,Incomplete,2020-06-22,3,South Dakota
211,Completed,2021-07-13,2,Arkansas
212,Completed,2020-11-21,2,Wisconsin
213,Completed,2020-08-13,2,Utah
214,Completed,2022-12-02,3,California
215,Completed,2022-12-29,1,Tennessee
216,Incomplete,2022-12-22,2,Vermont
217,Denied,2022-02-12,1,Kansas
218,Incomplete,2020-12-06,1,Tennessee
219,Incomplete,2022-07-21,1,Illinois
220,Completed,2021-10-20,1,Vermont
221,Denied,2020-10-16,3,New York
222,Completed,2022-06-29,3,Rhode Island
223,Completed,2021-10-09,1,Michigan
224,Completed,2020-10-29,3,Arkansas
225,Denied,2022-06-29,2,Florida
226,Incomplete,2020-08-01,2,Nevada
227,Denied,2023-05-29,1,Iowa
228,Incomplete,2022-05-07,1,California
229,Denied,2021-08-18,1,New Jersey
230,Denied,2021-06-22,3,Alabama
231,Incomplete,2022-07-16,3,Oregon
232,Completed,2020-07-30,3,Wyoming
233,Incomplete,2023-02-06,3,South Carolina
234,Completed,2022-07-15,2,Hawaii
235,Incomplete,2021-12-18,1,Tennessee
236,Completed,2020-08-05,2,Arkansas
237,Denied,2021-07-09,3,Louisiana
238,Completed,2021-12-01,3,Florida
239,Completed,2021-07-17,2,Minnesota
240,Completed,2022-08-29,3,Connecticut
241,Denied,2022-03-05,3,Nebraska
242,Denied,2021-12-30,3,North Dakota
243,Denied,2020-12-07,3,West Virginia
244,Incomplete,2022-03-29,2,Pennsylvania
245,Denied,2022-05-07,1,South Carolina
246,Incomplete,2023-03-12,3,Utah
247,Incomplete,2022-12-14,2,Minnesota
248,Completed,2021-01-24,2,Arkansas
249,Incomplete,2022-02-08,1,Colorado
250,Denied,2021-11-13,2,Pennsylvania
251,Completed,2021-05-02,2,Michigan
252,Denied,2020-10-22,2,Utah
253,Completed,2022-06-15,1,Oklahoma
254,Completed,2021-01-29,3,New York
255,Completed,2021-05-04,1,Georgia
256,Denied,2022-01-10,3,Oklahoma
257,Completed,2022-03-11,1,Alabama
258,Completed,2023-04-04,2,South Carolina
259,Incomplete,2020-11-21,1,Pennsylvania
260,Denied,2022-10-09,3,Maine
261,Denied,2020-11-26,3,West Virginia
262,Denied,2022-11-25,2,Oklahoma
263,Denied,2022-10-22,1,Minnesota
264,Incomplete,2022-11-17,1,Alaska
265,Denied,2023-05-14,3,New Mexico
266,Completed,2023-04-06,1,Montana
267,Completed,2022-11-18,2,Nebraska
268,Completed,2022-02-20,2,Vermont
269,Incomplete,2021-05-13,3,Michigan
270,Incomplete,2023-04-17,2,Illinois
271,Denied,2022-11-04,1,Nebraska
272,Denied,2021-02-27,1,Pennsylvania
273,Completed,2021-06-06,3,Arkansas
274,Completed,2022-07-29,2,Pennsylvania
275,Completed,2021-09-21,2,Utah
276,Denied,2020-09-12,3,Oregon
277,Completed,2021-05-09,3,Montana
278,Incomplete,2021-11-22,2,Kansas
279,Completed,2022-10-05,2,Tennessee
280,Incomplete,2021-01-12,2,Florida
281,Denied,2022-01-15,1,Hawaii
282,Denied,2022-03-31,1,Maryland
283,Incomplete,2022-05-21,2,New Hampshire
284,Completed,2021-02-14,1,Tennessee
285,Denied,2023-06-12,3,South Dakota
286,Denied,2021-02-19,3,Minnesota
287,Completed,2020-08-28,2,Mississippi
288,Denied,2023-01-08,1,Florida
289,Completed,2023-01-09,2,Michigan
290,Denied,2022-04-10,1,Illinois
291,Completed,2021-06-21,1,Alaska
292,Incomplete,2020-08-20,1,Minnesota
293,Completed,2021-03-19,3,Nebraska
294,Completed,2023-04-17,2,California
295,Denied,2021-03-10,2,Kentucky
296,Denied,2022-01-21,3,Connecticut
297,Incomplete,2021-12-02,2,Massachusetts
298,Incomplete,2021-09-06,1,New Jersey
299,Denied,2021-09-21,3,Kentucky
300,Denied,2023-06-21,1,North Carolina
301,Incomplete,2021-02-14,3,Kentucky
302,Completed,2021-01-14,2,West Virginia
303,Incomplete,2021-11-24,3,Illinois
304,Incomplete,2023-04-19,1,Oklahoma
305,Incomplete,2021-04-24,2,New Jersey
306,Incomplete,2021-01-08,2,Wyoming
307,Denied,2021-12-08,2,Wyoming
308,Denied,2022-08-30,2,Alaska
309,Incomplete,2022-08-05,3,New York
310,Denied,2023-04-20,1,Florida
311,Denied,2020-10-27,1,Maryland
312,Incomplete,2022-05-01,3,Maine
313,Denied,2020-12-12,3,West Virginia
314,Denied,2023-04-28,2,West Virginia
315,Incomplete,2021-11-25,3,Michigan
316,Completed,2022-11-25,2,Alabama
317,Completed,2023-02-05,3,Ohio
318,Denied,2021-06-09,3,South Dakota
319,Denied,2022-11-09,1,Alaska
320,Denied,2023-03-24,3,Oklahoma
321,Incomplete,2021-11-18,3,New Hampshire
322,Incomplete,2021-10-27,1,Virginia
323,Incomplete,2021-10-08,1,Delaware
324,Completed,2023-03-30,1,Georgia
325,Denied,2021-01-31,1,Arizona
326,Completed,2021-05-15,1,New Hampshire
327,Denied,2021-04-30,3,Connecticut
328,Incomplete,2022-09-01,1,Hawaii
329,Incomplete,2022-12-31,2,New Mexico
330,Denied,2022-03-21,2,Idaho
331,Incomplete,2023-03-16,2,Mississippi
332,Completed,2020-06-27,2,Rhode Island
333,Incomplete,2023-01-12,2,South Dakota
334,Denied,2021-03-13,3,Wisconsin
335,Completed,2020-12-01,2,Alabama
336,Incomplete,2022-02-08,1,West Virginia
337,Incomplete,2020-12-27,3,Iowa
338,Incomplete,2023-02-24,3,Oklahoma
339,Incomplete,2020-09-04,3,Alabama
340,Incomplete,2021-05-25,1,Missouri
341,Incomplete,2022-10-28,3,Arizona
342,Completed,2022-05-08,3,Ohio
343,Completed,2021-04-01,3,Colorado
344,Completed,2022-05-01,2,New York
345,Completed,2022-06-27,2,Louisiana
346,Denied,2023-05-22,3,Louisiana
347,Denied,2021-05-25,3,Montana
348,Completed,2023-01-15,2,Utah
349,Denied,2022-11-24,1,Kentucky
350,Incomplete,2021-03-16,3,Ohio
351,Denied,2020-08-23,2,Missouri
352,Denied,2022-01-06,2,Maryland
353,Denied,2023-02-02,1,New Mexico
354,Completed,2020-07-04,2,Hawaii
355,Denied,2021-10-17,2,Pennsylvania
356,Incomplete,2021-09-29,1,Idaho
357,Incomplete,2021-07-06,1,Pennsylvania
358,Completed,2020-08-17,2,Colorado
359,Completed,2021-10-18,1,Vermont
360,Denied,2021-12-05,3,Wyoming
361,Denied,2021-01-13,1,North Dakota
362,Denied,2021-03-18,1,Kentucky
363,Completed,2021-04-10,1,Louisiana
364,Denied,2020-11-29,3,Kansas
365,Completed,2021-03-09,2,Idaho
366,Incomplete,2021-02-16,3,Kentucky
367,Incomplete,2022-01-22,1,Ohio
368,Completed,2020-09-26,2,Mississippi
369,Denied,2021-07-29,2,Texas
370,Denied,2020-11-15,1,Pennsylvania
371,Completed,2023-05-31,2,California
372,Incomplete,2021-03-03,2,Georgia
373,Incomplete,2022-04-04,3,Washington
374,Denied,2022-10-24,3,Nebraska
375,Incomplete,2022-08-29,1,West Virginia
376,Incomplete,2023-01-10,3,Hawaii
377,Incomplete,2023-01-17,3,North Dakota
378,Completed,2020-10-24,2,Maine
379,Denied,2023-03-29,3,Missouri
380,Denied,2020-09-03,2,New Jersey
381,Denied,2023-05-02,3,Nevada
382,Completed,2022-04-17,1,Louisiana
383,Completed,2022-12-28,2,New Jersey
384,Incomplete,2021-09-25,2,Delaware
385,Incomplete,2023-05-12,2,Indiana
386,Completed,2021-05-28,3,Minnesota
387,Denied,2021-06-17,2,Tennessee
388,Denied,2022-05-26,2,Idaho
389,Denied,2022-05-21,1,Kentucky
390,Denied,2022-08-18,3,Idaho
391,Completed,2021-09-08,3,New York
392,Denied,2021-09-22,2,North Dakota
393,Incomplete,2021-10-19,1,Missouri
394,Denied,2020-11-29,2,Florida
395,Denied,2022-09-06,3,New Jersey
396,Incomplete,2022-09-14,2,Colorado
397,Denied,2021-07-18,1,Virginia
398,Denied,2021-12-03,2,Missouri
399,Incomplete,2021-04-21,2,Alaska
400,Completed,2021-02-03,1,Wisconsin
401,Denied,2023-03-28,1,Nebraska
402,Incomplete,2020-11-07,3,Connecticut
403,Completed,2022-11-04,3,Massachusetts
404,Completed,2022-07-14,1,South Dakota
405,Denied,2023-05-09,1,Idaho
406,Completed,2022-03-27,1,Mississippi
407,Completed,2022-04-13,2,Arkansas
408,Completed,2022-12-15,2,Nevada
409,Incomplete,2020-12-03,1,Oregon
410,Completed,2022-11-26,1,Tennessee
411,Incomplete,2022-05-31,3,Alaska
412,Denied,2022-12-30,1,Maryland
413,Completed,2020-11-02,2,Alaska
414,Denied,2020-08-28,1,Mississippi
415,Incomplete,2020-09-07,1,Georgia
416,Completed,2023-06-10,3,Arkansas
417,Denied,2021-03-17,2,South Dakota
418,Completed,2022-02-05,1,New Mexico
419,Incomplete,2021-12-11,1,Tennessee
420,Denied,2020-07-03,1,Pennsylvania
421,Incomplete,2022-04-12,2,Nebraska
422,Completed,2021-02-02,1,Idaho
423,Denied,2022-10-18,2,Oregon
424,Incomplete,2020-09-05,3,Nevada
425,Incomplete,2023-04-16,3,Kentucky
426,Incomplete,2021-01-28,1,Rhode Island
427,Incomplete,2022-08-28,3,Colorado
428,Denied,2022-07-16,1,Illinois
429,Completed,2021-04-30,3,California
430,Completed,2022-02-13,3,Illinois
431,Incomplete,2022-10-14,2,Pennsylvania
432,Incomplete,2022-05-21,2,Colorado
433,Denied,2022-07-14,3,New Mexico
434,Completed,2023-02-24,2,Nebraska
435,Completed,2022-10-28,1,Massachusetts
436,Incomplete,2020-07-07,2,Colorado
437,Completed,2020-10-08,3,Idaho
438,Denied,2023-05-01,1,West Virginia
439,Incomplete,2021-05-23,2,Florida
440,Incomplete,2020-09-17,3,Massachusetts
441,Completed,2020-07-17,3,Nebraska
442,Completed,2023-02-03,2,Indiana
443,Completed,2021-01-15,1,Arizona
444,Incomplete,2021-06-20,3,Arkansas
445,Incomplete,2021-06-02,1,Florida
446,Incomplete,2023-03-28,1,Mississippi
447,Completed,2022-10-16,1,Kentucky
448,Completed,2020-11-30,1,South Carolina
449,Denied,2023-04-16,1,Georgia
450,Completed,2022-08-21,1,Wisconsin
451,Completed,2022-05-27,1,Maine
452,Denied,2021-12-17,2,Oregon
453,Completed,2021-09-17,1,Alaska
454,Completed,2022-07-28,2,Michigan
455,Denied,2021-09-07,2,Montana
456,Incomplete,2022-04-25,3,New Hampshire
457,Denied,2022-06-06,3,Montana
458,Incomplete,2022-11-05,2,Oklahoma
459,Incomplete,2021-06-17,2,Tennessee
460,Incomplete,2023-02-04,1,Utah
461,Denied,2022-07-21,1,Virginia
462,Incomplete,2023-06-08,1,Oklahoma
463,Incomplete,2020-08-25,3,Michigan
464,Incomplete,2021-08-21,1,New Jersey
465,Completed,2022-01-24,3,Maine
466,Completed,2022-01-24,3,Texas
467,Denied,2022-04-01,1,New Jersey
468,Completed,2020-06-30,3,South Carolina
469,Completed,2023-03-29,1,West Virginia
470,Completed,2022-08-10,2,Missouri
471,Incomplete,2023-05-28,3,Hawaii
472,Incomplete,2022-05-07,3,Maryland
473,Denied,2022-03-12,1,Nebraska
474,Denied,2021-11-30,2,Michigan
475,Incomplete,2021-11-26,2,Connecticut
476,Incomplete,2023-04-29,3,Rhode Island
477,Incomplete,2021-12-25,3,Utah
478,Denied,2022-12-27,1,Arizona
479,Denied,2021-10-15,2,Nebraska
480,Incomplete,2020-06-29,1,Oklahoma
481,Completed,2022-05-07,2,California
482,Denied,2020-09-11,3,Maine
483,Denied,2020-12-27,2,Tennessee
484,Completed,2023-03-22,2,New Mexico
485,Denied,2022-03-09,3,Arizona
486,Incomplete,2023-02-13,2,West Virginia
487,Denied,2023-03-31,2,Kansas
488,Incomplete,2023-05-31,1,California
489,Completed,2022-04-05,1,New Mexico
490,Denied,2022-05-26,1,Texas
491,Incomplete,2021-04-12,3,North Carolina
492,Denied,2021-01-15,2,Georgia
493,Incomplete,2021-12-16,3,Ohio
494,Denied,2023-02-07,1,Minnesota
495,Denied,2021-06-15,3,Tennessee
496,Completed,2021-06-11,3,Nebraska
497,Incomplete,2022-02-11,2,Kansas
498,Incomplete,2022-10-23,1,Georgia
499,Denied,2021-05-16,3,North Carolina
500,Denied,2022-09-15,2,Pennsylvania
501,Incomplete,2021-03-02,2,Oregon
502,Incomplete,2022-09-27,1,Wisconsin
503,Denied,2021-06-21,1,Missouri
504,Denied,2021-05-09,3,Nevada
505,Incomplete,2020-07-07,2,Missouri
506,Incomplete,2022-04-21,2,Kentucky
507,Incomplete,2021-07-26,3,Montana
508,Incomplete,2020-07-31,3,Indiana
509,Incomplete,2023-03-15,1,Colorado
510,Denied,2021-05-07,1,Virginia
511,Completed,2020-09-26,3,Texas
512,Denied,2020-09-13,2,Illinois
513,Completed,2022-08-10,1,Oregon
514,Completed,2021-02-06,3,South Dakota
515,Denied,2021-12-07,2,Iowa
516,Incomplete,2023-01-16,3,Maine
517,Completed,2022-04-16,2,Tennessee
518,Incomplete,2021-07-18,2,Connecticut
519,Incomplete,2022-05-04,3,Georgia
520,Denied,2020-10-22,3,Utah
521,Completed,2023-05-09,3,Montana
522,Incomplete,2020-07-19,1,Nevada
523,Denied,2021-08-03,1,Montana
524,Completed,2023-04-10,1,Kansas
525,Incomplete,2020-10-12,2,Oregon
526,Completed,2023-03-08,2,California
527,Incomplete,2021-12-03,2,Missouri
528,Denied,2022-12-16,2,Florida
529,Completed,2022-06-11,2,Maine
530,Denied,2020-09-12,3,Washington
531,Incomplete,2021-11-08,2,Rhode Island
532,Completed,2020-11-13,3,Colorado
533,Completed,2023-02-28,1,Montana
534,Incomplete,2021-08-07,1,West Virginia
535,Incomplete,2021-01-29,3,Kansas
536,Completed,2021-08-04,1,Michigan
537,Incomplete,2021-04-05,2,Florida
538,Incomplete,2022-10-30,2,New Jersey
539,Incomplete,2022-11-11,1,New York
540,Completed,2022-01-09,2,Georgia
541,Completed,2022-08-02,3,Missouri
542,Completed,2021-05-02,2,Alaska
543,Incomplete,2020-07-14,1,New York
544,Completed,2022-08-02,2,Missouri
545,Completed,2021-07-22,2,Kansas
546,Completed,2023-01-25,2,Pennsylvania
547,Incomplete,2021-12-14,1,Washington
548,Completed,2022-01-17,1,New Hampshire
549,Completed,2021-08-10,3,Tennessee
550,Completed,2022-10-03,3,Illinois
551,Denied,2021-11-05,1,New Jersey
552,Completed,2023-04-06,2,Louisiana
553,Denied,2022-04-25,1,Wisconsin
554,Denied,2022-08-02,2,Alaska
555,Completed,2021-01-21,2,Texas
556,Incomplete,2021-01-27,3,Wyoming
557,Completed,2021-08-04,2,Iowa
558,Denied,2020-07-16,2,South Dakota
559,Denied,2020-07-21,2,Kansas
560,Completed,2021-09-05,2,Iowa
561,Completed,2021-12-18,3,Georgia
562,Completed,2023-06-13,1,Illinois
563,Completed,2022-02-04,3,Alaska
564,Completed,2020-11-14,3,Arkansas
565,Completed,2022-06-18,1,Montana
566,Denied,2021-04-29,3,West Virginia
567,Incomplete,2021-12-02,3,Hawaii
568,Incomplete,2022-01-15,1,Nebraska
569,Completed,2020-12-19,2,North Dakota
570,Completed,2021-09-02,1,Pennsylvania
571,Incomplete,2022-11-12,3,South Dakota
572,Completed,2022-04-07,2,Rhode Island
573,Denied,2022-01-01,3,Nevada
574,Incomplete,2021-10-17,3,New Mexico
575,Denied,2021-05-13,2,Maryland
576,Incomplete,2022-04-30,2,Idaho
577,Incomplete,2022-02-11,3,New Jersey
578,Completed,2022-12-17,3,Arkansas
579,Denied,2021-06-23,1,New Jersey
580,Denied,2021-03-31,3,Arizona
581,Completed,2022-04-30,2,Arizona
582,Completed,2020-08-20,1,New Mexico
583,Incomplete,2023-03-15,3,California
584,Denied,2022-12-04,3,Montana
585,Denied,2020-11-24,1,Iowa
586,Completed,2022-07-29,1,Idaho
587,Incomplete,2023-03-11,2,Vermont
588,Incomplete,2020-08-21,2,South Carolina
589,Denied,2022-03-29,2,Tennessee
590,Incomplete,2020-11-29,3,Nebraska
591,Incomplete,2023-05-17,1,South Carolina
592,Completed,2023-03-11,1,New Mexico
593,Denied,2022-05-17,1,Tennessee
594,Denied,2022-07-04,2,South Carolina
595,Incomplete,2020-07-27,2,New York
596,Completed,2022-03-18,1,Montana
597,Completed,2020-08-27,2,California
598,Incomplete,2023-05-05,3,Tennessee
599,Completed,2023-02-15,2,South Dakota
600,Completed,2021-04-24,2,Kentucky
601,Incomplete,2023-02-08,2,North Dakota
602,Denied,2021-03-04,3,Alaska
603,Denied,2022-03-08,1,Minnesota
604,Completed,2023-03-14,2,Nevada
605,Incomplete,2020-09-04,3,Florida
606,Denied,2022-02-24,1,Georgia
607,Incomplete,2022-02-24,2,Louisiana
608,Completed,2022-01-08,1,Georgia
609,Completed,2022-03-07,3,Wyoming
610,Incomplete,2022-12-14,1,Kansas
611,Incomplete,2023-06-09,3,Maryland
612,Denied,2021-11-20,1,Wisconsin
613,Incomplete,2021-07-26,2,Montana
614,Completed,2020-11-03,2,Nebraska
615,Incomplete,2020-07-07,1,Connecticut
616,Incomplete,2022-09-21,2,Indiana
617,Completed,2022-05-14,1,South Dakota
618,Completed,2021-01-06,1,Kentucky
619,Incomplete,2020-12-02,1,Rhode Island
620,Incomplete,2022-08-01,3,West Virginia
621,Denied,2022-02-02,3,Tennessee
622,Incomplete,2023-06-09,2,Wisconsin
623,Completed,2022-09-08,1,Oklahoma
624,Incomplete,2020-11-27,1,West Virginia
625,Completed,2021-02-10,2,Wyoming
626,Completed,2020-10-01,2,Minnesota
627,Incomplete,2022-07-20,3,Rhode Island
628,Completed,2022-03-09,2,Connecticut
629,Incomplete,2022-03-20,3,Hawaii
630,Incomplete,2022-11-12,3,Idaho
631,Completed,2022-09-21,3,Nevada
632,Completed,2023-01-18,3,Georgia
633,Completed,2022-06-27,3,Connecticut
634,Incomplete,2020-12-16,2,Indiana
635,Incomplete,2022-03-28,1,West Virginia
636,Incomplete,2021-09-19,3,North Carolina
637,Completed,2021-12-02,1,Pennsylvania
638,Incomplete,2020-10-29,3,Iowa
639,Completed,2022-09-25,1,Ohio
640,Denied,2021-06-25,3,New Hampshire
641,Completed,2022-01-16,2,Idaho
642,Completed,2022-08-10,1,West Virginia
643,Completed,2020-06-23,2,Texas
644,Incomplete,2022-08-30,2,Maine
645,Incomplete,2020-12-26,3,Florida
646,Incomplete,2020-10-25,2,New Mexico
647,Incomplete,2021-11-09,1,Kentucky
648,Incomplete,2022-01-02,1,Connecticut
649,Completed,2021-06-08,1,Nevada
650,Denied,2021-12-06,2,Delaware
651,Incomplete,2021-05-04,2,Alaska
652,Completed,2022-05-16,1,Florida
653,Incomplete,2021-03-15,3,Rhode Island
654,Completed,2021-10-13,3,Pennsylvania
655,Completed,2021-12-13,1,Wyoming
656,Completed,2022-10-19,1,South Dakota
657,Completed,2022-02-15,2,Hawaii
658,Incomplete,2020-08-14,3,Oregon
