asset_id,asset_type,purchase_date,purchase_cost,current_cost
172,Equipment,2014-01-24,8445,1324
173,Building,2020-04-26,698447,788553
174,Equipment,2016-01-07,6699,2563
175,IT Software,2020-11-15,7326,8151
176,Vehicle,2022-08-10,40192,7452
177,IT Software,2013-10-21,15793,15819
178,Equipment,2019-11-25,7870,1147
179,Equipment,2020-10-29,7132,2019
180,IT Software,2021-08-01,12522,13517
181,IT Software,2023-06-06,16089,16357
182,Vehicle,2015-04-11,26869,7301
183,Land,2022-12-31,112408,323026
184,Building,2019-12-09,636511,653914
185,Vehicle,2021-03-21,22340,7564
186,Land,2017-02-10,114708,348000
187,Land,2014-12-30,120999,364062
188,IT Software,2017-03-22,7350,8295
189,Equipment,2016-12-03,7787,1383
190,Land,2021-03-31,178424,343562
191,Building,2020-02-18,409393,504828
192,Equipment,2018-07-18,5024,3846
193,Equipment,2015-01-19,5852,4656
194,Vehicle,2021-11-30,22886,6497
195,Equipment,2019-01-13,8882,2456
196,Equipment,2018-03-28,7079,1093
197,Vehicle,2021-07-11,43424,5036
198,IT Software,2022-01-17,8404,8890
199,Equipment,2017-12-25,7051,2055
200,IT Software,2022-04-26,17686,17824
201,Land,2019-09-09,270942,631791
202,IT Software,2020-02-21,11518,12171
203,Vehicle,2017-01-22,17124,8047
204,Vehicle,2017-06-27,12149,9526
205,Equipment,2017-11-04,5165,2203
206,Vehicle,2014-10-11,24953,8334
207,Equipment,2023-04-25,8926,4476
208,IT Software,2019-11-03,7022,7080
209,Equipment,2021-06-30,9791,2016
210,Land,2017-12-30,279545,581762
211,IT Software,2013-08-14,19936,20575
212,Vehicle,2014-11-15,46432,8958
213,Building,2017-06-22,950958,1030267
214,IT Software,2015-09-17,18950,19306
215,Building,2015-05-09,540065,634494
216,Equipment,2019-04-28,9825,3878
217,Building,2019-12-02,453778,508687
218,Land,2015-09-28,158578,369158
219,Equipment,2020-12-21,7592,1379
220,Building,2013-09-29,566031,588061
221,Vehicle,2021-03-15,25143,5013
222,Vehicle,2014-11-10,27137,9234
223,Vehicle,2021-08-25,12726,6390
224,Land,2023-05-05,379623,630808
225,Equipment,2020-12-05,9578,1134
226,Building,2021-08-07,800838,821893
227,Building,2023-05-09,583525,614142
228,Land,2019-03-20,372694,696786
229,IT Software,2018-09-30,4372,5231
230,Vehicle,2014-12-15,44122,7749
231,IT Software,2020-05-17,15114,15822
232,Building,2014-11-26,554236,601109
233,IT Software,2016-12-19,8245,9184
234,Building,2017-02-21,351712,428061
235,Land,2020-01-13,161601,374520
236,Vehicle,2021-05-23,45845,6145
237,Equipment,2018-02-27,7059,2480
238,Land,2015-07-25,423401,898597
239,Building,2016-11-18,691330,780032
240,Vehicle,2017-04-27,37276,8707
241,Land,2020-07-05,283153,595012
242,IT Software,2014-01-26,12688,12752
243,Land,2015-08-12,345481,555552
244,IT Software,2016-07-17,10526,11153
245,Vehicle,2020-03-20,28656,6841
246,Building,2018-03-16,876099,927912
247,Building,2018-04-20,985778,1050892
248,Building,2019-01-30,948821,959127
249,Land,2017-08-26,314866,657562
250,Equipment,2019-06-20,8248,2292
251,Vehicle,2014-12-13,16476,7439
252,Land,2023-05-18,154784,429707
253,Vehicle,2023-04-18,20413,5790
254,Equipment,2022-01-13,7422,3131
255,IT Software,2018-07-06,15845,16123
256,Land,2020-06-03,167773,304083
257,Land,2016-09-13,389620,775696
258,Land,2013-12-02,466621,884891
259,Equipment,2022-02-04,8048,4250
260,Land,2016-04-13,328567,469985
261,Equipment,2017-11-27,6773,2102
262,IT Software,2014-12-15,17918,18287
263,Vehicle,2019-10-27,12472,6965
264,Equipment,2020-04-27,6030,1045
265,Equipment,2019-02-14,6950,1476
266,Land,2021-07-04,231476,411087
267,IT Software,2020-06-11,19647,20092
268,Vehicle,2016-02-26,19568,8465
269,Vehicle,2014-12-04,13501,9973
270,Equipment,2020-09-14,6008,1007
271,Land,2016-07-03,264399,707025
272,Land,2023-01-27,409661,766734
273,Vehicle,2023-07-09,47552,7894
274,Building,2015-02-27,265971,344361
275,IT Software,2019-09-10,13844,13921
276,Land,2019-04-15,112780,297016
277,Building,2014-06-07,544553,601112
278,Vehicle,2019-04-10,39550,7323
279,Vehicle,2015-07-01,22963,6331
280,IT Software,2018-03-04,8188,8342
281,Land,2021-05-08,384978,760717
282,IT Software,2020-02-03,17084,17304
283,Equipment,2019-06-26,8858,1419
284,IT Software,2019-09-26,4920,5083
285,Equipment,2020-08-04,8102,2592
286,IT Software,2022-07-02,1525,2345
287,IT Software,2018-01-06,3047,3269
288,Equipment,2020-08-24,6320,1208
289,Building,2020-02-09,586856,609081
290,Equipment,2015-04-08,8732,2593
291,Land,2014-10-03,232960,374007
292,IT Software,2022-12-19,7112,7262
293,IT Software,2014-02-26,16291,16735
294,Vehicle,2018-06-07,40342,8213
295,Vehicle,2018-04-21,30695,5539
296,Vehicle,2015-01-25,21201,5693
297,Building,2022-03-19,401035,492969
298,Vehicle,2020-01-16,34414,5089
299,IT Software,2014-09-05,5645,6312
300,Land,2022-01-18,271900,518374
301,IT Software,2019-01-26,12665,13373
302,Equipment,2022-09-28,6442,4899
303,Equipment,2019-06-08,9723,4927
304,Equipment,2014-05-27,9756,3153
305,IT Software,2013-10-15,5063,5987
306,Vehicle,2017-06-23,19097,7267
307,Vehicle,2018-12-03,48191,5930
308,Vehicle,2019-04-22,16027,8714
309,IT Software,2015-09-30,4629,4802
310,Vehicle,2014-01-29,10526,7700
311,Land,2013-11-01,406240,830976
312,Land,2017-11-24,311825,639725
313,IT Software,2017-07-16,1228,1397
314,Vehicle,2020-10-28,12812,7227
315,Building,2020-05-13,398083,474145
316,Equipment,2016-03-14,5508,1079
317,Land,2017-04-28,318742,472248
318,Land,2022-02-07,144481,524065
319,Vehicle,2021-08-25,41962,9126
320,IT Software,2014-06-29,17931,18304
321,Building,2014-11-15,529961,549815
322,Land,2015-12-30,435281,853754
323,IT Software,2019-08-09,2606,3469
324,Equipment,2013-12-04,9545,1007
325,Land,2014-02-20,198128,515480
326,Equipment,2022-11-09,9609,3497
327,Equipment,2015-03-28,6320,2363
328,Vehicle,2017-02-01,20079,5276
329,Land,2013-09-06,128970,340417
330,Vehicle,2021-09-27,46371,9542
331,Equipment,2020-07-06,5643,4682
332,Equipment,2020-09-01,5561,3008
333,IT Software,2017-09-05,13179,13767
334,IT Software,2020-08-05,10290,10731
335,Building,2016-04-23,892993,939639
336,Equipment,2021-07-18,7500,4914
337,IT Software,2013-12-08,19170,20123
338,Vehicle,2019-03-01,25778,6768
339,Building,2018-02-08,741131,839570
340,Vehicle,2021-07-25,33205,6554
341,Equipment,2021-01-15,7774,2207
342,Equipment,2020-08-11,6478,1238
343,Land,2018-01-25,161712,618546
344,Building,2022-05-14,597526,612713
345,Building,2017-03-26,715267,752472
346,Land,2020-03-27,111081,545608
347,Building,2017-06-29,622805,707010
348,Vehicle,2023-04-01,47663,9716
349,Building,2020-07-12,945387,993795
350,Equipment,2015-05-03,5412,3823
351,Vehicle,2022-08-25,15399,6918
352,IT Software,2018-01-15,16638,17153
353,Land,2020-04-09,179717,465756
354,IT Software,2021-09-06,18951,19106
355,IT Software,2014-10-27,4576,4966
356,Building,2022-10-09,162794,222471
357,Equipment,2015-05-05,5500,2653
358,Equipment,2019-08-27,9492,1627
359,Land,2017-08-04,359332,700875
360,Land,2020-01-24,281006,755399
361,Equipment,2017-07-01,6357,1651
362,Vehicle,2020-11-19,42939,7275
363,Land,2019-08-24,186012,564236
364,Building,2018-10-11,307647,342540
365,Equipment,2018-09-24,5763,2200
366,Equipment,2015-03-19,5730,2514
367,Vehicle,2020-05-22,43337,8453
368,Equipment,2022-05-21,9879,1460
369,IT Software,2013-08-03,13448,13527
370,IT Software,2018-05-23,5164,5270
371,Vehicle,2016-12-17,26971,6801
372,Land,2019-02-25,130661,364674
373,Building,2019-02-15,198501,210179
374,Equipment,2016-06-16,5627,1100
375,Equipment,2023-06-03,7611,1113
376,Land,2016-01-14,232214,399569
377,Building,2014-02-28,619494,704113
378,Building,2016-08-29,873238,972354
379,Land,2022-04-22,294725,513376
380,Equipment,2020-03-10,8197,3238
381,Building,2018-07-14,648506,737854
382,Land,2022-11-06,368256,495583
383,Vehicle,2014-12-09,42659,5051
384,IT Software,2022-01-23,3143,3840
385,Land,2019-05-12,254649,629228
386,Vehicle,2023-07-01,47057,8430
387,Land,2014-03-30,143023,298839
388,Vehicle,2021-03-14,44872,8778
389,IT Software,2020-12-30,1882,2004
390,IT Software,2019-09-21,13794,14512
391,IT Software,2017-01-21,15667,15698
392,Building,2021-12-20,473862,571378
393,Vehicle,2019-12-16,11898,7570
394,Vehicle,2023-02-10,48442,6782
395,IT Software,2020-12-23,19295,20087
396,Equipment,2015-10-02,9084,1746
397,Land,2022-12-23,317893,470026
398,Building,2021-07-02,904720,973581
399,Vehicle,2015-08-07,16291,6000
400,Vehicle,2021-04-01,25764,7251
401,Vehicle,2017-07-12,15336,9054
402,Building,2013-11-04,460578,504390
403,IT Software,2021-12-27,13611,14554
404,Vehicle,2019-06-19,17852,6907
405,IT Software,2018-02-09,14404,14630
406,Vehicle,2021-01-29,38121,8064
407,Land,2022-05-09,228883,546943
408,IT Software,2021-01-25,9945,10532
409,Vehicle,2018-09-15,16439,8606
410,Land,2020-08-27,232791,393698
411,Equipment,2022-06-02,7132,4219
412,Building,2020-04-29,788598,869477
413,Equipment,2021-03-25,6711,4128
414,Equipment,2017-03-01,6361,3037
415,Building,2020-09-24,646791,689956
416,Equipment,2016-03-18,6410,3869
417,IT Software,2019-10-25,14436,15182
418,Building,2019-09-28,206478,299087
419,IT Software,2021-05-12,10138,10552
420,Equipment,2017-05-03,5790,2424
421,Land,2016-08-19,439591,755259
422,Vehicle,2017-09-06,24646,7792
423,IT Software,2016-05-18,9108,9598
424,Equipment,2019-03-19,6155,3326
425,Land,2017-06-24,168357,336622
426,Vehicle,2018-11-08,27344,7228
427,Vehicle,2014-09-28,48741,9999
428,IT Software,2023-05-10,12141,12752
429,Building,2022-02-25,209608,284514
430,IT Software,2017-01-21,18457,18681
431,Building,2019-12-14,889625,946019
432,Equipment,2022-04-30,5366,2225
433,Land,2016-06-14,402025,863184
434,Equipment,2014-05-19,8270,2398
435,IT Software,2022-11-16,2114,2613
436,IT Software,2020-09-15,10891,11348
437,Equipment,2014-10-28,6217,1162
438,Land,2016-09-04,210323,607065
439,Vehicle,2022-10-12,33646,5498
440,Equipment,2018-10-29,5429,3585
441,Land,2020-06-26,366700,476155
442,Building,2019-11-18,881219,918514
443,Land,2023-05-07,239258,696350
444,Land,2022-08-05,201332,335825
445,Equipment,2016-05-30,8477,3268
446,Building,2015-06-05,414176,453836
447,Vehicle,2016-10-27,11140,7392
448,Vehicle,2015-01-21,39033,7944
449,Land,2018-05-21,187395,653259
450,Vehicle,2020-04-04,26909,7036
451,IT Software,2021-06-15,8250,8951
452,Vehicle,2018-09-19,37997,6667
453,Land,2015-12-10,132532,321382
454,Land,2023-01-13,440216,839721
455,Vehicle,2013-11-29,30073,6768
456,IT Software,2020-04-06,10648,11528
457,Building,2016-10-11,822581,894948
458,Vehicle,2018-07-18,18596,7258
459,Vehicle,2020-09-26,47207,9804
460,Vehicle,2013-08-23,19005,7315
461,Equipment,2016-08-10,5694,3794
462,IT Software,2019-05-21,9569,9628
463,Land,2017-10-02,203446,326429
464,Vehicle,2018-01-18,20799,6317
465,Vehicle,2019-08-10,30237,7208
466,Building,2013-10-11,198321,226309
467,Vehicle,2018-03-09,49936,5132
468,IT Software,2022-06-18,10748,11132
469,Equipment,2017-01-24,6130,4316
470,Vehicle,2018-05-27,11212,9745
471,Building,2020-11-28,995727,1037924
472,IT Software,2013-10-05,11408,11528
473,Land,2016-12-22,336990,527659
474,Building,2017-05-30,535988,548671
475,IT Software,2021-01-09,8152,8194
476,Building,2023-02-13,541465,621424
477,Equipment,2015-01-10,8824,4628
478,Vehicle,2021-02-27,44827,9645
479,Equipment,2018-10-11,9378,2934
480,Vehicle,2017-04-23,26030,9764
481,Equipment,2017-07-05,5127,1594
482,Land,2016-05-19,118239,475373
483,IT Software,2016-07-16,1236,2064
484,Vehicle,2013-10-07,37544,7776
485,Building,2013-08-16,296595,358179
486,Building,2018-07-19,175108,218200
487,Equipment,2015-03-13,9358,2449
488,Equipment,2015-01-16,9274,4630
489,Equipment,2020-05-01,9706,1086
490,Building,2016-07-09,366724,383892
491,Building,2015-02-17,927486,1001307
492,IT Software,2016-10-26,3069,4010
493,Equipment,2017-12-25,6775,2428
494,Land,2016-11-19,261298,524015
495,Land,2016-06-06,221717,421161
496,Land,2018-12-28,249526,724311
497,IT Software,2017-06-26,8250,8619
498,Building,2020-11-04,200490,244896
499,Equipment,2021-04-10,9281,1794
500,IT Software,2015-10-10,16841,17320
501,IT Software,2017-05-09,15100,15919
502,Vehicle,2015-07-24,14120,9264
503,Land,2020-09-21,434709,880802
504,Equipment,2019-08-24,8846,4025
505,IT Software,2016-04-23,1432,1828
506,Vehicle,2017-11-25,47087,7260
507,Land,2017-02-24,426009,682102
508,IT Software,2013-08-09,16998,17832
509,Equipment,2014-12-15,6072,1631
510,Building,2015-01-19,220746,282236
511,Vehicle,2016-07-19,17361,5322
512,Vehicle,2018-09-15,18106,5931
513,Building,2019-07-04,197809,279120
514,Land,2017-09-01,270176,459754
515,Equipment,2018-05-11,8271,2343
516,Vehicle,2023-02-14,30457,9941
517,IT Software,2019-05-04,10977,11124
518,Building,2017-01-14,312750,406775
519,Land,2013-12-31,316419,814101
520,Vehicle,2016-11-20,47097,8790
521,Vehicle,2020-08-13,10919,9486
522,Vehicle,2021-08-05,43782,9830
523,IT Software,2018-05-08,15960,16578
524,Equipment,2023-02-16,6816,3305
525,IT Software,2015-12-10,9865,10829
526,Equipment,2018-04-26,8509,2632
527,Building,2017-01-18,896899,950698
528,Land,2020-01-25,389060,764621
529,Vehicle,2013-08-08,17266,5980
530,Equipment,2016-01-27,9422,2547
531,Land,2019-02-20,348417,538474
532,Land,2018-01-30,362583,636600
533,Vehicle,2014-02-25,41934,6031
534,Equipment,2021-08-26,8129,2853
535,Equipment,2019-10-30,8321,1061
536,Equipment,2016-10-06,6881,1984
537,Vehicle,2017-05-14,47200,7373
538,Land,2016-05-17,336617,677581
539,IT Software,2014-03-14,9542,10274
540,Equipment,2015-02-20,7386,3220
541,Building,2014-06-13,704146,726186
542,IT Software,2017-04-16,15531,15955
543,Building,2019-11-08,648158,684099
544,Vehicle,2019-08-25,13381,9729
545,Land,2023-06-18,255403,580425
546,Equipment,2021-04-19,8331,2729
547,Land,2023-05-04,352421,746844
548,IT Software,2020-11-03,4493,5315
549,Vehicle,2013-12-01,10695,6183
550,Vehicle,2022-05-10,46835,9869
551,Vehicle,2022-09-15,27975,8116
552,IT Software,2014-03-11,8190,9007
553,IT Software,2016-05-21,4557,4896
554,IT Software,2017-09-25,18534,19375
555,Vehicle,2014-02-11,38268,5113
556,Land,2018-12-19,486163,701178
557,Vehicle,2016-05-04,23885,8635
558,Vehicle,2015-04-18,31889,5219
559,Vehicle,2021-08-10,16956,5738
560,Vehicle,2017-08-08,26017,8928
561,IT Software,2015-03-13,16121,16956
562,Building,2022-03-07,751235,798756
563,IT Software,2021-09-20,13056,13642
564,IT Software,2014-09-22,11126,12107
565,IT Software,2017-07-09,3176,4115
566,IT Software,2014-01-30,17331,17689
567,IT Software,2016-01-31,5795,6320
568,Equipment,2021-09-25,5720,2631
569,Building,2022-02-17,547795,574902
570,Building,2013-10-10,912862,958996
571,Equipment,2019-05-19,8706,1419
572,Land,2017-10-31,322396,690956
573,Land,2014-02-18,131135,463863
574,Equipment,2018-09-16,5041,3076
575,Land,2020-02-10,388579,574007
576,Vehicle,2013-09-09,42245,7203
577,Building,2014-05-05,229727,315046
578,Equipment,2021-09-12,8826,4036
579,Vehicle,2021-03-20,28427,5779
580,Vehicle,2019-01-24,21046,5788
581,Vehicle,2019-01-10,22066,6809
582,Vehicle,2021-03-16,34042,7761
583,Building,2016-02-08,364586,404030
584,Building,2018-12-19,253979,317696
585,Building,2018-12-17,610642,671136
586,Land,2013-08-05,191857,503857
587,Building,2014-12-05,140074,176790
588,Equipment,2014-10-03,8264,4455
589,Building,2020-07-05,253920,326854
590,IT Software,2023-03-19,12259,12742
591,IT Software,2018-11-10,15845,16727
592,Land,2013-09-16,354606,573904
593,IT Software,2014-01-26,9183,10080
594,IT Software,2017-06-23,19025,19918
595,Land,2015-03-29,287409,623544
596,Land,2023-03-17,309728,800962
597,Building,2020-07-09,106881,181943
598,Vehicle,2017-07-28,24502,9567
599,Vehicle,2016-04-12,36852,6882
600,IT Software,2019-07-07,9015,9436
601,Equipment,2014-03-15,9657,1042
602,Building,2016-05-10,123906,220140
603,Equipment,2017-11-20,8351,2188
604,Building,2019-11-17,677273,744247
605,Land,2018-11-25,309251,441812
606,IT Software,2020-12-24,18671,19320
607,Building,2017-07-03,367914,437502
608,IT Software,2018-01-18,4334,4420
609,Equipment,2023-06-28,7394,4863
610,Equipment,2018-01-03,5869,3484
611,Equipment,2019-10-22,9387,2186
612,Building,2023-01-25,800784,840487
613,Building,2018-01-06,997617,1031695
614,Vehicle,2018-12-24,25310,9982
615,IT Software,2021-06-30,7037,7727
616,Building,2016-11-21,811077,879779
617,Vehicle,2015-07-13,29353,6892
618,Vehicle,2015-11-18,49670,5218
619,Building,2020-12-30,846320,926555
620,Building,2022-02-15,200006,213519
621,Building,2018-09-19,324093,374686
622,Equipment,2022-08-19,9179,4888
623,Equipment,2016-07-30,7333,3429
624,Vehicle,2014-07-25,32112,8135
625,Land,2014-08-18,495713,975589
626,Building,2018-01-14,618595,682812
627,Land,2018-05-25,497837,858077
628,Equipment,2019-08-17,5444,2166
629,Vehicle,2016-10-08,12234,10000
630,Building,2017-03-22,296339,317599
631,Vehicle,2021-12-02,14575,5882
632,Equipment,2015-05-06,7001,2188
633,IT Software,2015-06-27,11534,12072
634,Building,2015-08-19,128652,158086
635,Land,2020-02-24,480487,853285
636,Equipment,2023-05-11,7345,4610
637,Vehicle,2016-12-25,13144,6333
638,Vehicle,2017-09-13,17161,7022
639,Building,2020-10-05,122482,195172
640,Building,2014-08-29,288139,366764
641,IT Software,2014-02-01,16883,17051
642,Vehicle,2017-09-14,31182,9829
643,Building,2017-05-25,493628,574986
644,IT Software,2017-02-12,17416,17714
645,Land,2023-03-01,228032,528014
646,Vehicle,2017-08-11,20244,7979
647,Vehicle,2017-01-31,25547,6056
648,Land,2023-05-01,143413,618019
649,Land,2013-08-30,477415,784214
650,Land,2017-10-18,182159,385911
651,Vehicle,2018-12-11,47721,7175
652,Vehicle,2022-03-05,24417,9217
653,IT Software,2015-11-17,7562,7752
654,IT Software,2018-06-20,19085,19708
655,Equipment,2020-12-27,5430,2051
656,Land,2020-05-26,315332,709230
657,IT Software,2016-06-08,3115,3229
658,IT Software,2021-07-22,16442,17203
659,Equipment,2015-05-04,8732,2733
660,Land,2013-10-03,263460,533411
661,Land,2016-02-10,162136,394210
662,Equipment,2020-09-28,8940,4931
663,Equipment,2020-10-14,7976,3311
664,IT Software,2016-06-28,5209,5522
665,Vehicle,2019-09-16,25249,6392
666,Vehicle,2021-02-24,35183,6862
667,Vehicle,2021-07-21,40437,7563
668,Equipment,2022-12-24,6968,3148
669,Building,2019-12-13,682549,696045
670,Vehicle,2020-04-15,37492,6506
671,Equipment,2022-02-27,8899,1944
672,Equipment,2015-04-19,8502,3457
673,Vehicle,2016-11-09,21247,5036
674,Vehicle,2022-01-10,43892,8593
675,Equipment,2015-10-21,5799,1322
676,Vehicle,2020-05-14,36495,7981
677,Land,2018-09-14,184753,312603
678,IT Software,2021-06-10,2505,2875
679,Land,2019-09-10,467064,698202
680,IT Software,2014-09-18,11117,11601
681,Equipment,2014-05-07,7415,4532
682,Equipment,2023-07-11,8271,4083
683,Building,2023-04-30,641093,706972
684,Vehicle,2017-02-23,34827,6004
685,Building,2022-05-05,458957,487809
686,Building,2020-01-07,738803,788394
687,Vehicle,2020-03-16,28020,7889
688,IT Software,2017-05-10,18842,19706
689,Building,2021-01-27,560783,631970
690,Building,2022-09-01,560094,635342
691,Land,2016-04-11,384405,673211
692,Equipment,2020-03-19,8107,3153
693,IT Software,2016-05-17,4379,4637
694,IT Software,2018-11-10,11226,11476
695,IT Software,2017-08-23,5411,5589
696,Vehicle,2020-10-03,31623,9054
697,Equipment,2022-05-11,5861,1929
698,Vehicle,2017-05-21,28066,6159
699,Building,2018-12-24,843172,880134
700,Building,2017-10-15,722069,742491
701,Vehicle,2016-03-24,32395,5419
702,IT Software,2021-04-06,5773,5989
703,Vehicle,2014-12-17,18085,9448
704,Vehicle,2016-12-27,13713,9050
705,Building,2016-05-10,774475,874123
706,IT Software,2015-04-17,9231,9916
707,Building,2018-10-08,621021,664651
708,Land,2015-10-16,434133,738167
709,Equipment,2021-03-07,9860,3670
710,Land,2014-04-15,340098,624493
711,Equipment,2018-04-16,6936,3251
712,Land,2013-10-05,475926,939323
713,Equipment,2014-01-30,5755,2044
714,Equipment,2021-05-13,6390,3029
715,Building,2021-08-14,956434,981418
716,Vehicle,2019-10-02,28148,9396
