expense_id,expense_date,expense_amount,description,department_id
70,2021-04-13,5038,expense related to capital market operations,3
71,2022-05-07,4746,expense related to cash management for businesses,2
72,2022-05-21,7359,expense related to trading operations,7
73,2021-01-02,4437,expense related to treasury activities,7
74,2021-10-13,1989,expense related to savings account,1
75,2020-02-05,3314,expense related to mergers and acquisitions,3
76,2020-10-28,5637,expense related to liquidity management,7
77,2021-02-08,9595,expense related to market research,9
78,2022-01-05,1584,expense related to capital market operations,3
79,2020-08-31,2541,expense related to investment management,4
80,2023-02-25,9803,expense related to risk assessment,6
81,2023-05-21,8231,expense related to internal controls,6
82,2021-01-01,2522,expense related to commercial loans,2
83,2022-01-21,8901,expense related to checking account,1
84,2020-07-22,4863,expense related to checking account,1
85,2023-03-10,8018,expense related to savings account,1
86,2021-12-04,1400,expense related to mergers and acquisitions,3
87,2023-02-17,3599,expense related to financial planning,4
88,2022-02-17,6167,expense related to training and development,8
89,2021-11-06,9195,expense related to financial planning,4
90,2022-10-18,7983,expense related to performance management,8
91,2023-04-10,3247,expense related to cybersecurity measures,5
92,2021-08-17,2527,expense related to capital market operations,3
93,2019-11-30,2565,expense related to mergers and acquisitions,3
94,2023-03-13,3401,expense related to mergers and acquisitions,3
95,2019-07-22,5618,expense related to marketing campaigns,9
96,2020-06-29,1781,expense related to marketing campaigns,9
97,2020-01-24,7452,expense related to cybersecurity measures,5
98,2020-03-08,5784,expense related to liquidity management,7
99,2020-08-14,3646,expense related to credit cards,1
100,2021-05-17,8105,expense related to market research,9
101,2020-09-29,2226,expense related to marketing campaigns,9
102,2020-02-24,9826,expense related to employee recruitment,8
103,2019-10-31,1826,expense related to risk assessment,6
104,2021-01-07,2717,expense related to marketing campaigns,9
105,2022-11-06,5520,expense related to employee recruitment,8
106,2021-11-13,9156,expense related to commercial loans,2
107,2019-07-21,7965,expense related to mergers and acquisitions,3
108,2021-11-22,3687,expense related to cybersecurity measures,5
109,2021-12-26,8466,expense related to credit cards,1
110,2020-01-01,3905,expense related to treasury activities,7
111,2021-02-12,2641,expense related to compliance monitoring,6
112,2020-03-16,5361,expense related to commercial loans,2
113,2019-07-12,5395,expense related to training and development,8
114,2021-06-17,4777,expense related to back-office operations,5
115,2019-12-14,8253,expense related to training and development,8
116,2022-11-04,9926,expense related to investment management,4
117,2019-08-21,9165,expense related to savings account,1
118,2020-02-28,5291,expense related to capital market operations,3
119,2021-06-23,9755,expense related to risk assessment,6
120,2022-01-02,1621,expense related to capital market operations,3
121,2022-11-20,3914,expense related to performance management,8
122,2022-12-19,1142,expense related to internal controls,6
123,2020-02-23,3079,expense related to customer acquisition strategies,9
124,2022-02-15,2672,expense related to risk assessment,6
125,2020-10-17,8330,expense related to investment management,4
126,2021-10-03,8230,expense related to personalized advisory services for affluent customers,4
127,2020-04-06,3173,expense related to back-office operations,5
128,2021-08-24,9755,expense related to mergers and acquisitions,3
129,2021-02-04,7494,expense related to credit cards,1
130,2019-08-13,9550,expense related to customer acquisition strategies,9
131,2019-11-10,6820,expense related to employee recruitment,8
132,2022-11-15,3468,expense related to trading operations,7
133,2023-06-07,7560,expense related to internal controls,6
134,2020-06-06,2540,expense related to trade finance,2
135,2020-07-18,9041,expense related to back-office operations,5
136,2021-02-14,1169,expense related to compliance monitoring,6
137,2019-09-10,4512,expense related to cybersecurity measures,5
138,2019-10-17,4852,expense related to marketing campaigns,9
139,2022-11-25,3506,expense related to performance management,8
140,2021-02-12,1589,expense related to capital market operations,3
141,2020-07-16,7218,expense related to market research,9
142,2020-02-14,1646,expense related to mergers and acquisitions,3
143,2023-03-15,9371,expense related to back-office operations,5
144,2021-06-19,6802,expense related to internal controls,6
145,2021-03-21,7998,expense related to customer acquisition strategies,9
146,2020-09-08,3273,expense related to trade finance,2
147,2020-02-18,8674,expense related to savings account,1
148,2023-03-08,4877,expense related to capital market operations,3
149,2022-11-20,7439,expense related to investment management,4
150,2021-03-27,8837,expense related to risk assessment,6
151,2022-03-01,9509,expense related to training and development,8
152,2021-05-02,9698,expense related to savings account,1
153,2020-09-03,2959,expense related to checking account,1
154,2022-02-19,5933,expense related to market research,9
155,2021-11-19,9676,expense related to technology upgrades,5
156,2020-09-07,1501,expense related to performance management,8
157,2023-01-31,4480,expense related to commercial loans,2
158,2022-08-08,4872,expense related to mergers and acquisitions,3
159,2020-07-01,2125,expense related to commercial loans,2
160,2019-12-29,7780,expense related to internal controls,6
161,2023-07-01,3669,expense related to mergers and acquisitions,3
162,2021-12-14,1962,expense related to internal controls,6
163,2023-04-07,7829,expense related to liquidity management,7
164,2022-04-08,6723,expense related to risk assessment,6
165,2022-05-19,8316,expense related to employee recruitment,8
166,2022-03-06,1038,expense related to treasury activities,7
167,2022-11-09,6922,expense related to liquidity management,7
168,2020-08-20,9848,expense related to checking account,1
169,2022-04-07,1786,expense related to cybersecurity measures,5
170,2022-08-27,5773,expense related to liquidity management,7
171,2022-05-16,2419,expense related to credit cards,1
172,2019-12-17,1161,expense related to commercial loans,2
173,2020-01-10,7235,expense related to checking account,1
174,2020-11-21,4773,expense related to capital market operations,3
175,2023-01-31,4210,expense related to mergers and acquisitions,3
176,2020-11-06,5586,expense related to checking account,1
177,2020-06-19,9661,expense related to internal controls,6
178,2019-09-11,5009,expense related to checking account,1
179,2022-11-23,5135,expense related to treasury activities,7
180,2021-05-01,3130,expense related to mergers and acquisitions,3
181,2022-01-08,5565,expense related to customer acquisition strategies,9
182,2022-01-20,4670,expense related to trade finance,2
183,2021-04-17,1241,expense related to financial planning,4
184,2021-09-22,1707,expense related to mergers and acquisitions,3
185,2019-07-31,5060,expense related to marketing campaigns,9
186,2020-02-29,2764,expense related to marketing campaigns,9
187,2019-08-28,1262,expense related to commercial loans,2
188,2022-06-18,6953,expense related to checking account,1
189,2020-05-04,8318,expense related to marketing campaigns,9
190,2020-12-13,2202,expense related to commercial loans,2
191,2021-10-31,5626,expense related to performance management,8
192,2019-11-01,2044,expense related to technology upgrades,5
193,2021-06-26,4766,expense related to risk assessment,6
194,2020-07-22,7399,expense related to marketing campaigns,9
195,2019-08-24,1291,expense related to marketing campaigns,9
196,2022-10-21,3913,expense related to trading operations,7
197,2022-12-06,1554,expense related to savings account,1
198,2020-01-05,8701,expense related to credit cards,1
199,2020-05-22,7607,expense related to personalized advisory services for affluent customers,4
200,2019-09-13,9804,expense related to investment management,4
201,2020-11-30,9473,expense related to credit cards,1
202,2022-01-29,5168,expense related to training and development,8
203,2022-08-07,4392,expense related to financial planning,4
204,2019-08-02,4053,expense related to savings account,1
205,2021-03-22,7989,expense related to checking account,1
206,2022-10-04,5520,expense related to cybersecurity measures,5
207,2019-08-25,9292,expense related to credit cards,1
208,2020-12-25,1971,expense related to risk assessment,6
209,2021-11-03,9578,expense related to market research,9
210,2021-10-08,4288,expense related to mergers and acquisitions,3
211,2020-10-24,3917,expense related to marketing campaigns,9
212,2020-10-09,7754,expense related to capital market operations,3
213,2019-12-27,8074,expense related to checking account,1
214,2023-04-29,3940,expense related to personalized advisory services for affluent customers,4
215,2019-11-27,9663,expense related to investment management,4
216,2022-04-27,3381,expense related to performance management,8
217,2022-05-28,4422,expense related to customer acquisition strategies,9
218,2022-02-07,1820,expense related to investment management,4
219,2020-10-19,5418,expense related to mergers and acquisitions,3
220,2020-09-04,4892,expense related to employee recruitment,8
221,2022-09-12,5884,expense related to mergers and acquisitions,3
222,2021-11-15,8544,expense related to cash management for businesses,2
223,2023-04-20,9627,expense related to checking account,1
224,2022-05-05,9236,expense related to back-office operations,5
225,2021-10-19,2971,expense related to personalized advisory services for affluent customers,4
226,2023-06-24,2384,expense related to treasury activities,7
227,2021-04-24,1476,expense related to risk assessment,6
228,2022-02-11,2804,expense related to trading operations,7
229,2023-05-05,3040,expense related to compliance monitoring,6
230,2021-10-15,4112,expense related to investment management,4
231,2022-08-23,8944,expense related to employee recruitment,8
232,2020-10-23,8657,expense related to commercial loans,2
233,2022-12-31,6831,expense related to training and development,8
234,2022-01-01,7069,expense related to back-office operations,5
235,2020-01-18,9038,expense related to back-office operations,5
236,2022-02-18,9544,expense related to technology upgrades,5
237,2022-12-10,2393,expense related to checking account,1
238,2022-04-27,5355,expense related to capital market operations,3
239,2020-07-24,9912,expense related to marketing campaigns,9
240,2021-01-27,4211,expense related to capital market operations,3
241,2019-07-19,7814,expense related to performance management,8
242,2019-07-25,9452,expense related to credit cards,1
243,2022-05-03,8204,expense related to cash management for businesses,2
244,2022-11-10,5011,expense related to financial planning,4
245,2019-07-28,8447,expense related to customer acquisition strategies,9
246,2022-08-04,3657,expense related to technology upgrades,5
247,2020-03-12,7932,expense related to financial planning,4
248,2023-02-05,7596,expense related to credit cards,1
249,2020-09-06,5806,expense related to trading operations,7
250,2021-09-12,3381,expense related to training and development,8
251,2023-04-17,8547,expense related to liquidity management,7
252,2021-12-01,5879,expense related to capital market operations,3
253,2023-01-15,6486,expense related to mergers and acquisitions,3
254,2022-01-25,4960,expense related to capital market operations,3
255,2021-11-16,7083,expense related to cybersecurity measures,5
256,2020-02-22,6746,expense related to training and development,8
257,2021-10-25,5893,expense related to savings account,1
258,2020-05-13,2830,expense related to commercial loans,2
259,2022-01-15,5278,expense related to employee recruitment,8
260,2022-03-31,5380,expense related to treasury activities,7
261,2022-12-01,7701,expense related to capital market operations,3
262,2020-03-23,8609,expense related to marketing campaigns,9
263,2023-02-13,6343,expense related to capital market operations,3
264,2021-03-05,9855,expense related to capital market operations,3
265,2020-07-14,3966,expense related to investment management,4
266,2020-04-20,9747,expense related to trade finance,2
267,2020-01-23,2348,expense related to investment management,4
268,2019-10-19,7842,expense related to mergers and acquisitions,3
269,2019-10-15,9781,expense related to back-office operations,5
270,2022-07-07,5782,expense related to technology upgrades,5
271,2022-05-06,3590,expense related to internal controls,6
272,2020-03-13,1272,expense related to marketing campaigns,9
273,2020-01-11,1442,expense related to investment management,4
274,2020-03-10,3494,expense related to treasury activities,7
275,2023-03-19,2834,expense related to cash management for businesses,2
276,2023-06-20,7966,expense related to customer acquisition strategies,9
277,2022-06-04,3232,expense related to checking account,1
278,2022-01-06,4543,expense related to savings account,1
279,2019-07-21,3897,expense related to training and development,8
280,2019-09-14,8867,expense related to training and development,8
281,2022-11-20,4088,expense related to commercial loans,2
282,2020-01-29,2157,expense related to capital market operations,3
283,2020-08-28,8845,expense related to cash management for businesses,2
284,2022-11-10,8591,expense related to customer acquisition strategies,9
285,2022-03-17,9462,expense related to market research,9
286,2021-08-12,6630,expense related to liquidity management,7
287,2023-01-13,9337,expense related to checking account,1
288,2020-01-13,1467,expense related to mergers and acquisitions,3
289,2020-05-30,1623,expense related to liquidity management,7
290,2021-12-17,5610,expense related to performance management,8
291,2022-09-18,3609,expense related to back-office operations,5
292,2022-08-18,7494,expense related to trading operations,7
293,2022-06-15,9984,expense related to commercial loans,2
294,2022-10-23,2630,expense related to trading operations,7
295,2020-08-16,1253,expense related to training and development,8
296,2022-02-28,2080,expense related to savings account,1
297,2023-01-30,3822,expense related to trade finance,2
298,2020-04-07,4705,expense related to compliance monitoring,6
299,2020-04-25,8692,expense related to cybersecurity measures,5
300,2022-10-19,3876,expense related to training and development,8
301,2019-11-10,9141,expense related to trade finance,2
302,2019-11-27,5842,expense related to market research,9
303,2021-11-11,6668,expense related to personalized advisory services for affluent customers,4
304,2020-02-17,9885,expense related to mergers and acquisitions,3
305,2019-09-04,7740,expense related to financial planning,4
306,2021-09-12,5424,expense related to financial planning,4
307,2021-06-21,5805,expense related to savings account,1
308,2023-01-29,5628,expense related to internal controls,6
309,2020-03-12,7791,expense related to technology upgrades,5
310,2021-04-15,8801,expense related to commercial loans,2
311,2021-12-04,3468,expense related to investment management,4
312,2021-09-22,2047,expense related to savings account,1
313,2021-07-21,2098,expense related to compliance monitoring,6
314,2023-06-29,3626,expense related to credit cards,1
315,2021-09-02,1661,expense related to commercial loans,2
316,2021-10-27,2761,expense related to savings account,1
317,2020-10-28,6454,expense related to personalized advisory services for affluent customers,4
318,2020-09-20,6880,expense related to internal controls,6
319,2021-03-22,3088,expense related to trading operations,7
320,2021-09-23,5668,expense related to customer acquisition strategies,9
321,2020-11-25,9093,expense related to internal controls,6
322,2020-12-04,3552,expense related to treasury activities,7
323,2022-05-17,1341,expense related to personalized advisory services for affluent customers,4
324,2021-05-08,5512,expense related to training and development,8
325,2022-08-11,8325,expense related to treasury activities,7
326,2021-12-15,7953,expense related to commercial loans,2
327,2020-07-14,3305,expense related to cash management for businesses,2
328,2022-10-28,1344,expense related to performance management,8
329,2020-08-31,9664,expense related to personalized advisory services for affluent customers,4
330,2021-08-13,4300,expense related to market research,9
331,2021-02-15,1399,expense related to customer acquisition strategies,9
332,2019-07-22,1659,expense related to trading operations,7
333,2021-09-08,6806,expense related to treasury activities,7
334,2022-10-07,6139,expense related to treasury activities,7
335,2022-07-05,7990,expense related to credit cards,1
336,2021-02-14,1031,expense related to checking account,1
337,2020-10-01,7837,expense related to risk assessment,6
338,2021-06-02,1365,expense related to risk assessment,6
339,2019-09-22,6826,expense related to treasury activities,7
340,2020-03-08,2096,expense related to risk assessment,6
341,2020-03-20,6663,expense related to trading operations,7
342,2020-06-24,8719,expense related to trade finance,2
343,2019-09-21,4359,expense related to trade finance,2
344,2020-07-11,3352,expense related to capital market operations,3
345,2021-09-10,3032,expense related to trading operations,7
346,2022-01-07,9885,expense related to compliance monitoring,6
347,2022-06-05,9191,expense related to treasury activities,7
348,2022-03-09,6384,expense related to liquidity management,7
349,2021-12-30,6806,expense related to employee recruitment,8
350,2023-05-16,4186,expense related to employee recruitment,8
351,2021-04-07,9640,expense related to cybersecurity measures,5
352,2020-05-05,9090,expense related to internal controls,6
353,2020-04-28,4142,expense related to capital market operations,3
354,2021-11-09,9874,expense related to checking account,1
355,2021-10-07,7920,expense related to marketing campaigns,9
356,2023-01-14,3683,expense related to back-office operations,5
357,2020-01-09,6783,expense related to marketing campaigns,9
358,2022-12-19,7972,expense related to risk assessment,6
359,2022-09-29,1774,expense related to employee recruitment,8
360,2022-02-05,1652,expense related to checking account,1
361,2020-12-20,8376,expense related to treasury activities,7
362,2020-01-02,4665,expense related to commercial loans,2
363,2020-03-25,7681,expense related to capital market operations,3
364,2021-11-20,8306,expense related to risk assessment,6
365,2019-07-13,4691,expense related to cybersecurity measures,5
366,2022-12-27,6760,expense related to compliance monitoring,6
367,2020-05-03,9914,expense related to liquidity management,7
368,2019-08-21,8691,expense related to employee recruitment,8
369,2020-06-17,8311,expense related to personalized advisory services for affluent customers,4
370,2021-07-23,9376,expense related to treasury activities,7
371,2023-03-30,3697,expense related to internal controls,6
372,2020-04-05,7811,expense related to compliance monitoring,6
373,2022-06-16,1806,expense related to training and development,8
374,2022-06-08,7955,expense related to capital market operations,3
375,2022-01-07,3292,expense related to compliance monitoring,6
376,2021-07-02,5961,expense related to savings account,1
377,2020-04-15,4577,expense related to treasury activities,7
378,2022-01-11,3046,expense related to cybersecurity measures,5
379,2021-06-16,8418,expense related to compliance monitoring,6
380,2023-01-15,4948,expense related to treasury activities,7
381,2023-01-29,2819,expense related to market research,9
382,2020-05-16,9439,expense related to risk assessment,6
383,2019-12-14,3556,expense related to performance management,8
384,2021-07-06,2145,expense related to savings account,1
385,2021-04-06,1173,expense related to back-office operations,5
386,2021-07-17,9907,expense related to financial planning,4
387,2023-03-31,5589,expense related to capital market operations,3
388,2022-01-04,3385,expense related to trade finance,2
389,2023-04-27,7823,expense related to cash management for businesses,2
390,2020-11-11,6308,expense related to cash management for businesses,2
391,2023-03-01,9603,expense related to marketing campaigns,9
392,2023-04-22,4826,expense related to liquidity management,7
393,2021-01-16,9297,expense related to training and development,8
394,2021-02-07,9195,expense related to back-office operations,5
395,2022-04-18,9424,expense related to checking account,1
396,2023-02-22,2809,expense related to mergers and acquisitions,3
397,2021-02-01,6128,expense related to treasury activities,7
398,2020-10-17,2833,expense related to trade finance,2
399,2019-08-26,9318,expense related to performance management,8
400,2020-05-14,9797,expense related to risk assessment,6
401,2019-08-22,3984,expense related to trading operations,7
402,2022-09-01,1280,expense related to credit cards,1
403,2021-08-17,7131,expense related to back-office operations,5
404,2022-02-12,1331,expense related to cash management for businesses,2
405,2019-12-04,4735,expense related to liquidity management,7
406,2020-02-07,5690,expense related to marketing campaigns,9
407,2023-06-28,8509,expense related to cash management for businesses,2
408,2021-08-02,2795,expense related to mergers and acquisitions,3
409,2022-03-11,7266,expense related to technology upgrades,5
410,2021-01-19,6437,expense related to compliance monitoring,6
411,2022-05-18,9942,expense related to savings account,1
412,2022-01-23,5734,expense related to employee recruitment,8
413,2022-06-16,2803,expense related to mergers and acquisitions,3
414,2020-02-22,9507,expense related to trade finance,2
415,2023-06-28,9670,expense related to market research,9
416,2022-12-29,5671,expense related to internal controls,6
417,2019-11-12,5654,expense related to trade finance,2
418,2019-12-07,9551,expense related to customer acquisition strategies,9
419,2023-05-29,7461,expense related to employee recruitment,8
420,2021-01-12,1372,expense related to employee recruitment,8
421,2020-10-12,3562,expense related to trading operations,7
422,2020-07-08,5721,expense related to customer acquisition strategies,9
423,2021-02-19,9851,expense related to performance management,8
424,2019-07-27,3052,expense related to marketing campaigns,9
425,2020-10-30,9216,expense related to compliance monitoring,6
426,2023-04-03,7109,expense related to credit cards,1
427,2021-03-22,5196,expense related to checking account,1
428,2020-02-07,2087,expense related to financial planning,4
429,2023-01-16,9851,expense related to capital market operations,3
430,2020-01-12,1304,expense related to performance management,8
431,2023-05-06,9997,expense related to financial planning,4
432,2019-12-04,3339,expense related to capital market operations,3
433,2022-06-09,2734,expense related to investment management,4
434,2021-09-15,2977,expense related to treasury activities,7
435,2021-11-26,4504,expense related to liquidity management,7
436,2022-01-09,5732,expense related to treasury activities,7
437,2022-09-18,8731,expense related to trading operations,7
438,2020-11-22,8315,expense related to risk assessment,6
439,2020-12-21,7226,expense related to capital market operations,3
440,2022-11-17,2886,expense related to treasury activities,7
441,2022-10-10,1620,expense related to checking account,1
442,2022-10-01,3992,expense related to internal controls,6
443,2020-08-17,4717,expense related to compliance monitoring,6
444,2022-05-13,7783,expense related to marketing campaigns,9
445,2021-10-01,9982,expense related to capital market operations,3
446,2019-07-22,7479,expense related to capital market operations,3
447,2023-02-19,4999,expense related to investment management,4
448,2021-07-19,4041,expense related to financial planning,4
449,2021-03-08,7646,expense related to customer acquisition strategies,9
450,2021-02-02,5707,expense related to capital market operations,3
451,2022-04-18,1987,expense related to trading operations,7
452,2022-11-06,6562,expense related to employee recruitment,8
453,2021-07-19,5264,expense related to training and development,8
454,2021-11-22,6653,expense related to training and development,8
455,2023-01-05,9485,expense related to market research,9
456,2020-07-08,8035,expense related to mergers and acquisitions,3
457,2020-07-22,8345,expense related to commercial loans,2
458,2020-03-30,5642,expense related to risk assessment,6
459,2023-03-05,9658,expense related to cybersecurity measures,5
460,2019-11-09,6218,expense related to risk assessment,6
461,2022-03-17,2432,expense related to compliance monitoring,6
462,2021-10-28,1226,expense related to employee recruitment,8
463,2019-10-28,7260,expense related to personalized advisory services for affluent customers,4
464,2019-09-14,4452,expense related to marketing campaigns,9
465,2020-11-24,5600,expense related to credit cards,1
466,2022-06-06,4661,expense related to internal controls,6
467,2022-09-28,2526,expense related to marketing campaigns,9
468,2020-03-01,9492,expense related to cybersecurity measures,5
469,2021-07-05,9751,expense related to capital market operations,3
470,2021-02-05,4573,expense related to mergers and acquisitions,3
471,2020-02-04,3095,expense related to liquidity management,7
472,2021-03-21,2511,expense related to customer acquisition strategies,9
473,2020-07-05,1074,expense related to personalized advisory services for affluent customers,4
474,2022-09-23,8334,expense related to liquidity management,7
475,2022-07-15,8861,expense related to market research,9
476,2020-08-18,6773,expense related to employee recruitment,8
477,2019-08-03,2223,expense related to capital market operations,3
478,2023-02-28,8670,expense related to mergers and acquisitions,3
479,2022-01-08,8650,expense related to investment management,4
480,2020-11-26,2408,expense related to commercial loans,2
481,2020-02-22,4650,expense related to commercial loans,2
482,2019-08-14,1678,expense related to employee recruitment,8
483,2021-01-22,3631,expense related to treasury activities,7
484,2021-03-19,3365,expense related to risk assessment,6
485,2022-01-26,4282,expense related to performance management,8
486,2019-10-29,1469,expense related to capital market operations,3
487,2022-07-28,7401,expense related to trading operations,7
488,2021-10-25,4528,expense related to trade finance,2
489,2022-07-29,1713,expense related to risk assessment,6
490,2023-01-04,1978,expense related to savings account,1
491,2023-02-03,1716,expense related to trade finance,2
492,2021-10-26,8691,expense related to capital market operations,3
493,2021-06-23,8231,expense related to customer acquisition strategies,9
494,2021-03-23,8507,expense related to trade finance,2
495,2021-12-19,6717,expense related to credit cards,1
496,2022-08-31,3633,expense related to capital market operations,3
497,2021-06-30,7877,expense related to personalized advisory services for affluent customers,4
498,2019-12-10,9291,expense related to employee recruitment,8
499,2020-07-12,6607,expense related to mergers and acquisitions,3
500,2021-02-25,3001,expense related to back-office operations,5
501,2022-07-29,5303,expense related to customer acquisition strategies,9
502,2022-11-26,9797,expense related to trading operations,7
503,2022-04-21,2261,expense related to cash management for businesses,2
504,2020-09-29,1142,expense related to employee recruitment,8
505,2020-10-19,1996,expense related to cash management for businesses,2
506,2020-02-11,1335,expense related to liquidity management,7
507,2022-09-05,8160,expense related to back-office operations,5
508,2020-10-28,5156,expense related to credit cards,1
509,2021-03-05,4058,expense related to internal controls,6
510,2020-01-29,3305,expense related to trade finance,2
511,2023-06-21,1655,expense related to compliance monitoring,6
512,2020-10-16,2859,expense related to customer acquisition strategies,9
513,2022-08-05,8761,expense related to trade finance,2
514,2021-02-24,7925,expense related to personalized advisory services for affluent customers,4
515,2019-08-09,3497,expense related to customer acquisition strategies,9
516,2020-01-24,5450,expense related to mergers and acquisitions,3
517,2022-01-21,2424,expense related to training and development,8
518,2022-12-20,8610,expense related to employee recruitment,8
519,2023-02-23,5349,expense related to capital market operations,3
520,2021-09-11,4651,expense related to credit cards,1
521,2019-07-17,6192,expense related to commercial loans,2
522,2023-02-18,6031,expense related to performance management,8
523,2021-01-10,9826,expense related to customer acquisition strategies,9
524,2020-09-22,4451,expense related to treasury activities,7
525,2021-02-09,6460,expense related to investment management,4
526,2020-02-08,6046,expense related to internal controls,6
527,2022-03-02,8929,expense related to financial planning,4
528,2020-05-17,1952,expense related to mergers and acquisitions,3
529,2021-10-04,9358,expense related to market research,9
530,2022-05-22,2771,expense related to technology upgrades,5
531,2021-01-23,4025,expense related to capital market operations,3
532,2021-05-27,3835,expense related to cash management for businesses,2
533,2023-04-17,9905,expense related to capital market operations,3
534,2022-09-07,7821,expense related to training and development,8
535,2023-04-16,5171,expense related to trading operations,7
536,2020-08-25,6429,expense related to financial planning,4
537,2023-04-01,5621,expense related to customer acquisition strategies,9
538,2020-12-20,7891,expense related to investment management,4
539,2022-02-05,2615,expense related to performance management,8
540,2020-02-29,8831,expense related to training and development,8
541,2022-01-11,4993,expense related to risk assessment,6
542,2020-07-20,8191,expense related to mergers and acquisitions,3
543,2023-05-11,4889,expense related to training and development,8
544,2019-11-29,6774,expense related to compliance monitoring,6
545,2023-05-09,4173,expense related to performance management,8
546,2020-10-02,4979,expense related to employee recruitment,8
547,2021-06-26,9598,expense related to back-office operations,5
548,2020-04-12,7832,expense related to cash management for businesses,2
549,2021-10-30,7830,expense related to personalized advisory services for affluent customers,4
550,2022-06-22,3547,expense related to marketing campaigns,9
551,2021-01-27,2431,expense related to financial planning,4
552,2022-01-13,3611,expense related to training and development,8
553,2019-08-07,1128,expense related to compliance monitoring,6
554,2022-10-28,9321,expense related to back-office operations,5
555,2022-11-15,2290,expense related to commercial loans,2
556,2023-03-22,5304,expense related to savings account,1
557,2022-08-28,9383,expense related to capital market operations,3
558,2020-01-12,3894,expense related to treasury activities,7
559,2023-02-10,3544,expense related to marketing campaigns,9
560,2019-09-22,8422,expense related to performance management,8
561,2019-08-24,4315,expense related to trading operations,7
562,2021-04-30,7171,expense related to capital market operations,3
563,2020-08-26,4292,expense related to internal controls,6
564,2020-01-24,3586,expense related to capital market operations,3
565,2021-08-08,4138,expense related to trade finance,2
566,2023-02-12,5466,expense related to commercial loans,2
567,2022-05-21,2686,expense related to training and development,8
568,2022-08-14,7007,expense related to liquidity management,7
569,2020-04-13,8873,expense related to commercial loans,2
570,2022-10-10,8931,expense related to performance management,8
571,2021-12-28,4086,expense related to training and development,8
572,2022-07-03,7034,expense related to capital market operations,3
