application,property_id,loan_type_id,loan_amount,customer_id,account_id,applied_date,employee_id
54,62963,38,23902.31,18673,17170,2018-03-24,20927
55,36366,14,83723.58,77899,27111,2011-08-01,7058
56,81949,7,58398.7,45797,32983,2016-09-24,11811
57,97880,22,48531.92,8875,14844,2006-11-01,25980
58,14947,25,8806.67,25508,1054,2009-05-20,38876
59,82979,1,3880.81,6170,18463,2018-02-12,5645
60,8720,18,20115.46,14674,2144,2016-07-29,31828
61,73032,16,6447.15,58524,14019,2021-12-06,8672
62,72179,30,12418.7,16838,19777,2006-12-07,19841
63,30817,24,29203.51,1618,3973,2015-07-08,16875
64,82830,19,25162.48,42172,31688,2012-08-11,25358
65,23191,18,49875.69,29423,9813,2013-10-09,34745
66,8961,20,30073.79,94911,23531,2011-10-27,22535
67,75529,30,64153.62,30082,18089,2021-05-21,19920
68,31699,15,34327.23,92440,18418,2010-10-14,5601
69,35007,3,25576.67,77688,28222,2021-04-16,39529
70,16166,37,44912.1,70874,10211,2017-07-26,37759
71,41286,1,17952.9,42928,23742,2020-01-20,10953
72,42485,14,52234.9,90338,23414,2010-09-01,17487
73,25132,37,2395.75,40759,22597,2020-06-25,36053
74,78725,16,4172.33,75396,28662,2022-01-05,33133
75,9549,19,73506.49,78344,18858,2021-02-23,16519
76,59102,7,55676.14,96414,10750,2014-05-31,12900
77,62905,23,63521.78,9887,24205,2011-11-06,33788
78,91618,5,23176.83,72185,22956,2018-05-19,33760
79,66289,35,98396.61,19151,513,2009-10-09,16995
80,68960,39,52339.76,70532,26132,2020-10-15,22695
81,31590,27,71698.55,48211,23757,2021-04-22,3539
82,10582,35,17971.99,95840,2944,2007-10-19,3120
83,15163,11,474.55,43308,4498,2006-08-22,8234
84,1774,23,34548.89,97287,3496,2023-06-08,16569
85,48059,7,37354.69,49377,32909,2005-11-11,10087
86,76307,6,8190.4,80680,328,2006-05-26,34814
87,1682,39,27812.97,98926,22071,2009-01-21,15985
88,81127,20,4567.49,82092,30982,2008-01-29,23307
89,74376,4,86593.59,89786,16081,2020-01-14,4504
90,88689,18,13132.69,48689,11604,2005-12-25,15691
91,85438,4,55219.55,41787,20079,2012-04-13,32084
92,68833,38,20567.6,79916,17990,2016-09-09,33184
93,29920,9,70597.61,62793,32637,2010-11-04,35602
94,90028,18,90712.32,76153,3766,2012-01-13,7672
95,49177,19,16363.46,72654,16382,2015-04-02,15906
96,96194,8,62077.82,35059,16738,2009-04-04,11665
97,68528,21,90080.61,69711,13925,2007-05-14,16867
98,70051,22,47949.4,58527,18140,2007-07-10,23433
99,35403,21,6638.3,14989,21305,2010-06-17,27680
100,10350,39,48782.88,8964,15768,2013-08-27,15971
101,17215,36,34128.71,14513,19301,2021-05-10,1743
102,86768,15,47874.78,38688,28576,2004-08-17,36407
103,62899,21,81323.57,97252,26559,2015-10-13,24187
104,47875,27,44576.78,92260,9681,2012-10-24,23474
105,17868,14,68970.5,40197,21211,2020-12-24,32284
106,89405,25,22077.92,21043,11204,2006-11-17,7627
107,9340,35,90182.5,21953,21752,2013-06-11,5411
108,56399,9,38974.9,28679,15583,2019-08-29,9330
109,67544,25,61650.41,38930,1198,2018-07-04,33876
110,61410,27,75238.1,47888,4023,2005-03-18,15802
111,83490,26,71431.79,26722,25696,2021-06-30,4943
112,29497,11,14549.58,44907,25639,2007-05-12,32488
113,47817,2,66406.48,16090,30549,2006-07-09,36021
114,72682,35,43627.29,25621,15973,2020-11-13,17030
115,7949,39,18859.82,84139,28616,2021-10-17,22563
116,57314,17,17066.53,90871,5684,2007-06-15,37093
117,80567,8,62421.26,68945,5277,2017-05-08,30373
118,47634,24,29256.91,37552,278,2006-01-02,9777
119,33109,22,6218.61,69365,6669,2020-11-30,31616
120,16522,19,13994.44,69133,17690,2010-10-17,24758
121,2381,36,70065.77,47812,14385,2018-06-28,11504
122,95689,35,83945.3,19822,3067,2019-02-16,4658
123,64421,40,29634.53,54422,24740,2021-12-08,27562
124,44419,36,46205.54,47645,17086,2006-05-05,6805
125,99868,21,94019.79,51642,16055,2014-04-26,26488
126,89851,39,63688.16,87595,33086,2019-01-11,28574
127,64143,38,99659.69,47297,16344,2011-01-17,5477
128,86677,8,10161.27,91797,9444,2010-11-19,7452
129,28384,40,46087.28,43421,7563,2021-10-19,20690
130,26060,34,61598.9,83318,27958,2009-02-18,34108
131,97619,23,22072.26,7946,16040,2020-01-24,23329
132,43529,25,47641.3,66297,3162,2016-01-30,11139
133,5881,10,29000.3,1859,6084,2017-11-17,33986
134,44673,27,98214.9,16768,30116,2022-10-26,13787
135,69609,5,90094.14,19063,2009,2016-01-27,38360
136,94346,14,51161.74,40954,1785,2004-01-31,33826
137,97637,25,24654.73,66801,26687,2013-04-18,31423
138,99651,30,46355.21,4742,3213,2021-12-30,37888
139,30176,5,97638.64,15878,14020,2014-01-21,28149
140,35510,6,55714.28,30044,14159,2012-07-19,26520
141,81600,23,12116.94,61262,8052,2018-11-14,1542
142,16651,23,9452.18,63716,7769,2008-02-26,10153
143,7770,25,97735.73,63389,7498,2019-12-10,24412
144,88626,21,2195.31,94357,4513,2014-09-15,18064
145,73825,12,30321.4,5142,27100,2014-08-28,8789
146,5997,40,53261.52,97883,4287,2014-02-05,3697
147,58756,38,2273.91,17220,23778,2011-07-08,31570
148,53187,30,6382.73,42125,27383,2006-02-22,5164
149,72713,40,32580.88,69949,4961,2013-10-04,35455
150,34423,24,68208.12,90570,18034,2014-05-31,28332
151,50762,40,6759.72,8470,28076,2017-06-13,36232
152,88514,30,28956.9,74376,21145,2019-04-22,8187
153,52051,3,21216.68,29015,2047,2011-05-08,29989
154,47951,30,44395.77,42127,1446,2018-12-03,4006
155,59652,14,88141.69,39078,23045,2007-11-13,23834
156,66525,21,86582.14,31605,30478,2009-08-03,35786
157,90207,30,45837.7,69845,2220,2005-02-02,39885
158,8547,26,89124.37,24372,11545,2014-09-21,2659
159,80766,6,91123.33,50666,25962,2005-09-30,23398
160,27300,26,12852.15,38499,9944,2018-04-07,34397
161,81571,38,22051.9,47738,20772,2022-08-31,3372
162,92161,31,88410.19,76605,9272,2022-03-15,20426
163,90715,40,7965.83,74855,31877,2017-02-11,32173
164,63876,28,28174.33,92628,26837,2015-09-22,24714
165,73901,4,83258.91,34020,19427,2004-11-26,5669
166,64062,20,7358.55,11685,2450,2020-02-23,27032
167,24222,18,45387.4,59330,25914,2023-01-28,18184
168,83977,16,51701.41,82087,2838,2012-11-05,11987
169,87907,25,91217.53,61551,3540,2015-10-27,4891
170,8773,17,86531.52,94474,26479,2020-06-18,22002
171,30838,31,92270.73,66221,4081,2017-03-03,12611
172,21606,31,79883.3,46367,21326,2023-01-07,36066
173,96026,40,83091.3,64256,5950,2009-04-18,29915
174,679,14,57570.15,16653,23068,2012-03-11,1515
175,13384,21,39799.64,55675,5828,2010-01-19,4664
176,86757,12,45966.56,90051,21179,2021-11-05,1146
177,20354,31,74980.19,98955,11414,2008-01-02,26422
178,27697,37,12693.75,97893,26745,2013-04-17,21553
179,50039,8,94676.93,94796,31982,2009-10-05,29912
180,15017,4,2687.37,51466,25940,2012-03-17,37395
181,99320,16,631.98,60580,13655,2014-03-25,36856
182,96543,9,96687.95,27118,30704,2012-07-26,35551
183,48129,36,72784.66,43922,8918,2003-08-11,25475
184,36741,26,10880.87,35112,10599,2017-01-24,30016
185,88528,27,86716.35,69485,4865,2004-07-22,12685
186,18872,8,79469.24,6062,15422,2022-04-28,36804
187,36889,20,33417.16,94055,9193,2008-02-03,24672
188,54400,24,82863.48,69534,29714,2014-06-25,21407
189,68481,19,35955.65,97854,27324,2010-09-15,18407
190,36533,13,73474.9,3663,32166,2005-03-06,24315
191,77555,28,24351.5,12232,15740,2020-05-25,17090
192,83997,1,47625.82,59201,13964,2022-04-28,7988
193,5647,32,21429.87,62813,21797,2013-02-27,28792
194,60516,17,80954.91,87480,1109,2008-01-17,10033
195,15451,26,91403.7,97088,13142,2021-11-08,15860
196,24559,6,25106.94,83723,6458,2009-09-30,10202
197,74173,17,7930.24,82221,20222,2003-07-13,7662
198,59523,21,83617.66,70995,682,2018-12-31,33548
199,60471,15,62732.91,90830,6601,2005-04-17,29500
200,95873,26,24184.67,63919,24626,2018-11-05,21914
201,1061,19,76476.71,19677,11301,2007-11-16,3338
202,71837,3,40536.39,11979,13932,2007-08-04,36250
203,57601,10,49970.17,16285,5801,2021-04-11,23900
204,37809,8,668.24,65729,28315,2003-11-05,35229
205,2315,14,35451.19,16111,3030,2008-12-15,14618
206,14556,36,37101.5,24411,20815,2012-03-08,29882
207,74455,24,55194.94,54013,14998,2004-10-04,10502
208,74535,9,52001.72,72218,5301,2013-12-11,32800
209,58446,39,51524.3,83400,31279,2021-11-25,13811
210,73007,30,91780.54,5751,7556,2009-04-10,4163
211,44116,29,43133.43,6766,724,2012-10-16,39652
212,75705,11,33793.85,42857,17525,2015-10-17,25561
213,21876,24,94876.98,39134,21274,2012-09-28,2230
214,33176,17,7464.87,70341,6626,2020-01-13,17939
215,21635,7,95165.76,80550,18216,2012-01-10,35053
216,52736,28,64591.84,77102,6370,2021-07-23,33147
217,58884,28,27331.71,47564,23910,2014-09-15,8403
218,84964,3,65335.61,62187,22074,2004-04-20,28526
219,76522,1,38226.19,54288,12627,2014-09-06,32383
220,16457,6,98743.31,16946,25681,2004-04-27,27077
221,43724,21,60810.34,63250,4958,2007-11-21,3484
222,54667,6,95528.1,74591,25960,2019-08-12,2894
223,88054,35,7032.5,33605,2743,2004-12-27,6894
224,92609,7,79473.78,70658,18457,2007-12-19,26644
225,75311,12,42300.95,57291,26447,2004-08-30,13967
226,61599,14,95175.76,50946,19217,2012-06-23,17862
227,32089,26,44892.2,17048,7783,2016-01-01,25773
228,82503,34,40513.79,54381,1911,2017-05-11,1276
229,96129,22,12345.58,49432,9638,2003-06-29,34130
230,20078,40,34958.69,15756,31572,2006-01-06,24511
231,68968,5,45328.51,40374,923,2005-09-19,25632
232,80884,33,41346.17,17287,18227,2005-12-07,14782
233,68477,10,64264.52,63584,3964,2012-12-29,12611
234,35762,14,78777.26,24434,18512,2015-11-06,17016
235,12564,36,59121.18,52557,23602,2017-07-27,34776
236,277,10,23014.34,62739,18495,2012-03-18,22800
237,30328,30,40213.4,8330,13854,2017-10-11,3440
238,41895,37,92711.32,81160,12579,2016-03-22,13389
239,31681,11,54566.9,17434,21064,2013-02-23,37317
240,84610,26,9831.23,32757,15113,2007-02-02,12840
241,73987,22,931.87,75017,18782,2003-11-12,19617
242,52083,16,8768.38,87606,22078,2016-02-20,20581
243,59123,9,6284.4,82673,31950,2016-05-23,20370
244,1478,12,35056.46,31093,16321,2022-07-31,24007
245,16268,24,78554.5,87928,24540,2023-05-10,24989
246,448,4,69933.55,97049,30427,2007-09-18,18939
247,5688,7,98794.31,46836,7531,2003-12-22,30733
248,71698,30,34997.79,85704,1098,2009-03-26,18531
249,60283,4,33889.78,16727,22127,2010-09-11,26163
250,38991,38,85031.23,92051,6345,2012-07-08,23381
251,99771,3,29578.43,78870,6922,2015-07-10,38510
252,70000,32,29875.8,68057,21009,2011-10-08,30907
253,47461,9,55399.45,23140,29412,2020-08-25,36117
254,6279,37,75833.99,38073,1457,2021-09-13,5800
255,94490,7,98790.3,68954,11790,2021-01-11,8068
256,67671,37,98695.78,21458,22414,2023-06-05,28830
257,33640,24,50062.6,99428,16361,2008-03-02,1590
258,35278,37,6775.37,82057,19121,2021-05-12,32290
259,62032,16,19171.66,51601,3125,2022-08-12,13143
260,91885,28,3636.72,45794,5339,2017-05-27,23585
261,63082,17,78744.72,43493,21205,2018-05-26,3641
262,39106,9,64452.36,2458,21206,2018-07-28,39322
263,41159,39,17193.89,47952,9117,2011-01-08,31692
264,48528,7,40620.44,60087,13253,2018-02-11,15119
265,60667,12,82391.25,61745,32965,2019-07-11,637
266,16704,22,12031.2,43128,21061,2018-12-26,1692
267,76282,21,38964.75,24426,18099,2014-10-03,21727
268,50260,37,40970.8,25160,21214,2009-12-27,12484
269,43999,34,96012.59,32255,28062,2009-12-14,13413
270,93429,1,97273.78,86527,26433,2003-12-02,28304
271,25070,36,27839.4,79051,7085,2012-07-21,21617
272,54698,21,59652.77,7600,18645,2007-09-10,11931
273,25381,24,67306.53,93521,15560,2017-11-12,38747
274,17488,21,16163.96,17479,5093,2012-01-06,33577
275,32891,4,64119.13,90882,16589,2021-07-26,36473
276,56310,38,87403.74,75896,17586,2014-03-15,39539
277,91554,33,21055.2,74132,17367,2010-08-29,9497
278,96946,20,72044.62,32599,138,2023-01-07,19076
279,18408,14,90498.49,43482,11252,2014-10-28,23431
280,4274,23,68332.72,99863,7605,2018-02-01,28397
281,77305,31,18112.32,87232,2912,2006-01-15,35860
282,40218,22,29780.52,19826,16213,2009-09-25,32264
283,26783,14,32067.1,51300,25635,2008-05-15,36756
284,1313,40,67184.2,99102,32519,2021-04-06,32883
285,66888,27,35421.41,11642,30177,2010-11-27,28069
286,23846,31,27895.87,71401,28640,2003-10-18,27225
287,96668,15,60153.75,84483,25632,2006-09-16,5490
288,15369,34,46743.6,99636,20405,2021-12-29,1361
289,66304,4,13036.64,76890,18269,2020-08-06,25996
290,69564,15,61442.43,99117,28083,2006-07-24,7102
291,91496,28,88354.8,13199,28494,2022-07-25,23370
292,97700,26,16361.94,53796,31669,2019-05-04,31763
293,4177,22,39790.3,74572,1387,2006-01-01,17217
294,27790,23,76918.42,43740,27021,2018-02-15,29642
295,95938,29,5731.2,2907,19807,2015-08-08,10146
296,41865,27,66288.7,65948,27029,2018-02-16,14225
297,8313,17,79682.89,64394,1149,2010-01-05,37954
298,65769,18,66009.23,45379,22482,2014-03-17,12218
299,90373,36,49145.29,12161,23065,2017-10-26,4062
300,31295,38,8135.81,60401,28670,2019-04-02,16547
301,8993,29,47886.64,4827,25458,2012-08-22,21577
302,24166,12,90095.89,3458,6742,2010-09-11,3957
303,20127,19,90775.55,45410,10727,2013-09-06,19644
304,59517,11,2919.93,36869,18701,2004-04-08,36186
305,38172,20,61280.45,25951,22933,2022-08-29,11154
306,15215,28,80815.84,48039,9374,2006-11-23,29656
307,96476,5,75953.36,39641,25032,2004-10-04,25973
308,87722,16,28959.61,95489,6710,2009-10-21,35282
309,3384,38,49587.37,45015,15533,2010-01-26,22592
310,65689,27,41292.41,63481,2385,2005-06-21,10285
311,99626,38,58490.4,37753,21835,2005-07-01,3177
312,88750,3,68698.27,49941,19063,2012-09-09,8615
313,93065,11,56762.81,19711,3348,2019-11-29,29885
314,3457,3,52336.93,94039,14568,2019-11-09,21218
315,10707,36,54268.68,33556,20250,2016-02-11,33051
316,8709,10,58664.98,34814,24524,2005-09-19,24121
317,91314,5,64542.57,27672,9067,2005-08-27,25242
318,72075,39,12198.64,69621,16875,2018-08-29,6106
319,51512,10,98732.59,91296,21483,2008-04-12,3146
320,70717,38,95462.11,49375,9134,2016-05-21,21975
321,5855,29,3563.29,52596,10784,2018-04-30,31625
322,28938,35,45000.11,4418,16016,2009-11-16,3717
323,86157,29,55876.7,95429,26783,2010-12-31,11752
324,93390,26,53821.27,18411,7639,2012-08-30,30944
325,9483,40,16393.21,34947,1019,2015-09-02,39677
326,13769,17,3049.58,47598,17309,2014-02-08,22360
327,9853,8,16494.43,78373,5566,2023-05-11,35257
328,18013,31,94895.21,38851,16185,2009-04-07,15089
329,91114,29,83666.66,68375,18262,2023-01-26,13204
330,82172,5,68827.9,49455,33088,2005-09-30,24648
331,53844,4,9191.7,86444,22540,2005-08-29,9059
332,43246,39,73715.1,51723,30115,2011-04-18,38588
333,11472,13,19415.56,13838,13350,2023-02-11,21341
334,57736,26,86901.94,2279,7467,2008-01-13,8725
335,1987,26,60314.65,44914,19002,2003-08-21,25631
336,20183,38,93957.62,40751,17168,2015-03-25,37563
337,64037,11,46647.87,50322,31159,2013-04-10,24808
338,40050,3,57738.73,29793,31267,2013-05-02,8719
339,48931,29,2166.45,66088,5298,2005-12-27,3912
340,62402,20,37719.79,69454,31436,2007-12-10,23220
341,13330,37,52503.36,87562,18767,2011-03-05,8357
342,74516,26,30054.86,16389,4431,2015-06-29,6513
343,80878,16,96079.75,12581,9354,2006-02-22,15890
344,7856,3,70601.61,53340,16714,2010-06-22,34197
345,54817,9,88608.23,68408,3720,2020-04-15,29232
346,66528,28,35460.32,13725,30554,2004-10-09,788
347,13558,35,88412.95,20339,21111,2021-03-11,19314
348,17289,15,89070.28,50061,12976,2017-05-09,15052
349,89696,36,74641.58,70438,15044,2010-10-30,22072
350,91379,19,50185.87,51469,15000,2023-04-16,28486
351,76146,19,39667.24,9492,33094,2018-04-10,7153
352,50708,36,61750.2,2912,7069,2012-09-16,38924
353,61349,24,44159.6,72714,7840,2004-02-23,8679
354,22378,39,37603.1,20903,10386,2004-04-05,26300
355,85234,19,7400.45,25692,11710,2006-01-05,34948
356,82277,14,29541.21,32398,17499,2012-05-13,13749
357,41663,32,64117.24,4208,9753,2003-10-16,26612
358,72796,2,41918.7,77081,2754,2022-03-12,1723
359,69203,32,52659.21,76799,18492,2015-09-27,4321
360,24638,5,48234.32,62351,8271,2018-06-23,26625
361,61936,6,7868.44,53269,31688,2015-02-21,8074
362,39574,7,96107.9,50728,26393,2005-08-17,9562
363,22405,19,37377.89,64452,13526,2005-01-08,39792
364,11994,4,52232.49,19739,23254,2022-09-20,36261
365,45234,30,36631.35,78976,18196,2019-06-07,24465
366,69828,38,66339.19,21450,13809,2020-02-08,27605
367,97715,17,40302.1,71912,21647,2017-10-06,10888
368,8006,24,61570.59,11607,9759,2011-05-01,28981
369,74112,6,96437.93,13765,10555,2023-02-01,33212
370,50882,27,45225.7,7024,15505,2021-12-02,2045
371,71092,23,3222.8,14332,7247,2014-06-11,39592
372,52502,12,23663.96,28645,33343,2014-01-18,12741
373,52326,9,92024.13,45892,4741,2016-05-27,8830
374,9692,6,42750.6,5570,10458,2020-01-10,33267
375,80261,7,34775.71,20892,32420,2006-01-31,23341
376,32498,12,65156.67,51202,15227,2016-06-01,28433
377,92344,36,12575.45,69472,22941,2017-02-16,4314
378,38120,12,87068.43,61390,30384,2004-05-19,17481
379,15066,38,48079.7,24050,30294,2012-06-17,31107
380,44341,10,62254.32,97636,28870,2008-08-24,36408
381,54630,18,38502.52,76489,10778,2023-02-13,22980
382,60798,25,23177.1,98185,12088,2007-09-17,4224
383,40030,33,76649.3,94002,5570,2021-03-08,34055
384,7839,8,35048.37,92021,9359,2010-01-03,22138
385,56312,34,18781.22,85003,11454,2015-09-23,19984
386,80774,25,85705.57,93234,3157,2009-07-11,33383
387,97261,32,82200.38,39408,22716,2011-11-30,22953
388,16100,3,54441.29,36771,7870,2006-08-01,20703
389,62210,17,27056.7,79046,29866,2017-05-03,7787
390,60327,17,41656.69,19880,30319,2011-02-06,32560
391,16934,21,42179.88,91774,32468,2006-02-12,31994
392,31069,15,30907.81,62140,79,2020-08-05,17895
393,17441,12,88110.35,80084,20405,2020-11-05,9087
394,77685,39,22784.67,73437,29773,2014-05-17,16710
395,82435,11,74479.1,95679,28480,2011-02-24,19628
396,80865,16,97195.15,95667,24290,2009-02-13,8169
397,35244,27,7272.43,3940,27578,2019-03-25,4038
398,71830,12,76182.38,17693,12644,2019-11-02,27428
399,17929,32,59445.39,64462,7863,2006-03-04,23509
400,78763,23,29090.1,14585,4381,2015-12-12,6404
401,42533,30,8573.35,74329,27137,2021-11-24,32191
402,50865,24,72774.73,48671,25030,2011-05-12,12364
403,69066,27,10819.17,283,23057,2008-09-30,13773
404,12737,34,16721.83,74362,15829,2006-02-04,33346
405,64304,27,52840.97,86761,3592,2023-04-29,32167
406,317,6,46915.48,50179,3935,2015-07-30,33175
407,69534,33,89259.99,52702,26367,2014-01-04,35565
408,5792,7,82079.15,80211,22772,2021-10-05,21909
409,32945,33,84310.71,55089,18193,2009-06-06,3516
410,9611,29,32219.51,296,18782,2005-06-15,21705
411,73887,13,18298.7,10063,4099,2003-12-12,3851
412,70589,35,43798.15,70743,6057,2013-06-16,32716
413,18430,16,73494.8,93426,10013,2013-09-08,19379
414,26066,15,58421.79,29334,26399,2007-10-26,12539
415,40218,25,23502.47,17859,2629,2013-09-27,31001
416,85625,27,60280.49,58311,11240,2005-11-29,32810
417,74038,25,64422.92,16292,12274,2015-05-16,28887
418,79468,23,46741.6,11608,11714,2022-09-28,31244
419,6210,20,31690.98,37163,15359,2013-06-06,17701
420,68100,25,96377.15,40084,9005,2007-12-25,11978
421,31407,5,9506.8,10288,27900,2022-12-02,25273
422,36478,14,10428.93,99493,29564,2008-10-26,31380
423,77903,18,58493.45,4524,21025,2003-10-29,18470
424,37779,26,30090.25,65516,26439,2018-01-30,8118
425,51730,17,77655.93,34727,13890,2008-08-29,34612
426,39825,8,32984.44,9096,11931,2006-06-01,2822
427,92195,16,16668.58,36258,23894,2003-10-21,3241
428,77154,19,25791.49,61014,17936,2012-03-31,10428
429,43118,31,87627.83,23945,11855,2010-11-23,21044
430,37908,5,91521.81,24611,31750,2012-02-18,33269
431,25615,17,76031.68,97642,3108,2007-04-27,26171
432,97899,15,55054.56,18041,29760,2004-10-31,33706
433,14839,6,58014.86,4972,1882,2006-08-24,31090
434,41446,13,92962.13,72608,29775,2020-08-15,10206
435,39110,2,93481.47,40006,20913,2008-12-18,13337
436,75898,27,53679.46,62030,17628,2007-01-02,19416
437,83577,32,86893.22,47648,16883,2007-01-22,14847
438,3412,5,43622.54,49833,3773,2018-12-03,21182
439,51460,22,44878.83,69009,30841,2010-06-19,26625
440,77349,11,61466.4,10810,1716,2018-03-21,16605
441,74611,37,27915.32,83056,24525,2005-04-01,3260
442,96416,3,84330.1,63383,25570,2017-10-23,12632
443,43893,19,19027.93,24438,4145,2008-02-21,1273
444,4510,17,27677.99,12400,12833,2008-01-25,21708
445,56288,2,93155.9,11216,3961,2009-04-19,30275
446,23280,24,57298.93,9629,24866,2005-10-07,687
447,30549,5,49588.83,54836,25359,2005-11-16,31183
448,49383,37,76494.7,69481,24825,2017-08-20,18109
449,88833,5,63826.51,66471,18619,2004-06-29,7844
450,91793,8,19384.4,78045,25799,2019-04-27,39686
451,23970,19,44353.89,73340,15739,2018-10-03,23213
452,91093,34,90362.97,3155,19301,2011-03-06,35986
453,14638,31,23627.61,57260,20524,2011-01-30,2834
454,774,34,87121.97,98637,2551,2007-04-24,27185
455,35812,37,34783.48,65778,27836,2006-11-01,15187
456,59460,27,60366.1,52462,13554,2009-01-15,13828
457,9984,27,32308.21,4895,453,2006-03-23,19790
458,35826,12,38616.6,56663,15754,2013-04-23,24121
459,60984,34,68571.38,55930,27997,2019-01-16,8094
460,58464,19,59831.7,9210,9219,2004-11-24,30579
461,43584,25,24240.78,80574,32512,2021-03-27,22478
462,56663,27,69488.63,46458,5319,2017-03-02,5630
463,74205,23,56163.4,945,27308,2004-05-26,17287
464,64685,3,21314.6,19119,9297,2007-07-26,27939
465,54163,37,55186.75,69658,25737,2012-10-21,7186
466,39417,21,26374.96,86777,15671,2005-06-21,13091
467,33839,34,8083.54,64611,10027,2021-12-03,31319
468,86705,2,22131.58,76220,1918,2020-02-07,37837
469,95470,4,64448.38,12324,12319,2017-05-15,2103
470,78390,14,50583.9,8683,29902,2011-01-05,17723
471,95947,38,12883.6,17186,26369,2005-07-14,21114
472,73992,25,81635.52,5629,23482,2016-11-26,13378
473,77826,20,7423.83,34580,18669,2015-04-28,33960
474,94707,4,97071.12,43480,20480,2005-02-24,25231
475,86278,15,32702.9,74891,20959,2016-11-11,21323
476,29252,20,22854.2,99052,20481,2006-03-09,38971
477,33806,30,14160.4,74707,15143,2010-10-06,32386
478,10699,23,94879.28,21994,25451,2021-07-20,18985
479,83770,34,2904.39,10147,17869,2015-10-19,15294
480,72488,23,94907.49,50359,12968,2010-04-26,9640
481,34430,31,38741.78,16627,29279,2006-10-13,7917
482,56386,18,42529.48,6978,25052,2022-11-13,11268
483,89270,15,37562.73,32673,21911,2004-01-27,31529
484,26992,35,95162.13,87490,21708,2014-08-30,5955
485,49513,4,46118.23,14270,15281,2015-03-08,3354
486,56952,24,30367.72,54401,25737,2017-01-28,18921
487,60088,23,5539.91,97830,9085,2021-12-23,36204
488,4897,14,82208.58,79711,24069,2005-01-29,12821
489,88158,7,70708.11,27355,10757,2019-05-27,16539
490,97777,3,87177.8,11973,22097,2018-10-25,17265
491,29144,25,87492.95,89781,4727,2008-06-15,20418
492,82987,32,54076.85,54900,28657,2020-10-23,29869
493,18742,22,85955.25,72320,31901,2010-10-26,17066
494,23846,5,32520.8,41882,11385,2013-01-10,4203
495,30810,29,71243.91,40916,11989,2018-04-17,35885
496,65958,3,89902.55,11277,6581,2014-11-09,25395
497,17948,23,28458.51,76883,23373,2011-08-30,17476
498,36498,11,17410.82,73571,19043,2008-04-30,4290
