Collected,Brokerage,Assured,Target,Calls Completed,Calls Remaining,Date,City
5151,3871,837,12999,27,15,11/25/2023,Houston
6354,3204,1088,11723,23,23,10/8/2022,Joliet
6504,3283,1253,7496,27,15,9/5/2022,Topeka
5035,4654,1913,8613,20,19,3/13/2023,Akron
9500,6111,587,10118,29,20,2/14/2023,San Antonio
6483,2823,1770,12344,16,21,3/1/2023,Baton Rouge
8339,3867,1764,9423,26,14,8/21/2022,Nashville
8792,4833,1758,7403,20,13,7/6/2023,Rockford
7060,6943,1066,8907,27,25,5/14/2023,Cheyenne
6193,7283,1331,7503,29,24,7/27/2023,Baton Rouge
9889,7035,1285,10923,24,18,4/25/2023,Springfield
5814,4640,1682,9155,15,22,4/10/2022,Fresno
8543,3627,1528,11073,21,16,8/29/2023,Augusta
6393,6935,1906,12571,26,13,10/17/2022,Gaithersburg
9218,7292,820,10978,16,17,11/21/2023,Montgomery
7120,2692,938,7489,22,13,12/18/2022,Auburn
8301,5155,1500,12740,28,18,10/22/2023,Anchorage
6401,2584,1470,7828,23,15,7/21/2023,Montgomery
8140,7682,855,11122,21,23,1/28/2023,Omaha
5425,6449,1510,12158,25,14,3/23/2022,Nashville
5023,7438,1348,9022,19,15,6/22/2023,Athens
7414,3346,503,7457,15,16,9/29/2023,Meridian
6843,2898,1982,10502,15,24,7/11/2023,Auburn
9243,4743,1241,9946,21,25,10/22/2023,Boston
9849,7408,1360,9080,29,22,10/22/2023,Essex
8097,7942,1581,12272,30,24,7/8/2023,Gresham
9977,2868,1542,11642,20,21,8/19/2022,Springfield
5565,6592,1691,12934,24,19,1/27/2022,Eugene
6732,2783,1024,12989,20,13,7/6/2023,Seattle
9386,5249,1136,13399,28,19,8/8/2023,Kaneohe
9104,7130,1644,9072,26,25,12/25/2023,Billings
7896,7271,1148,12652,19,23,11/29/2022,Lincoln
8755,5826,1925,8681,29,22,7/18/2022,Racine
6254,6528,1626,13848,27,24,7/23/2023,Cincinnati
9374,2111,860,7169,26,22,11/1/2023,Sandy
6464,2847,1113,7840,26,20,6/25/2022,Lansing
9423,4369,501,12587,22,20,6/5/2023,Fort Smith
5293,7778,679,7535,19,19,1/21/2023,Laramie
9859,5667,925,11303,21,16,8/2/2022,Minneapolis
6136,3831,511,7475,29,22,4/19/2023,Lexington
5358,3468,1517,11269,21,24,9/28/2023,Vancouver
7941,7305,1455,10695,16,13,6/7/2023,West Jordan
9203,4409,684,10042,22,22,11/8/2022,Southaven
8514,3013,1113,8451,19,17,9/24/2022,Chesapeake
8317,4937,1005,13088,27,17,5/4/2023,St. Petersburg
9803,3260,1580,9012,27,22,4/5/2022,Springdale
8992,3015,1191,11920,29,19,5/9/2023,Tucson
7014,7515,1188,9521,23,16,7/11/2022,Pike Creek
9880,7644,1226,12381,22,17,12/25/2023,Chicago
8967,2344,1936,7648,27,20,11/20/2023,Burlington
6199,5980,1423,8824,16,14,9/6/2023,Bozeman
5797,7622,592,7656,16,25,4/23/2022,Provo
9396,7056,914,13213,19,16,10/17/2022,Augusta
5038,4154,933,11906,24,23,10/17/2023,Montpelier
6301,5521,798,7367,18,23,10/25/2022,Gulfport
5359,3876,1240,8097,17,13,2/3/2022,Glendale
6439,4164,1284,13001,27,25,5/8/2023,Saint Paul
8226,4806,1605,12180,24,23,2/20/2023,Bozeman
7356,2919,1167,10497,26,24,3/30/2022,Springfield
8575,5399,1107,13624,17,12,3/19/2022,Pocatello
9973,2219,796,9275,23,21,12/14/2022,Metairie
5207,5190,1721,13975,25,14,10/16/2023,Birmingham
9351,4477,675,11091,29,18,9/12/2023,Reno
