LOAN_ID,EMPLOYEE_ID,ACCOUNT_NUMBER,SANCTION_DATE,LOAN_AMOUNT,LOAN_TYPE_ID,TENURE,EMI_AMOUNT,APPLICATION_ID
3176,2,143,2007-01-18,55534.91,32,144,464.94,55
3284,2,14,2006-09-06,34309.15,4,144,287.24,56
3368,2,106,2014-11-01,82367.37,11,144,689.58,57
4,2,96,2021-03-21,83569.54,16,144,699.65,58
2631,3,120,2020-08-02,53039.39,12,144,444.05,59
2637,3,131,2007-08-24,91635.86,34,144,767.18,60
2763,3,53,2014-03-11,65980.29,9,144,552.39,61
2787,3,197,2022-09-13,15576.29,8,144,130.41,62
3027,3,33,2013-11-06,33774.32,3,144,282.76,63
3057,3,48,2008-03-08,88504.73,28,144,740.97,64
3099,3,146,2022-07-24,23250.43,1,144,194.65,65
3177,3,138,2015-04-05,88752.9,8,144,743.04,66
3189,3,103,2022-04-28,55841.99,40,144,467.51,67
3279,3,50,2010-11-09,98004.31,39,144,820.5,68
3309,3,8,2022-07-22,81282.29,36,144,680.5,69
3447,3,161,2013-09-24,32744.3,12,144,274.14,70
3453,3,31,2019-01-31,73868.77,6,144,618.43,71
2598,3,139,2007-01-23,54848.15,5,144,459.19,72
2658,3,116,2017-01-15,360.54,10,144,3.02,73
2682,3,128,2014-09-24,54316.66,27,144,454.74,74
2694,3,149,2023-07-10,8245.67,19,144,69.03,75
2718,3,187,2012-03-05,14580,13,144,122.06,76
2826,3,90,2013-10-26,17519.38,33,144,146.67,77
3018,3,40,2010-03-11,17621.38,12,144,147.53,78
3342,3,57,2010-05-19,42853.23,31,144,358.77,79
3378,3,6,2010-04-17,1555.44,19,144,13.02,80
3474,3,180,2005-01-24,76996.11,38,144,644.62,81
54,3,178,2012-10-15,94884.6,34,144,794.38,82
2616,3,171,2020-02-27,34184.46,29,144,286.19,83
2892,3,186,2006-04-16,98750.3,4,144,826.74,84
3012,3,151,2006-12-30,85129.2,11,144,712.71,85
3228,3,93,2008-05-15,41821.62,36,144,350.13,86
3288,3,131,2009-01-12,56022.5,29,144,469.02,87
3396,3,183,2005-04-02,72156.96,26,144,604.1,88
24,3,165,2006-09-03,63278.64,34,144,529.77,89
2545,5,13,2022-04-30,60352.74,9,144,505.28,90
2705,5,118,2017-04-02,52116.9,18,144,436.33,91
2855,5,35,2021-10-15,97514.29,19,144,816.39,92
3155,5,54,2013-04-26,23849.71,11,144,199.67,93
3275,5,125,2021-09-12,36968.44,37,144,309.5,94
3425,5,54,2011-12-15,1996.7,14,144,16.72,95
25,5,96,2011-04-06,30859.88,24,144,258.36,96
2630,5,35,2018-03-17,14863.1,40,144,124.43,97
67,67,65,2023-09-01,1364.84,22,144,11.43,98
3350,67,98,2013-04-20,3044.59,1,144,25.49,99
3490,5,111,2019-04-09,86366.61,19,144,723.07,100
2740,5,196,2020-09-15,22142.16,28,144,185.38,101
3020,5,77,2016-02-07,97098.19,23,144,812.91,102
3460,5,23,2006-09-30,73103.68,21,144,612.03,103
80,5,16,2014-12-23,95836.17,12,144,802.34,104
2569,7,42,2007-11-14,89253.46,30,144,747.23,105
2681,7,196,2020-06-28,93182.61,21,144,780.13,106
2723,7,200,2023-12-01,61300.34,32,144,513.21,107
3101,7,59,2015-05-06,18288.28,33,144,153.11,108
2954,7,78,2010-06-01,85736.42,17,144,717.79,109
3262,7,197,2012-03-16,73211.17,31,144,612.93,110
194,97,111,2004-06-29,71311.66,6,144,597.02,111
2716,97,119,2013-02-28,14563.65,24,144,121.93,112
2828,7,113,2007-12-05,14834.18,3,144,124.19,113
2996,7,154,2011-06-10,3080.77,40,144,25.79,114
56,7,86,2016-08-06,50431.78,4,144,422.22,115
224,7,3,2009-09-29,22577.4,12,144,189.02,116
63,7,159,2015-04-03,55788.63,4,144,467.07,117
147,7,125,2018-06-09,6288.6,30,144,52.65,118
237,79,20,2006-01-22,45214.19,20,144,378.54,119
3160,79,85,2007-05-11,59517.7,37,144,498.28,120
2765,79,11,2008-12-02,573.56,3,144,4.8,121
3430,7,176,2011-05-19,93485.99,32,144,782.67,122
2865,5,80,2005-06-23,98139.94,2,144,821.63,123
150,5,170,2023-06-19,97702.11,9,144,817.97,124
2700,5,6,2022-02-13,32465.3,4,144,271.8,125
2880,5,112,2006-06-16,14951.34,37,144,125.17,126
2761,11,65,2004-11-07,2296.26,26,144,19.22,127
3091,11,195,2008-03-04,42269.65,37,144,353.88,128
3487,11,56,2010-05-08,71016.46,4,144,594.55,129
2794,11,144,2023-07-14,90320.49,5,144,756.17,130
3014,11,115,2008-01-07,15599.81,10,144,130.6,131
3124,71,90,2017-04-01,51808.59,1,144,433.74,132
176,11,46,2007-01-22,27669.89,37,144,231.65,133
2673,11,189,2016-07-13,13177.47,37,144,110.32,134
2848,89,168,2007-11-22,6205.98,5,144,51.96,135
2937,89,18,2005-03-04,79858.1,38,144,668.58,136
3267,11,183,2004-09-05,35207.21,1,144,294.76,137
198,11,37,2010-07-22,82475.15,28,144,690.49,138
154,11,169,2010-03-25,97818.99,38,144,818.95,139
231,11,143,2008-02-28,32933.86,16,144,275.72,140
2587,13,126,2020-03-30,98550.52,3,144,825.07,141
2951,13,183,2011-02-09,32994.57,16,144,276.23,142
2678,13,86,2006-01-08,10228.55,3,144,85.63,143
2782,13,141,2004-09-19,74968.77,34,144,627.64,144
2938,13,192,2022-06-16,79405.34,19,144,664.79,145
3406,13,114,2018-06-03,91802.53,18,144,768.58,146
3328,13,166,2007-05-23,77513.77,20,144,648.95,147
29,29,14,2012-10-13,6262.81,40,144,52.43,148
58,29,177,2006-04-27,75888.22,32,144,635.34,149
3503,31,79,2011-06-15,17080.41,22,144,143,150
106,53,172,2006-05-21,1531.15,17,144,12.82,151
3392,53,142,2014-03-07,73824.89,34,144,618.07,152
2544,53,79,2015-11-11,40167.83,11,144,336.29,153
2650,53,179,2018-10-11,55235.18,27,144,462.43,154
2597,53,52,2010-01-29,5998.7,20,144,50.22,155
2968,53,189,2006-01-08,87058.4,11,144,728.86,156
3339,53,62,2021-01-29,48416.65,9,144,405.35,157
3286,53,182,2019-11-02,65046.19,30,144,544.57,158
62,31,58,2005-04-12,50362.72,27,144,421.64,159
124,31,54,2007-05-15,89385.2,9,144,748.34,160
2883,31,146,2017-04-02,69264.13,19,144,579.88,161
2976,31,26,2010-09-23,31517.5,38,144,263.87,162
155,31,149,2012-10-16,38799.7,8,144,324.83,163
3100,31,37,2016-02-22,31369.46,24,144,262.63,164
217,31,58,2019-12-10,91740.59,24,144,768.06,165
3038,31,31,2023-04-29,12420.24,26,144,103.98,166
3410,31,32,2009-09-16,46095.85,36,144,385.92,167
3224,31,136,2010-11-12,169.68,36,144,1.42,168
2697,31,136,2005-12-01,98099.56,12,144,821.29,169
2552,29,89,2009-04-27,73400.35,15,144,614.51,170
3016,29,78,2009-06-13,45412,29,144,380.19,171
104,13,64,2015-08-01,29514.71,40,144,247.1,172
78,13,103,2021-12-15,60482.26,10,144,506.36,173
234,13,42,2012-06-21,49330.15,7,144,412.99,174
156,13,10,2007-12-06,73481.4,22,144,615.19,175
182,13,71,2018-12-28,5598.66,34,144,46.87,176
2548,13,165,2009-11-22,49209.87,19,144,411.99,177
3185,13,154,2004-05-21,48976.23,8,144,410.03,178
2535,13,96,2019-12-27,41352.87,13,144,346.21,179
195,13,106,2017-11-21,12385.91,29,144,103.7,180
2860,13,113,2023-04-21,45493.24,18,144,380.87,181
165,11,66,2021-03-29,12007.3,15,144,100.53,182
2533,17,139,2014-07-14,29843.91,11,144,249.85,183
2771,17,190,2016-02-05,13320.78,35,144,111.52,184
2941,17,31,2017-02-28,31169.6,23,144,260.95,185
3077,17,198,2012-06-24,11973.17,14,144,100.24,186
3383,17,100,2009-02-28,31605.23,35,144,264.6,187
3502,17,5,2023-01-07,31132.73,8,144,260.64,188
34,17,69,2004-05-12,8087.79,5,144,67.71,189
2831,19,65,2019-07-08,44804.17,23,144,375.1,190
3173,19,185,2006-08-17,26605.12,5,144,222.74,191
3439,19,100,2015-05-14,62283.95,34,144,521.44,192
3154,83,94,2005-06-29,63722.8,35,144,533.49,193
82,41,3,2022-06-17,38516.4,36,144,322.46,194
2952,41,176,2013-06-30,53500.96,28,144,447.91,195
2706,41,80,2008-07-11,52750.44,21,144,441.63,196
3157,41,162,2012-02-11,19177.2,5,144,160.55,197
3116,41,12,2020-05-01,22212.77,13,144,185.97,198
95,19,136,2015-12-04,38997.13,2,144,326.49,199
3135,19,158,2013-09-27,52772.3,36,144,441.81,200
2599,23,4,2016-02-29,21609.58,31,144,180.92,201
2921,23,112,2008-06-11,96197.14,35,144,805.37,202
3151,23,1,2014-06-30,77462.16,33,144,648.52,203
184,23,83,2017-02-22,72075.57,40,144,603.42,204
2645,23,101,2018-01-16,73639.78,8,144,616.52,205
3381,23,173,2006-09-09,91058.96,15,144,762.35,206
3450,23,127,2003-12-29,49849.81,12,144,417.34,207
3289,23,38,2010-06-25,15617.63,5,144,130.75,208
3036,23,141,2015-04-26,49243.15,21,144,412.27,209
2622,23,45,2009-05-20,13598.1,29,144,113.84,210
114,19,139,2012-02-02,89986.49,10,144,753.37,211
2736,19,34,2011-07-12,3115.5,38,144,26.08,212
2584,19,102,2019-03-08,80758.1,15,144,676.11,213
219,73,29,2016-10-28,82471.63,27,144,690.46,214
3358,73,200,2023-04-09,42364.13,26,144,354.67,215
3139,73,144,2018-01-16,54362.61,26,144,455.13,216
2752,43,73,2005-01-06,45431.6,19,144,380.36,217
129,43,69,2017-08-15,91343.22,20,144,764.73,218
2838,43,55,2023-03-30,2719.65,10,144,22.77,219
3311,43,105,2018-03-02,85001.44,36,144,711.64,220
2666,43,58,2005-07-11,60691.24,26,144,508.11,221
2795,43,81,2009-07-28,49945.69,12,144,418.15,222
2924,43,97,2019-02-05,11057.42,26,144,92.57,223
136,17,31,2006-02-12,13089.93,6,144,109.59,224
94,47,17,2012-10-05,69874.81,36,144,585,225
2632,47,76,2009-04-21,98118.11,15,144,821.45,226
3196,47,102,2019-02-17,81902.8,3,144,685.69,227
3478,47,95,2021-11-23,1996.54,39,144,16.72,228
148,37,43,2020-07-08,58253.13,7,144,487.7,229
111,37,10,2023-01-17,18051.34,32,144,151.13,230
2664,37,69,2003-12-11,50681.32,15,144,424.31,231
185,37,41,2005-04-06,72564.4,24,144,607.51,232
2590,37,83,2020-10-08,87546.17,3,144,732.94,233
2886,37,22,2015-01-13,72559.13,6,144,607.47,234
2812,37,111,2014-07-21,97854.94,5,144,819.25,235
3145,37,87,2019-10-29,78308.69,3,144,655.6,236
85,17,153,2005-08-19,62993.97,7,144,527.39,237
119,17,153,2018-01-25,27661.16,11,144,231.58,238
3332,17,70,2010-05-02,13335.62,5,144,111.65,239
2992,17,116,2022-08-07,98750.74,5,144,826.75,240
221,17,198,2006-10-12,9793.35,24,144,81.99,241
2754,17,3,2008-05-18,88654.27,16,144,742.22,242
204,17,25,2004-06-10,7119.7,30,144,59.61,243
3186,59,118,2017-08-10,89137.41,13,144,746.26,244
2832,59,101,2018-02-23,59596.29,32,144,498.94,245
2891,59,113,2014-09-13,15923.48,30,144,133.31,246
3422,59,23,2004-01-22,43905.27,9,144,367.58,247
3127,59,68,2011-03-15,49411.28,29,144,413.67,248
3009,59,109,2004-06-05,653.23,5,144,5.47,249
236,59,185,2004-01-09,39622.3,19,144,331.72,250
3294,61,26,2021-12-01,98681.83,40,144,826.17,251
2562,61,51,2007-04-07,85745.29,27,144,717.86,252
3233,61,57,2010-06-02,97851.81,12,144,819.22,253
3477,61,116,2007-12-27,12191.1,31,144,102.06,254
2867,61,54,2010-09-12,98566.47,26,144,825.2,255
244,61,192,2014-03-23,8681.81,5,144,72.68,256
257,1,49,2013-06-19,16550.53,10,144,138.56,257
281,1,21,2010-02-22,42544.6,20,144,356.19,258
293,1,193,2007-05-06,17762.22,27,144,148.71,259
311,1,69,2020-02-16,47152.87,19,144,394.77,260
317,1,181,2017-06-08,63716.74,28,144,533.44,261
331,1,132,2006-09-17,46996.76,17,144,393.46,262
419,1,61,2004-09-08,72025.79,18,144,603,263
479,1,164,2013-04-14,79761.4,11,144,667.77,264
491,1,52,2019-05-08,22810.4,9,144,190.97,265
503,1,29,2007-11-19,81038.77,14,144,678.46,266
593,1,35,2012-09-02,67502.94,14,144,565.14,267
601,1,5,2008-06-24,35205.16,22,144,294.74,268
659,1,108,2021-08-28,21112.24,10,144,176.75,269
661,1,1,2015-10-01,8272.5,3,144,69.26,270
719,1,107,2007-11-11,66525.45,6,144,556.95,271
727,1,101,2009-03-10,8092.96,6,144,67.75,272
757,1,198,2013-05-29,54559.78,36,144,456.78,273
761,1,71,2004-07-27,45708.96,35,144,382.68,274
797,1,195,2005-05-17,61340.22,16,144,513.54,275
809,1,92,2005-04-27,61415.7,29,144,514.18,276
811,1,103,2010-12-10,70358.88,25,144,589.05,277
881,1,105,2012-10-10,43085.84,19,144,360.72,278
887,1,62,2022-12-09,19716.93,11,144,165.07,279
907,1,174,2014-08-23,40004.2,24,144,334.92,280
1093,1,16,2016-06-04,31069.3,27,144,260.11,281
1171,1,20,2023-03-30,45778.33,30,144,383.26,282
1237,1,25,2005-05-13,45250.68,27,144,378.84,283
1279,1,65,2020-10-06,24125.49,3,144,201.98,284
1327,1,107,2019-07-17,68129.99,2,144,570.39,285
1409,1,10,2018-10-04,95030.4,25,144,795.6,286
1429,1,187,2016-08-11,91383.9,18,144,765.07,287
1439,1,93,2022-03-28,86016.77,3,144,720.14,288
1471,1,157,2010-01-04,91057.16,29,144,762.33,289
1483,1,65,2011-01-06,74973,32,144,627.68,290
1523,1,108,2016-09-21,65859.51,8,144,551.38,291
1549,1,196,2023-12-02,26786,20,144,224.25,292
1669,1,114,2013-11-05,47898.75,26,144,401.01,293
1697,1,71,2004-03-29,55839.45,21,144,467.49,294
1721,1,151,2008-08-25,89484.69,12,144,749.17,295
1733,1,71,2009-01-30,96421.86,7,144,807.25,296
1759,1,15,2013-03-03,95436.77,14,144,799,297
1789,1,11,2015-04-14,3724.46,30,144,31.18,298
1801,1,145,2015-06-04,46670.5,3,144,390.73,299
1823,1,83,2016-06-08,27117.49,24,144,227.03,300
1867,1,157,2007-02-18,55778.54,23,144,466.98,301
1889,1,196,2015-06-13,24161.56,6,144,202.28,302
1901,1,23,2005-02-26,63454.57,26,144,531.24,303
1907,1,167,2005-05-03,63084.66,35,144,528.15,304
1999,1,103,2013-02-12,73709.49,19,144,617.1,305
2029,1,136,2009-07-06,97312.4,30,144,814.7,306
2081,1,149,2009-01-10,69328.74,32,144,580.42,307
2083,1,126,2023-10-17,18989.72,23,144,158.98,308
2137,1,189,2013-10-16,15614.9,18,144,130.73,309
2203,1,133,2016-03-20,42534.63,12,144,356.1,310
2251,1,45,2017-05-14,44275.95,1,144,370.68,311
2269,1,150,2022-08-06,7654.1,29,144,64.08,312
2351,1,132,2008-05-07,55025.56,23,144,460.68,313
2383,1,144,2013-12-03,22642.28,31,144,189.56,314
2417,1,174,2007-11-08,78762.3,8,144,659.4,315
2473,1,93,2020-03-15,70281.5,34,144,588.4,316
2477,1,160,2012-02-06,77913.59,34,144,652.3,317
2503,1,75,2005-07-30,73832.46,37,144,618.13,318
2521,1,100,2014-05-30,32182.14,8,144,269.43,319
2549,1,106,2010-01-20,8771.8,1,180,61.64,320
2591,1,100,2021-09-27,18972.11,14,180,133.31,321
2633,1,2,2006-05-07,19945.59,16,180,140.15,322
2683,1,179,2014-03-27,51648.7,5,180,362.92,323
2699,1,133,2017-08-27,22592.74,21,180,158.75,324
2777,1,113,2015-02-14,18921.31,7,180,132.95,325
2801,1,75,2014-02-15,94485.34,13,180,663.92,326
298,2,186,2018-01-20,13619.3,18,144,114.02,327
358,2,174,2007-08-19,87445.45,28,144,732.1,328
362,2,72,2007-04-27,44485.77,10,144,372.44,329
382,2,120,2023-01-10,66139.78,14,144,553.73,330
394,2,55,2020-04-24,83584.31,33,144,699.77,331
422,2,196,2020-01-27,10171.17,7,144,85.15,332
586,2,10,2015-05-28,44918.68,27,144,376.06,333
614,2,161,2015-08-18,19347.56,12,144,161.98,334
626,2,170,2008-03-02,3697.99,19,144,30.96,335
662,2,80,2020-03-28,33521.88,7,144,280.65,336
694,2,57,2007-11-22,37507.48,6,144,314.01,337
706,2,95,2020-11-17,89344.74,40,144,748,338
734,2,75,2018-06-14,96370.61,24,144,806.82,339
778,2,172,2005-03-22,5873.12,22,144,49.17,340
794,2,77,2014-03-17,277.98,9,144,2.33,341
1042,2,91,2015-05-03,37667.98,33,144,315.36,342
1082,2,43,2009-03-26,25344.11,3,144,212.18,343
1094,2,151,2009-08-08,66634,14,144,557.86,344
1126,2,95,2023-02-24,84907.84,13,144,710.85,345
1174,2,9,2016-09-21,22140.22,10,144,185.36,346
1226,2,139,2006-11-25,34407.49,20,144,288.06,347
1402,2,149,2006-03-05,97191.27,29,144,813.69,348
1438,2,91,2006-10-27,54489.52,38,144,456.19,349
1502,2,126,2010-09-06,77272.4,6,144,646.93,350
1646,2,58,2011-06-17,22451.16,25,144,187.96,351
1718,2,194,2006-01-09,71873.17,9,144,601.73,352
1754,2,148,2017-01-13,7220.31,31,144,60.45,353
1766,2,148,2004-03-16,67343.39,37,144,563.8,354
2026,2,142,2007-04-11,40143.8,24,144,336.09,355
2182,2,94,2017-05-02,99170.7,30,144,830.26,356
2302,2,62,2022-11-17,8968.6,17,144,75.09,357
2306,2,197,2021-08-05,29703.97,26,144,248.68,358
2402,2,14,2013-10-20,82755.2,32,144,692.83,359
2474,2,181,2019-03-13,82206.36,21,144,688.24,360
2518,2,25,2020-07-24,84293.25,10,180,592.3,361
2566,2,186,2023-11-05,4480.83,37,180,31.49,362
2578,2,99,2011-04-30,27419.2,20,180,192.67,363
2582,2,172,2018-04-30,3584.35,23,180,25.19,364
412,2,106,2006-10-15,78760.15,32,144,659.38,365
508,2,52,2016-06-22,16779.21,35,144,140.48,366
604,2,147,2011-06-06,8643.34,33,144,72.36,367
808,2,121,2012-10-26,54070.41,15,144,452.68,368
824,2,63,2023-11-09,80713.73,36,144,675.74,369
844,2,29,2009-08-08,24334.72,6,144,203.73,370
1048,2,60,2018-08-10,69622.99,34,144,582.89,371
1192,2,175,2010-06-21,69623.89,28,144,582.89,372
1208,2,93,2016-02-22,823.1,9,144,6.89,373
1228,2,111,2007-11-09,49108.18,32,144,411.14,374
1244,2,166,2006-02-12,41645.55,2,144,348.66,375
1256,2,139,2004-11-18,50459.75,29,144,422.45,376
1396,2,21,2021-11-01,1211.6,18,144,10.14,377
1448,2,189,2019-04-22,14570.82,32,144,121.99,378
1592,2,59,2010-10-21,95391.51,22,144,798.62,379
1684,2,58,2007-12-27,46992.83,13,144,393.43,380
1772,2,179,2020-11-09,85454.4,13,144,715.43,381
1828,2,31,2017-06-24,57148.11,38,144,478.45,382
1832,2,107,2012-09-02,1582.69,32,144,13.25,383
1916,2,120,2010-12-29,28829.69,10,144,241.36,384
2036,2,107,2005-05-14,48425.76,7,144,405.42,385
2152,2,37,2011-04-14,77787.73,7,144,651.24,386
2164,2,54,2008-12-02,89520.36,21,144,749.47,387
2168,2,59,2007-06-30,87991.44,17,144,736.67,388
2188,2,82,2010-09-05,11535.73,7,144,96.58,389
2216,2,115,2019-07-14,73253.19,20,144,613.28,390
2228,2,131,2016-10-20,29283.36,19,144,245.16,391
2252,2,161,2016-03-29,97861.91,12,144,819.3,392
2308,2,170,2022-07-11,71524.58,4,144,598.81,393
2344,2,27,2009-02-03,67365.62,35,144,563.99,394
2372,2,71,2007-07-02,4175.54,2,144,34.96,395
2476,2,174,2020-07-16,61436.62,32,144,514.35,396
2504,2,179,2008-12-27,34930.39,29,144,292.44,397
2564,2,20,2023-02-17,48838.99,14,180,343.18,398
2572,2,97,2017-10-02,29328.75,7,180,206.08,399
2648,2,166,2018-05-03,54738.11,25,180,384.63,400
2696,2,122,2021-09-05,24893.4,28,180,174.92,401
381,3,19,2020-10-18,45266.73,16,144,378.98,402
393,3,111,2014-11-30,66357.36,24,144,555.55,403
489,3,83,2020-11-26,7842.98,8,144,65.66,404
681,3,199,2020-11-28,55005.9,34,144,460.51,405
717,3,190,2010-10-24,61847.56,8,144,517.79,406
939,3,163,2022-05-28,20230.39,26,144,169.37,407
963,3,138,2011-05-19,91469.1,29,144,765.78,408
981,3,39,2004-04-09,19724.54,38,144,165.13,409
1017,3,26,2015-07-06,63279.89,20,144,529.78,410
1167,3,107,2014-10-08,66645.37,27,144,557.96,411
1251,3,168,2014-11-23,94999.16,4,144,795.34,412
1293,3,131,2005-02-24,22738.95,13,144,190.37,413
1317,3,4,2021-10-22,94215.28,20,144,788.77,414
1389,3,102,2008-12-27,20936.86,10,144,175.28,415
1401,3,117,2012-09-07,21886.59,27,144,183.24,416
1461,3,24,2009-03-29,65825.41,27,144,551.09,417
1569,3,196,2016-11-02,71739.53,30,144,600.61,418
1671,3,65,2023-10-11,62461.23,32,144,522.93,419
1761,3,90,2013-12-16,93078.88,30,144,779.26,420
1851,3,14,2019-12-12,96702.91,12,144,809.6,421
1893,3,5,2006-03-12,23695.77,12,144,198.38,422
2097,3,99,2006-10-27,14491.53,11,144,121.32,423
2157,3,145,2021-07-05,15960.96,8,144,133.63,424
2169,3,121,2005-04-12,17698.6,23,144,148.17,425
2199,3,195,2006-03-12,53055.2,17,144,444.18,426
2217,3,142,2011-08-05,23233.19,7,144,194.51,427
2259,3,151,2008-05-18,76869.37,16,144,643.55,428
2463,3,88,2005-04-27,8798.39,20,144,73.66,429
2469,3,135,2014-02-28,82404.53,40,144,689.89,430
2529,3,106,2004-06-17,64687.63,33,144,541.57,431
2733,3,151,2019-03-14,78793.92,6,180,553.66,432
2757,3,126,2015-03-09,22194.36,28,180,155.95,433
762,3,199,2009-05-27,19060.82,7,144,159.58,434
1038,3,187,2009-01-03,12297.7,30,144,102.96,435
1086,3,69,2019-08-12,55834.13,19,144,467.45,436
1182,3,48,2016-07-28,82676.97,9,144,692.18,437
1398,3,33,2021-02-15,49511.13,32,144,414.51,438
1446,3,23,2016-12-11,40703.76,3,144,340.77,439
1458,3,85,2021-12-19,39333.86,2,144,329.3,440
1854,3,149,2021-01-14,15856.97,21,144,132.76,441
1866,3,110,2005-02-01,70956.5,31,144,594.05,442
1902,3,12,2023-06-19,2500.62,10,144,20.94,443
1986,3,108,2007-01-11,55377.12,40,144,463.62,444
2022,3,31,2021-07-24,98198.28,3,144,822.12,445
2034,3,174,2006-07-14,10892.22,12,144,91.19,446
2154,3,176,2018-06-12,22796.28,24,144,190.85,447
2274,3,181,2010-12-15,71176.2,28,144,595.89,448
2286,3,9,2013-10-18,85893.29,14,144,719.1,449
2502,3,165,2022-02-28,30139.75,17,180,211.78,450
2526,3,148,2018-02-28,36509.94,26,180,256.54,451
2634,3,69,2020-05-06,76647.62,15,180,538.58,452
2742,3,177,2017-02-28,28916.14,12,180,203.18,453
2766,3,67,2023-11-24,79633.59,1,180,559.56,454
432,3,91,2011-11-22,30003.14,19,144,251.19,455
648,3,9,2004-08-20,1466.16,32,144,12.27,456
1212,3,164,2003-12-13,45385.36,31,144,379.97,457
1236,3,35,2010-02-19,54825.21,16,144,459,458
1536,3,153,2014-03-24,44657.3,36,144,373.87,459
1644,3,143,2021-03-07,38705.1,18,144,324.04,460
1812,3,138,2023-05-04,70410.42,29,144,589.48,461
1944,3,189,2012-08-05,45439.32,20,144,380.42,462
1956,3,29,2015-04-05,64659.58,17,144,541.33,463
2364,3,10,2006-03-03,99847.56,4,144,835.93,464
2532,3,145,2020-09-25,95275.7,36,144,797.65,465
2748,3,6,2012-11-09,42924.75,13,180,301.62,466
2796,3,29,2014-03-28,41443.57,7,180,291.21,467
2802,3,146,2017-10-28,99558.25,17,180,699.56,468
545,5,119,2017-01-05,94082.45,11,144,787.66,469
655,5,175,2016-12-29,86518.33,24,144,724.34,470
695,5,30,2006-01-23,18925.81,23,144,158.45,471
835,5,115,2009-07-05,38743.43,11,144,324.36,472
1115,5,177,2008-04-09,67228.5,24,144,562.84,473
1405,5,86,2012-01-28,11970.3,19,144,100.22,474
1555,5,147,2013-09-17,57490.46,31,144,481.31,475
1655,5,80,2015-04-21,72904.57,22,144,610.36,476
1765,5,108,2005-10-30,97902.89,27,144,819.65,477
2195,5,34,2005-02-28,7379.6,30,144,61.78,478
2515,5,67,2020-04-26,79906.84,8,180,561.48,479
2605,5,90,2018-02-28,49377.54,28,180,346.96,480
2785,5,122,2008-09-26,74070.1,19,180,520.47,481
