LOAN_APPLICATION_ID,PROPERTY_ID,LOAN_TYPE_ID,LOAN_AMOUNT,CUSTOMER_ID,ACCOUNT_ID,APPLIED_DATE,EMPLOYEE_ID
51,51,11,45431.6,247,51,2011-07-24,51
52,52,12,78783.51,268,52,2008-04-15,52
53,53,13,88654.27,250,53,2021-11-30,53
54,54,14,2296.26,278,54,2018-09-06,54
55,55,15,65980.29,269,55,2006-07-18,55
56,56,16,573.56,213,56,2006-03-06,56
57,57,17,30032.37,296,57,2014-05-01,57
58,58,18,22265.38,289,58,2020-09-21,58
59,59,19,13320.78,299,59,2020-02-02,59
60,60,20,74968.77,152,60,2007-02-24,60
61,61,21,15576.29,286,61,2013-09-11,61
62,62,22,67003.12,318,62,2022-03-13,62
63,63,23,90320.49,324,63,2013-05-06,63
64,64,24,49945.69,319,64,2007-09-08,64
65,65,25,76911.9,300,65,2022-01-24,65
66,66,26,97854.94,284,66,2014-10-05,66
67,67,27,40351.81,351,67,2021-10-28,67
68,68,28,17519.38,322,68,2010-05-09,68
69,69,29,14834.18,353,69,2022-01-22,69
70,70,30,44804.17,365,70,2013-03-24,70
71,71,31,59596.29,377,71,2018-07-31,71
72,72,32,96253.35,369,72,2006-07-23,72
73,73,33,2719.65,345,73,2016-07-15,73
74,74,34,93989.73,341,74,2014-03-24,74
75,75,35,6205.98,379,75,2023-01-10,75
76,76,36,97514.29,358,76,2011-09-05,76
77,77,37,4323.59,390,77,2013-04-26,77
78,78,38,45493.24,403,78,2009-09-11,78
79,79,39,98139.94,334,79,2009-11-19,79
80,80,40,98566.47,437,80,2009-10-17,80
81,81,1,91553.7,386,81,2004-07-24,81
82,82,2,14951.34,452,82,2012-04-15,82
83,83,3,69264.13,436,83,2019-08-27,83
84,84,4,72559.13,409,84,2005-10-16,84
85,85,5,15923.48,449,85,2006-06-30,85
86,86,6,98750.3,477,86,2007-11-15,86
87,87,7,3593.83,444,87,2008-07-12,87
88,88,8,96197.14,440,88,2004-10-02,88
89,89,9,11057.42,496,89,2006-03-03,89
90,90,10,79858.1,493,90,2021-10-31,90
91,91,11,79405.34,470,91,2016-10-02,91
92,92,12,31169.6,469,92,2021-04-15,92
93,93,13,32994.57,512,93,2012-10-26,93
94,94,14,53500.96,473,94,2021-03-12,94
95,95,15,85736.42,557,95,2011-06-15,95
96,96,16,87058.4,563,96,2010-10-06,96
97,97,17,39824.82,550,97,2017-09-17,97
98,98,18,31517.5,533,98,2023-03-01,98
99,99,19,83524.97,570,99,2012-10-20,99
100,100,20,98750.74,584,100,2018-10-09,100
101,101,21,3080.77,592,101,2020-03-15,101
102,102,22,7854.16,593,102,2015-08-07,102
103,103,23,653.23,619,103,2006-03-30,103
104,104,24,85129.2,624,104,2014-06-23,104
105,105,25,15599.81,630,105,2007-05-14,105
106,106,26,45412,572,106,2019-12-28,106
107,107,27,17621.38,620,107,2023-06-01,107
108,108,28,88330.73,662,108,2014-11-06,108
109,109,29,97098.19,608,109,2009-12-01,109
110,110,30,33774.32,660,110,2011-09-16,110
111,111,31,49243.15,671,111,2003-12-29,111
112,112,32,12420.24,674,112,2012-08-29,112
113,113,33,85540.74,680,113,2007-06-05,113
114,114,34,19755.76,684,114,2010-12-10,114
115,115,35,88504.73,663,115,2016-02-06,115
116,116,36,55727.38,693,116,2009-03-29,116
117,117,37,92308.33,694,117,2014-10-03,117
118,118,38,11973.17,639,118,2017-12-09,118
119,119,39,42269.65,575,119,2005-07-22,119
120,120,40,23250.43,713,120,2006-11-11,120
121,121,1,31369.46,685,121,2008-06-02,121
122,122,2,18288.28,717,122,2010-11-19,122
123,123,3,45708.4,644,123,2004-12-23,123
124,124,4,22212.77,712,124,2022-12-19,124
125,125,5,51808.59,747,125,2021-08-13,125
126,126,6,49411.28,764,126,2005-12-16,126
127,127,7,52772.3,772,127,2004-05-07,127
128,128,8,54362.61,806,128,2007-09-04,128
129,129,9,78308.69,812,129,2009-11-08,129
130,130,10,77462.16,794,130,2023-01-14,130
131,131,11,63722.8,817,131,2007-07-07,131
132,132,12,23849.71,789,132,2016-10-01,132
133,133,13,19177.2,813,133,2006-07-22,133
134,134,14,59517.7,799,134,2016-01-13,134
135,135,15,26605.12,819,135,2007-05-22,135
136,136,16,55534.91,833,136,2004-09-04,136
137,137,17,88752.9,876,137,2004-03-05,137
138,138,18,48976.23,867,138,2010-01-22,138
139,139,19,89137.41,857,139,2009-09-25,139
140,140,20,55841.99,901,140,2007-08-28,140
141,141,21,81902.8,834,141,2019-09-30,141
142,142,22,76518.55,904,142,2010-08-09,142
143,143,23,169.68,854,143,2005-07-08,143
144,144,24,41821.62,916,144,2004-03-19,144
145,145,25,85720.99,900,145,2021-12-16,145
146,146,26,97851.81,870,146,2017-12-03,146
147,147,27,88207.71,932,147,2006-11-23,147
148,148,28,74157.53,953,148,2012-04-13,148
149,149,29,5851.77,989,149,2005-10-27,149
150,150,30,73211.17,1003,150,2010-12-15,150
151,151,31,35207.21,1013,151,2005-11-21,151
152,152,32,36968.44,1020,152,2013-09-07,152
153,153,33,98004.31,1030,153,2015-05-11,153
154,154,34,34309.15,1021,154,2018-04-11,154
155,155,35,65046.19,1042,155,2009-07-29,155
156,156,36,56022.5,1048,156,2005-07-08,156
157,157,37,15617.63,1038,157,2020-07-29,157
158,158,38,98681.83,1051,158,2019-05-02,158
159,159,39,81282.29,1001,159,2004-10-12,159
160,160,40,85001.44,1057,160,2006-11-15,160
161,161,1,77513.77,1073,161,2016-10-02,161
162,162,2,32557.66,1065,162,2010-03-23,162
163,163,3,13335.62,1076,163,2012-04-16,163
164,164,4,48416.65,1056,164,2015-08-22,164
165,165,5,42853.23,1075,165,2019-06-10,165
166,166,6,84393.85,1084,166,2022-10-29,166
167,167,7,3044.59,1093,167,2009-03-16,167
168,168,8,42364.13,1087,168,2010-05-12,168
169,169,9,44972.81,1063,169,2005-06-01,169
170,170,10,82367.37,1144,170,2008-10-27,170
171,171,11,44927.45,1150,171,2008-12-13,171
172,172,12,63605.65,1173,172,2015-02-01,172
173,173,13,1555.44,1184,173,2021-06-15,173
174,174,14,91058.96,1181,174,2011-12-21,174
175,175,15,31605.23,1204,175,2007-06-06,175
176,176,16,73824.89,1198,176,2018-06-28,176
177,177,17,72156.96,1228,177,2009-05-22,177
178,178,18,65859.54,1238,178,2003-11-21,178
179,179,19,91802.53,1158,179,2019-06-27,179
180,180,20,46095.85,1255,180,2017-05-21,180
181,181,21,94217.62,1229,181,2022-10-21,181
182,182,22,43905.27,1278,182,2020-09-29,182
183,183,23,1996.7,1297,183,2014-01-14,183
184,184,24,93485.99,1307,184,2015-08-05,184
185,185,25,62283.95,1301,185,2016-08-30,185
186,186,26,32744.3,1322,186,2011-12-24,186
187,187,27,49849.81,1272,187,2008-08-29,187
188,188,28,73868.77,1326,188,2022-07-07,188
189,189,29,73103.68,1343,189,2003-11-12,189
190,190,30,76996.11,1317,190,2019-01-08,190
191,191,31,12191.1,1377,191,2006-02-17,191
192,192,32,1996.54,1371,192,2014-11-14,192
193,193,33,71016.46,1374,193,2004-12-29,193
194,194,34,86366.61,1402,194,2021-12-17,194
195,195,35,47654.25,1405,195,2012-12-30,195
196,196,36,31132.73,1406,196,2008-01-11,196
197,197,37,17080.41,1419,197,2011-08-11,197
198,198,38,83569.54,1393,198,2019-11-01,198
199,199,39,63278.64,1410,199,2015-06-04,199
200,200,40,30859.88,1392,200,2013-03-27,200
201,201,1,6262.81,1435,201,2015-08-30,201
202,202,2,8087.79,1424,202,2007-12-11,202
203,203,3,94884.6,1421,203,2013-12-30,203
204,204,4,50431.78,1462,204,2016-08-22,204
205,205,5,75888.22,1485,205,2017-07-16,205
206,206,6,50362.72,1480,206,2006-03-09,206
207,207,7,55788.63,1442,207,2003-06-29,207
208,208,8,1364.84,1491,208,2009-12-25,208
209,209,9,60482.26,1500,209,2014-10-26,209
210,210,10,95836.17,1498,210,2008-11-20,210
211,211,11,38516.4,1505,211,2011-08-02,211
212,212,12,62993.97,1525,212,2011-01-12,212
213,213,13,69874.81,1536,213,2018-09-08,213
214,214,14,38997.13,1535,214,2016-04-28,214
215,215,15,97204.24,1513,215,2022-10-09,215
216,216,16,29514.71,1531,216,2017-07-16,216
217,217,17,1531.15,1532,217,2004-07-06,217
218,218,18,2904.9,1522,218,2017-02-15,218
219,219,19,18051.34,1533,219,2022-09-30,219
220,220,20,98007.89,1527,220,2017-09-02,220
221,221,21,89986.49,1542,221,2005-01-11,221
222,222,22,27661.16,1546,222,2009-01-28,222
223,223,23,89385.2,1571,223,2018-08-05,223
224,224,24,91343.22,1589,224,2005-08-12,224
225,225,25,70086.81,1587,225,2012-04-05,225
226,226,26,13089.93,1584,226,2008-10-21,226
227,227,27,6288.6,1619,227,2018-08-17,227
228,228,28,58253.13,1652,228,2021-05-23,228
229,229,29,97702.11,1662,229,2020-01-08,229
230,230,30,97818.99,1674,230,2022-07-17,230
231,231,31,38799.7,1611,231,2003-06-11,231
232,232,32,73481.4,1644,232,2004-10-06,232
233,233,33,12007.3,1636,233,2020-04-08,233
234,234,34,31530.88,1689,234,2014-07-13,234
235,235,35,27669.89,1673,235,2014-01-21,235
236,236,36,5598.66,1700,236,2019-04-29,236
237,237,37,72075.57,1740,237,2005-02-19,237
238,238,38,72564.4,1585,238,2017-07-25,238
239,239,39,71311.66,1750,239,2009-11-02,239
240,240,40,12385.91,1753,240,2022-02-07,240
241,241,1,82475.15,1755,241,2006-04-12,241
242,242,2,45391.99,1751,242,2007-11-18,242
243,243,3,7119.7,1738,243,2003-12-10,243
244,244,4,91740.59,1772,244,2017-02-10,244
245,245,5,82471.63,1771,245,2017-08-23,245
246,246,6,9793.35,1786,246,2014-03-13,246
247,247,7,22577.4,1768,247,2003-07-22,247
248,248,8,76387.62,1785,248,2010-09-15,248
249,249,9,3317.91,1825,249,2003-12-05,249
250,250,10,96099,1817,250,2003-07-09,250
251,251,11,32933.86,1848,251,2021-06-01,251
252,252,12,49330.15,1842,252,2006-10-07,252
253,253,13,39622.3,1847,253,2009-12-02,253
254,254,14,45214.19,1877,254,2007-06-27,254
255,255,15,33088.87,1892,255,2010-03-12,255
256,256,16,8681.81,1880,256,2013-09-23,256
257,257,17,53751.45,1891,257,2012-12-19,257
258,258,18,91342,1902,258,2009-08-22,258
259,259,19,16550.53,1918,259,2006-11-06,259
260,260,20,99374.18,1860,260,2019-08-16,260
261,261,21,69817.9,1937,261,2016-12-08,261
262,262,22,84804.16,1955,262,2006-03-17,262
263,263,23,26619.97,1946,263,2004-03-08,263
264,264,24,42544.6,1939,264,2012-10-14,264
265,265,25,51685.8,1966,265,2018-11-08,265
266,266,26,75921.79,1960,266,2007-05-19,266
267,267,27,17762.22,1985,267,2012-03-02,267
268,268,28,13619.3,1961,268,2007-12-24,268
269,269,29,25504.79,2014,269,2021-02-28,269
270,270,30,47152.87,2027,270,2015-04-01,270
271,271,31,18773.69,2002,271,2007-05-11,271
272,272,32,63716.74,1999,272,2008-09-10,272
273,273,33,46996.76,2026,273,2012-11-29,273
274,274,34,68055.45,2055,274,2004-01-27,274
275,275,35,72045.28,2078,275,2004-11-17,275
276,276,36,87445.45,2100,276,2004-10-27,276
277,277,37,44485.77,2110,277,2010-06-10,277
278,278,38,89107.61,2108,278,2012-04-10,278
279,279,39,5077.93,2120,279,2022-06-09,279
280,280,40,45266.73,2123,280,2014-02-23,280
281,281,1,66139.78,2170,281,2015-12-04,281
282,282,2,66357.36,2141,282,2022-09-30,282
283,283,3,83584.31,2172,283,2004-11-13,283
284,284,4,22935.43,2159,284,2020-04-06,284
285,285,5,58090.58,2149,285,2019-01-17,285
286,286,6,78760.15,2198,286,2018-04-04,286
287,287,7,30695.49,2197,287,2016-02-11,287
288,288,8,72025.79,2218,288,2021-09-28,288
289,289,9,10171.17,2189,289,2009-07-04,289
290,290,10,30003.14,2222,290,2010-07-06,290
291,291,11,76597.4,2229,291,2016-03-21,291
292,292,12,2536.17,2228,292,2023-06-02,292
293,293,13,32872.58,2240,293,2013-05-05,293
294,294,14,45673.82,2243,294,2003-09-29,294
295,295,15,79761.4,2227,295,2008-02-25,295
296,296,16,34141.2,2180,296,2008-07-30,296
297,297,17,7842.98,2277,297,2012-09-03,297
298,298,18,22810.4,2295,298,2014-10-14,298
299,299,19,29043.27,2292,299,2014-12-04,299
300,300,20,21223.14,2321,300,2015-12-08,300
301,301,21,81038.77,2330,301,2006-08-18,301
302,302,22,16779.21,2316,302,2014-12-13,302
303,303,23,96682.96,2355,303,2004-08-26,303
304,304,24,86006.46,2318,304,2004-11-03,304
305,305,25,1393.92,2350,305,2012-08-12,305
306,306,26,94082.45,2363,306,2009-01-06,306
307,307,27,65585.59,2374,307,2008-07-10,307
308,308,28,61211.4,2359,308,2023-04-17,308
309,309,29,99564.44,2376,309,2013-04-16,309
310,310,30,32534.18,2396,310,2015-09-20,310
311,311,31,20744.93,2366,311,2016-11-14,311
312,312,32,64381.69,2414,312,2022-02-06,312
313,313,33,44918.68,2370,313,2007-11-07,313
314,314,34,92018.7,2393,314,2013-06-03,314
315,315,35,67502.94,2420,315,2007-05-08,315
316,316,36,35205.16,2434,316,2019-09-15,316
317,317,37,8643.34,2425,317,2011-08-06,317
318,318,38,29921.65,2455,318,2005-01-30,318
319,319,39,19347.56,2436,319,2013-11-30,319
320,320,40,957.91,2427,320,2009-07-20,320
321,321,1,63260.52,2467,321,2021-03-27,321
322,322,2,3697.99,2470,322,2005-11-07,322
323,323,3,78174.79,2486,323,2013-09-27,323
324,324,4,35202.98,2477,324,2017-02-27,324
325,325,5,76761.82,2481,325,2014-08-14,325
326,326,6,1466.16,2482,326,2013-08-15,326
327,327,7,86518.33,2513,327,2017-07-20,327
328,328,8,21112.24,2504,328,2007-02-19,328
329,329,9,8272.5,2515,329,2006-10-27,329
330,330,10,33521.88,2532,330,2022-07-10,330
331,331,11,5885.87,2534,331,2019-10-24,331
332,332,12,75853.78,2540,332,2019-07-27,332
333,333,13,36080.83,2441,333,2014-11-28,333
334,334,14,55883.91,2563,334,2015-02-18,334
335,335,15,13186.45,2574,335,2007-09-02,335
336,336,16,76480.5,2550,336,2019-09-28,336
337,337,17,55005.9,2572,337,2007-05-22,337
338,338,18,44772.35,2600,338,2020-05-17,338
339,339,19,53876.12,2542,339,2017-12-14,339
340,340,20,37507.48,2601,340,2004-09-22,340
341,341,21,18925.81,2579,341,2013-09-17,341
342,342,22,53542.69,2584,342,2014-11-03,342
343,343,23,89344.74,2545,343,2008-09-26,343
344,344,24,54346.65,2623,344,2009-02-08,344
345,345,25,12953.71,2654,345,2022-08-24,345
346,346,26,61847.56,2650,346,2016-03-21,346
347,347,27,66525.45,2602,347,2006-05-25,347
348,348,28,8092.96,2576,348,2005-09-05,348
349,349,29,60741.13,2634,349,2006-04-27,349
350,350,30,96370.61,2671,350,2010-03-06,350
351,351,31,41293,2695,351,2010-12-17,351
352,352,32,91615.17,2685,352,2005-07-09,352
353,353,33,3867.69,2692,353,2016-07-13,353
354,354,34,54559.78,2706,354,2003-09-16,354
355,355,35,59255.7,2749,355,2006-10-11,355
356,356,36,45708.96,2753,356,2016-11-02,356
357,357,37,19060.82,2762,357,2022-05-17,357
358,358,38,10968.43,2769,358,2021-02-05,358
359,359,39,28175.74,2776,359,2013-04-20,359
360,360,40,36180.97,2789,360,2018-09-13,360
361,361,1,5873.12,2763,361,2020-01-24,361
362,362,2,77585.86,2811,362,2023-05-05,362
363,363,3,63827.72,2780,363,2010-10-31,363
364,364,4,277.98,2735,364,2017-10-31,364
365,365,5,61340.22,2812,365,2006-04-15,365
366,366,6,12497.15,2829,366,2015-12-22,366
367,367,7,54070.41,2851,367,2010-12-06,367
368,368,8,61415.7,2857,368,2012-04-26,368
369,369,9,19759.55,2847,369,2023-05-09,369
370,370,10,70358.88,2843,370,2009-02-08,370
371,371,11,50061.49,2875,371,2018-02-10,371
372,372,12,80713.73,2888,372,2009-12-21,372
373,373,13,38743.43,2893,373,2015-08-22,373
374,374,14,24334.72,2869,374,2007-05-09,374
375,375,15,71979.24,2850,375,2005-08-12,375
376,376,16,54699.4,2903,376,2004-05-18,376
377,377,17,20908.8,2904,377,2021-05-01,377
378,378,18,43085.84,2910,378,2018-10-22,378
379,379,19,19716.93,2895,379,2010-04-21,379
380,380,20,40004.2,2912,380,2007-06-27,380
381,381,21,55067.97,2920,381,2020-05-09,381
382,382,22,30277.91,2948,382,2016-12-24,382
383,383,23,91687.11,2966,383,2012-03-02,383
384,384,24,79178.18,2963,384,2010-06-29,384
385,385,25,74224.43,2985,385,2004-11-14,385
386,386,26,36192.27,2970,386,2010-10-14,386
387,387,27,20230.39,2982,387,2008-06-02,387
388,388,28,19786.49,3002,388,2006-12-31,388
389,389,29,8525.31,3013,389,2010-03-05,389
390,390,30,88440.77,3016,390,2019-01-14,390
391,391,31,91469.1,3036,391,2016-04-20,391
392,392,32,30329.77,3032,392,2015-09-29,392
393,393,33,41601.5,3008,393,2022-01-11,393
394,394,34,44047.42,3058,394,2008-08-03,394
395,395,35,51689.79,3054,395,2007-01-02,395
396,396,36,19724.54,3062,396,2020-01-16,396
397,397,37,20360.9,3052,397,2008-06-27,397
398,398,38,23411.56,3077,398,2022-08-17,398
399,399,39,86631.14,3066,399,2017-04-02,399
400,400,40,14012.57,3089,400,2017-11-03,400
401,401,1,3760.42,3090,401,2021-03-05,401
402,402,2,63279.89,3107,402,2020-04-18,402
403,403,3,58369.35,3119,403,2014-05-31,403
404,404,4,12297.7,3133,404,2020-05-26,404
405,405,5,37667.98,3125,405,2020-05-28,405
406,406,6,69622.99,3143,406,2010-04-24,406
407,407,7,49513.56,3101,407,2021-11-28,407
408,408,8,85818.36,3148,408,2010-11-19,408
409,409,9,93977.91,3145,409,2003-10-09,409
410,410,10,5591.11,3183,410,2015-01-06,410
411,411,11,21317.63,3196,411,2014-04-08,411
412,412,12,34266.35,3195,412,2014-05-23,412
413,413,13,61374.35,3187,413,2004-08-24,413
414,414,14,96979.75,3208,414,2021-04-22,414
415,415,15,25344.11,3211,415,2008-06-27,415
416,416,16,55834.13,3218,416,2012-03-07,416
417,417,17,23568.53,3229,417,2008-09-29,417
418,418,18,31069.3,3246,418,2016-05-02,418
419,419,19,66634,3237,419,2023-04-11,419
420,420,20,45939.92,3242,420,2013-06-16,420
421,421,21,24282.45,3271,421,2019-06-12,421
422,422,22,67228.5,3288,422,2005-09-12,422
423,423,23,84907.84,3268,423,2006-04-27,423
424,424,24,44045.55,3232,424,2021-01-05,424
425,425,25,73326.99,3236,425,2004-10-12,425
426,426,26,49368.23,3304,426,2005-09-12,426
427,427,27,74752.49,3281,427,2011-02-05,427
428,428,28,132.22,3294,428,2007-11-18,428
429,429,29,23613.31,3325,429,2004-10-27,429
430,430,30,2323.56,3300,430,2013-08-30,430
431,431,31,66645.37,3315,431,2003-12-17,431
432,432,32,45778.33,3316,432,2018-09-14,432
433,433,33,22140.22,3339,433,2014-09-09,433
434,434,34,67798.67,3349,434,2008-11-27,434
435,435,35,58147.14,3356,435,2008-07-03,435
436,436,36,82676.97,3307,436,2019-02-12,436
437,437,37,91981.2,3364,437,2016-01-28,437
438,438,38,69623.89,3361,438,2020-08-15,438
439,439,39,70771.53,3376,439,2016-06-11,439
440,440,40,823.1,3388,440,2021-06-19,440
441,441,1,22239.67,3417,441,2020-07-14,441
442,442,2,45385.36,3421,442,2004-08-01,442
443,443,3,34407.49,3389,443,2022-12-19,443
444,444,4,49108.18,3429,444,2006-07-11,444
445,445,5,54825.21,3451,445,2021-01-24,445
446,446,6,45250.68,3435,446,2006-01-14,446
447,447,7,97380.95,3450,447,2017-12-12,447
448,448,8,54149.65,3425,448,2010-06-15,448
449,449,9,41645.55,3459,449,2013-04-18,449
450,450,10,94999.16,3478,450,2021-08-28,450
451,451,11,29527.87,3484,451,2017-08-28,451
452,452,12,50459.75,3486,452,2019-11-06,452
453,453,13,20971.7,3487,453,2016-08-29,453
454,454,14,44717.41,3512,454,2023-05-24,454
455,455,15,21078.9,3471,455,2011-05-22,455
456,456,16,92282.55,3489,456,2004-02-20,456
457,457,17,50409.21,3521,457,2003-06-13,457
458,458,18,24125.49,3490,458,2009-08-19,458
459,459,19,83372.53,3537,459,2013-09-24,459
460,460,20,22738.95,3541,460,2020-09-07,460
461,461,21,94169.33,3552,461,2022-11-04,461
462,462,22,42501.8,3517,462,2012-02-05,462
463,463,23,5006.57,3533,463,2014-10-05,463
464,464,24,94215.28,3529,464,2005-09-03,464
465,465,25,68129.99,3575,465,2020-03-25,465
466,466,26,28006.19,3571,466,2012-05-09,466
467,467,27,18566.53,3573,467,2013-09-28,467
468,468,28,22811.19,3611,468,2017-04-28,468
469,469,29,62394.62,3598,469,2016-07-05,469
470,470,30,65085.13,3627,470,2016-06-29,470
471,471,31,41487.4,3633,471,2005-07-23,471
472,472,32,77375.63,3602,472,2009-01-05,472
473,473,33,84868.15,3646,473,2007-10-09,473
474,474,34,20936.86,3663,474,2011-07-28,474
475,475,35,13440.94,3682,475,2013-03-17,475
476,476,36,40739.36,3703,476,2014-10-21,476
477,477,37,1211.6,3701,477,2005-04-30,477
478,478,38,49511.13,3697,478,2004-08-30,478
479,479,39,21886.59,3740,479,2019-10-26,479
480,480,40,97191.27,3732,480,2017-08-28,480
481,481,1,11970.3,3756,481,2008-03-26,481
482,482,2,95030.4,3729,482,2020-03-04,482
483,483,3,59015.1,3783,483,2006-03-20,483
484,484,4,98568.79,3797,484,2008-08-03,484
485,485,5,37925.13,3780,485,2015-06-11,485
486,486,6,45600.29,3789,486,2017-06-06,486
487,487,7,92190.11,3817,487,2004-08-20,487
488,488,8,34244.63,3791,488,2019-04-22,488
489,489,9,91383.9,3840,489,2016-08-06,489
490,490,10,29579.12,3855,490,2019-01-20,490
491,491,11,54489.52,3814,491,2005-01-15,491
492,492,12,86016.77,3890,492,2006-11-22,492
493,493,13,40703.76,3876,493,2019-06-18,493
494,494,14,14570.82,3849,494,2008-08-03,494
495,495,15,81225.37,3899,495,2004-02-17,495
496,496,16,39333.86,3883,496,2004-07-18,496
497,497,17,65825.41,3930,497,2007-12-15,497
498,498,18,66908.53,3938,498,2014-06-18,498
499,499,19,28669.15,3948,499,2007-01-09,499
500,500,20,91057.16,3974,500,2022-02-15,500
501,501,21,75549.33,3927,501,2015-03-27,501
502,502,22,7127.16,3967,502,2010-01-27,502
503,503,23,74973,3995,503,2016-06-26,503
504,504,24,64688.64,3991,504,2020-02-15,504
505,505,25,76388.82,3997,505,2007-03-21,505
506,506,26,77272.4,3999,506,2005-06-27,506
507,507,27,87397.14,4003,507,2019-05-03,507
508,508,28,68950.55,3993,508,2014-12-08,508
509,509,29,65859.51,4029,509,2007-09-02,509
510,510,30,29184.98,4059,510,2013-07-10,510
511,511,31,44657.3,4058,511,2007-10-07,511
512,512,32,89948.86,4056,512,2016-08-18,512
513,513,33,26786,4064,513,2013-06-08,513
514,514,34,67977.42,4083,514,2007-07-30,514
515,515,35,57490.46,4033,515,2021-02-05,515
516,516,36,71739.53,4071,516,2009-11-16,516
517,517,37,66418.31,4117,517,2004-09-27,517
518,518,38,1267.61,4115,518,2016-10-11,518
519,519,39,95391.51,4123,519,2018-07-26,519
520,520,40,98481.38,4084,520,2016-01-31,520
521,521,1,77640.18,4085,521,2009-12-02,521
522,522,2,23619.76,4168,522,2018-12-09,522
523,523,3,50146.12,4151,523,2015-07-28,523
524,524,4,38705.1,4153,524,2006-01-01,524
525,525,5,22451.16,4201,525,2004-12-16,525
526,526,6,72904.57,4215,526,2004-10-19,526
527,527,7,94706.82,4216,527,2019-12-25,527
528,528,8,47898.75,4212,528,2012-02-17,528
529,529,9,97161.62,4230,529,2004-05-06,529
530,530,10,62461.23,4242,530,2021-02-18,530
531,531,11,24805,4233,531,2022-10-23,531
532,532,12,40174.72,4248,532,2022-11-23,532
533,533,13,4322.37,4208,533,2010-10-15,533
534,534,14,46992.83,4253,534,2011-04-03,534
535,535,15,55682.77,4269,535,2006-08-15,535
536,536,16,74787.18,4280,536,2020-07-14,536
537,537,17,55839.45,4263,537,2021-04-05,537
538,538,18,47337.61,4278,538,2017-09-25,538
539,539,19,89180.5,4304,539,2020-09-10,539
540,540,20,71873.17,4329,540,2013-10-29,540
541,541,21,89484.69,4341,541,2007-04-20,541
542,542,22,96421.86,4348,542,2008-05-25,542
543,543,23,2604.25,4309,543,2017-12-07,543
544,544,24,65769.47,4361,544,2022-09-12,544
545,545,25,7220.31,4371,545,2017-10-19,545
546,546,26,95436.77,4380,546,2006-04-19,546
547,547,27,93078.88,4340,547,2007-01-02,547
548,548,28,91002.51,4391,548,2017-08-01,548
549,549,29,28223.81,4419,549,2005-07-31,549
550,550,30,97902.89,4427,550,2006-10-25,550
551,551,31,67343.39,4407,551,2017-07-26,551
552,552,32,53651.55,4422,552,2008-10-02,552
553,553,33,78189.99,4446,553,2004-06-26,553
554,554,34,85454.4,4467,554,2018-08-22,554
555,555,35,94727.43,4449,555,2018-02-08,555
556,556,36,61089.2,4483,556,2017-08-18,556
557,557,37,3724.46,4491,557,2004-06-19,557
558,558,38,31145.91,4488,558,2020-05-03,558
559,559,39,32262.41,4487,559,2014-06-25,559
